"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.30695333558225	3.09928017225855e-37	NA	1.1603704964936e-33	3.09928017225855e-37	7.1407415168837e-34	1078	1015	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.83414104733156	9.2510665061994e-17	NA	1.73179964996053e-13	9.2510665061994e-17	1.06572286151417e-13	1078	926	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-3.21283961880094	1.96610668608239e-16	NA	2.45370114423082e-13	1.96610668608239e-16	1.50996993491127e-13	1078	968	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.237438593153984	4.77864459039178e-16	NA	4.4728113366067e-13	9.55728918078358e-16	5.50499856813134e-13	1078	860	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii"	"reads_filtered"	"reads_filtered"	0.301622270283113	6.64001358810489e-12	NA	4.14336847897745e-09	1.32800271761657e-11	5.09953043564762e-09	1078	491	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__Parabacteroides_merdae"	"reads_filtered"	"reads_filtered"	0.153984328939362	9.43434192854515e-11	NA	4.41527202255913e-08	1.88686838562002e-10	5.43418095058565e-08	1078	613	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.75479141791565	3.29024370567809e-10	NA	1.23186724340588e-07	3.29024370567809e-10	7.58072149788233e-08	1078	636	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_thetaiotaomicron"	"reads_filtered"	"reads_filtered"	0.155691431371386	8.03753574060336e-10	NA	2.73568489207445e-07	1.60750714747465e-09	3.36699678889236e-07	1078	769	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_caccae"	"reads_filtered"	"reads_filtered"	0.145111760023505	3.58826410743425e-09	NA	9.59604344159558e-07	7.17652820199283e-09	1.18105149838511e-06	1078	727	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_putredinis"	"reads_filtered"	"reads_filtered"	0.121685627125357	2.58852108003187e-08	NA	5.10074890717858e-06	5.17704209305932e-08	6.27784472758351e-06	1078	636	"abundance"
