"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.55223221159278	1.89770661310268e-35	NA	5.15606886779999e-32	1.89770661310268e-35	3.21851041582215e-32	737	687	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.77484436207538	5.94549218835011e-12	NA	4.03847556893681e-09	5.94549218835011e-12	2.52088868786045e-09	737	623	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.55389236380829	1.37891844343623e-09	NA	4.68315176352031e-07	1.37891844343623e-09	2.92330710008481e-07	737	643	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.169847359251808	2.14096438409965e-09	NA	6.07807610328785e-07	4.28192876361556e-09	6.89826149138151e-07	737	579	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.59925915986981	4.34617617549084e-09	NA	9.08350820677585e-07	4.34617617549084e-09	6.89826149138151e-07	737	406	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.71145244216142	6.02239780329077e-08	NA	8.18142741577051e-06	1.20447952438888e-07	1.07515645966502e-05	737	691	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified"	"Antibiotics"	"Yes"	-2.18095782174092	1.2120311082216e-06	NA	9.40882434582311e-05	2.42406074742379e-06	0.000124582031140326	737	273	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae"	"reads_filtered"	"reads_filtered"	0.142537477755622	2.08910780170616e-06	NA	0.00013844160724965	4.17821123904091e-06	0.000181698622087523	737	469	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes"	"reads_filtered"	"reads_filtered"	-1.37682355246299	3.11792110641547e-06	NA	0.000188422062763177	6.23583249139891e-06	0.000240459856895015	737	109	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-1.14185830928894	4.19633055613356e-06	NA	0.00023752979418781	8.39264350307699e-06	0.000302849433642948	737	165	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_CD"	-2.50271081112105	4.37989443436842e-06	NA	0.000242860677105694	4.37989443436842e-06	0.000185707524017221	737	279	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris"	"dysbiosis_state"	"dysbiosis_CD"	-2.10031537872254	4.91398182164307e-06	NA	0.000261789972733416	4.91398182164307e-06	0.000203271052914796	737	465	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"reads_filtered"	"reads_filtered"	0.158679304811616	9.01466930041631e-06	NA	0.000382700882644236	1.802925733657e-05	0.000501272466275783	737	279	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum"	"dysbiosis_state"	"dysbiosis_CD"	8.47846977412477	2.06191545823643e-05	NA	0.000746963240003783	4.12378840151928e-05	0.000971381267913431	737	39	"abundance"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	2.04376241714075	3.77215055817745e-05	NA	0.00123481121283953	7.54415882515656e-05	0.00164037094454686	737	422	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.80176269883399	3.73707790545105e-05	NA	0.00123481121283953	3.73707790545105e-05	0.000918562917049997	737	437	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus|s__Actinobacillus_unclassified"	"reads_filtered"	"reads_filtered"	-1.29074312460428	4.50605834274828e-05	NA	0.00145749529967227	9.01191363987868e-05	0.00193470956116889	737	51	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale"	"dysbiosis_state"	"dysbiosis_CD"	-1.53095419926238	6.30841729218045e-05	NA	0.00194772383896071	2.00841730533845e-10	5.6771262497567e-08	737	576	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron"	"dysbiosis_state"	"dysbiosis_CD"	-1.68172534023042	6.86981479514429e-05	NA	0.00205113041740737	6.25814674289704e-06	0.000240459856895015	737	452	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens"	"reads_filtered"	"reads_filtered"	0.0313188483862931	9.61218545480039e-05	NA	0.00269240287429821	0.000192234469685086	0.00354380065854246	737	488	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus"	"dysbiosis_state"	"dysbiosis_CD"	-3.19918147082449	0.000104408870972206	NA	0.00286544345890387	0.000104408870972206	0.002186141298381	737	168	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified"	"food_group"	"food_group"	NA	0.00010356360304044	NA	0.00286544345890387	0.000207116480661004	0.00377709194839853	737	273	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"reads_filtered"	"reads_filtered"	0.0547994636453329	0.00011815135774212	NA	0.00314722783318962	4.90281848116344e-05	0.00107989352520171	737	623	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8"	"reads_filtered"	"reads_filtered"	0.185749722297689	0.000137536799175158	NA	0.00355892841294194	0.000275054681979188	0.00480920351171858	737	226	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme"	"consent_age"	"consent_age"	1.67739154392388	0.000161524245787912	NA	0.00406353125746071	0.000161524245787912	0.00311301273700339	737	273	"abundance"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname|s__Burkholderiales_bacterium_1_1_47"	"dysbiosis_state"	"dysbiosis_CD"	-1.76991110394255	0.000221083011596687	NA	0.00520944743509841	0.000442117145495357	0.00697159740824353	737	271	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"reads_filtered"	"reads_filtered"	-0.0251684747884576	0.000247563262973967	NA	0.00555892054132453	1.39243297190496e-05	0.000429375694609237	737	687	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae"	"reads_filtered"	"reads_filtered"	0.0102441115498402	0.000261933303055875	NA	0.00583338347871157	0.0005237979970565	0.00779264388603355	737	381	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis"	"reads_filtered"	"reads_filtered"	0.0127438300879578	0.000345392113910365	NA	0.0072746540580966	0.000690664932108379	0.0095233148362261	737	406	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron"	"reads_filtered"	"reads_filtered"	0.0355039149971648	0.000359038203680307	NA	0.00750389845691842	0.000717947498928912	0.00974111166546748	737	452	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii"	"reads_filtered"	"reads_filtered"	0.0904022966747714	0.000396403150636139	NA	0.00809795007728112	0.000792649165814444	0.0105026014470414	737	324	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA"	"dysbiosis_state"	"dysbiosis_CD"	-1.49437490220475	0.000403936478852408	NA	0.00815051155631177	0.000403936478852408	0.00658727180897774	737	460	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron"	"Antibiotics"	"Yes"	1.48149645990948	0.000461472050734796	NA	0.00915196760471854	0.000461472050734796	0.00698800533969833	737	452	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes"	"dysbiosis_state"	"dysbiosis_CD"	-1.72430459907145	0.000594650882811861	NA	0.0112983667734254	1.56218467109222e-05	0.00044906189867329	737	356	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA"	"dysbiosis_state"	"dysbiosis_CD"	1.49619711789966	0.000614746088404848	NA	0.0115190698082481	0.00122911426405649	0.0152158962908015	737	323	"abundance"
