"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.56971402933776	1.30420089345312e-45	NA	3.53177601947105e-42	1.30420089345312e-45	2.2145331170834e-42	735	685	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.76334616925428	6.67143151380482e-13	NA	9.03311826969172e-10	6.67143151380482e-13	5.66404535522029e-10	735	622	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.55581686386266	5.34646789929098e-10	NA	1.80977938391e-07	5.34646789929098e-10	1.2969003561423e-07	735	642	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.73237032564729	2.64513865847502e-09	NA	6.51185044286395e-07	5.29027730995326e-09	7.48574239358386e-07	735	689	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.56203600149916	4.13423101761479e-09	NA	8.61978301175305e-07	4.13423101761479e-09	6.38174933446356e-07	735	406	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.88785135064448	1.53429395675092e-08	NA	2.76991202325432e-06	1.53429395675092e-08	1.74851661728431e-06	735	434	"abundance"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	2.11381976421983	6.29705724477622e-08	NA	8.526215509427e-06	1.25941140930231e-07	1.06924028649766e-05	735	421	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.160438071085472	4.55111100407279e-07	NA	4.07206753558669e-05	9.10221993688445e-07	5.27684492809873e-05	735	578	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-1.16547501840427	7.47153183305615e-07	NA	5.95085535409296e-05	1.49430580837335e-06	7.6888826139938e-05	735	163	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	1.61693150244833	1.46852119111616e-06	NA	9.69940337937208e-05	2.93704022567782e-06	0.000127874212902588	735	287	"abundance"
