"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.48125840352514	1.55497556479093e-51	NA	4.2497482185736e-48	1.55497556479093e-51	2.67922289813477e-48	734	685	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.75228261242069	1.91457089852656e-15	NA	2.61626113283654e-12	1.91457089852656e-15	1.64940282908063e-12	734	622	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.79866242852438	2.9029217991094e-13	NA	2.64456175898866e-10	5.80584359821795e-13	3.33448950657651e-10	734	688	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.62727953381806	2.54915226549263e-11	NA	9.95261877370193e-09	2.54915226549263e-11	6.27455621920542e-09	734	407	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.33979788824149	1.6326115482247e-10	NA	4.95769706810901e-08	1.6326115482247e-10	3.34281703536497e-08	734	641	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.214869528815778	2.73647839749939e-08	NA	4.11312092498489e-06	5.47295672011563e-08	5.39292711840626e-06	734	578	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_CD"	-2.73687897664106	9.34777280821054e-08	NA	1.16124832203815e-05	9.34777280821054e-08	8.47695397291934e-06	734	279	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris"	"dysbiosis_state"	"dysbiosis_CD"	-2.06777345403048	8.21591406595059e-07	NA	6.80427064916454e-05	8.21591406595059e-07	4.99432674286302e-05	734	466	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron"	"dysbiosis_state"	"dysbiosis_CD"	-1.85345564696834	8.73642415782435e-07	NA	7.02254330098057e-05	1.7472840683138e-06	8.85461896971964e-05	734	454	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.81205292596531	1.30966105637015e-06	NA	9.1777017104093e-05	1.30966105637015e-06	7.102008843258e-05	734	433	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale"	"dysbiosis_state"	"dysbiosis_CD"	-1.59638280881188	1.63535547475161e-06	NA	0.000103989032490428	1.74610292038797e-10	3.34281703536497e-08	734	574	"abundance"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	2.08891680475927	1.63612455070926e-06	NA	0.000103989032490428	3.27224642451497e-06	0.000144566168959982	734	421	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes"	"reads_filtered"	"reads_filtered"	-1.37641042530403	2.37759043240611e-06	NA	0.000140081508100073	4.75517521187595e-06	0.000193056900477458	734	111	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified"	"Antibiotics"	"Yes"	-1.94248143905901	7.53110245352494e-06	NA	0.000326706396912439	1.50621481895457e-05	0.000447449678113574	734	270	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-1.10248322971436	1.49623989750204e-05	NA	0.000560167621900421	2.99245740766577e-05	0.000769552852747482	734	163	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae"	"reads_filtered"	"reads_filtered"	0.123299913697476	3.39620753197281e-05	NA	0.0011290513073597	6.79229972168962e-05	0.00151483511313011	734	471	"abundance"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname|s__Burkholderiales_bacterium_1_1_47"	"dysbiosis_state"	"dysbiosis_CD"	-1.80960548767957	3.42887883318167e-05	NA	0.0011290513073597	6.85764009426282e-05	0.00151483511313011	734	269	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus|s__Actinobacillus_unclassified"	"reads_filtered"	"reads_filtered"	-1.32941085002189	3.40617825150574e-05	NA	0.0011290513073597	6.81224048250867e-05	0.00151483511313011	734	51	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme"	"consent_age"	"consent_age"	1.65489589422313	6.23074811825839e-05	NA	0.00187127852826376	6.23074811825839e-05	0.00145075391996746	734	273	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	1.51157325812923	7.84176204866263e-05	NA	0.00232951474771684	0.00015682909165005	0.00314205261526786	734	286	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"reads_filtered"	"reads_filtered"	0.141800769115051	0.000104794955169274	NA	0.00286404612477625	0.000209578928355918	0.00384153716550263	734	279	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus"	"dysbiosis_state"	"dysbiosis_CD"	-3.122366311086	0.000118759726603343	NA	0.00309559704964698	0.000118759726603343	0.00240732951691247	734	168	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA"	"dysbiosis_state"	"dysbiosis_CD"	1.39018629812647	0.000145003817737717	NA	0.00363573792547873	0.000289986609368276	0.00485094104797612	734	322	"abundance"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis"	"dysbiosis_state"	"dysbiosis_CD"	-1.33991098351981	0.000196995436086421	NA	0.00472270637565078	0.000393952064971004	0.0062273340178444	734	276	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8"	"reads_filtered"	"reads_filtered"	0.198967473623863	0.000231186938852037	NA	0.0054002897767745	0.000462320430303378	0.00711230447689929	734	225	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA"	"dysbiosis_state"	"dysbiosis_CD"	-1.37693957025335	0.000240453561848643	NA	0.00556914902146051	0.000240453561848643	0.00418486350570921	734	461	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron"	"Antibiotics"	"Yes"	1.361374396316	0.000250890113337138	NA	0.00571402233125332	0.000250890113337138	0.00432283665279889	734	454	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus"	"dysbiosis_state"	"dysbiosis_CD"	-1.0408647098879	0.000262643097397634	NA	0.00588363594416175	2.56597056808986e-08	3.15797663487059e-06	734	578	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"reads_filtered"	"reads_filtered"	0.0751928014244904	0.000295277704412752	NA	0.00640471401714327	8.34233303035982e-05	0.00179672997641375	734	622	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae"	"dysbiosis_state"	"dysbiosis_CD"	-1.18202414152008	0.000312237101978992	NA	0.00661506976518284	0.00040930056612945	0.0064111352312822	734	471	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_unclassified"	"Antibiotics"	"Yes"	5.06551974695566	0.000307687865150858	NA	0.00661506976518284	0.000307687865150858	0.00509755953514354	734	115	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA"	"dysbiosis_state"	"dysbiosis_CD"	-0.952052608117485	0.000338496938182571	NA	0.00711624716963821	6.76477788433321e-12	1.94261871578435e-09	734	541	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens"	"reads_filtered"	"reads_filtered"	0.0393179736007642	0.000512315202213175	NA	0.00986026371583525	0.00102436793755993	0.013473175239815	734	487	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes"	"dysbiosis_state"	"dysbiosis_CD"	-1.57059286076659	0.000643017836566408	NA	0.0119548826349387	3.2716540618383e-05	0.000816965209934405	734	356	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii"	"reads_filtered"	"reads_filtered"	0.112741724392506	0.000648653590216935	NA	0.0119781774463708	0.00129688642895377	0.0163104767670609	734	324	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme"	"dysbiosis_state"	"dysbiosis_CD"	1.38113315079446	0.000790914648162781	NA	0.0137679600855343	0.000790914648162781	0.0110792352746705	734	273	"abundance"
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.14694545277492	0.000858268795856687	NA	0.0143904823256216	4.81801899044151e-06	0.000193056900477458	734	387	"abundance"
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_unclassified"	"Antibiotics"	"Yes"	-0.958326291466652	0.00112478209873992	NA	0.0177689565078393	0.00112478209873992	0.0145714252340518	734	387	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron"	"reads_filtered"	"reads_filtered"	0.0352932805111337	0.00126117760654299	NA	0.0196959908496114	0.00252076464413074	0.0268103548261559	734	454	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis"	"reads_filtered"	"reads_filtered"	0.0164030448424255	0.00129700055049066	NA	0.0201403551391533	0.00259231889055335	0.0274022420148676	734	407	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae"	"reads_filtered"	"reads_filtered"	0.01267247422381	0.00136030301011762	NA	0.0209011405210409	0.000834878029023302	0.0115605507218659	734	383	"abundance"
