"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.55774230317296	1.24393434424155e-47	NA	3.6708502498568e-44	1.24393434424155e-47	2.2515211630772e-44	738	688	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.79545728356137	1.12827633166668e-13	NA	1.66477172737419e-10	1.12827633166668e-13	1.02109008015835e-10	738	624	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.5731752077371	1.28554513488108e-10	NA	4.74205461629258e-08	1.28554513488108e-10	3.3240524201925e-08	738	644	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Subdoligranulum.s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.74646349978852	5.30280616193069e-10	NA	1.73873122042861e-07	1.06056123210494e-09	2.13290647789993e-07	738	692	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.57472956199745	1.25593391568506e-09	NA	3.7062609851866e-07	1.25593391568506e-09	2.27324038738995e-07	738	407	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Escherichia.s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.83414412070327	3.73048828205737e-08	NA	6.11592828908406e-06	3.73048828205737e-08	4.50145586034923e-06	738	437	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.164070468840374	1.39694539924089e-07	NA	1.79234168398255e-05	2.79389060333612e-07	2.29860999638108e-05	738	580	"abundance"
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Veillonellaceae.g__Veillonella.s__Veillonella_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	2.10617885062149	1.37518224261942e-07	NA	1.79234168398255e-05	2.75036429612622e-07	2.29860999638108e-05	738	423	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_noname.g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA"	"dysbiosis_state"	"dysbiosis_CD"	1.55252637848308	1.73140253346573e-06	NA	0.000116737708463653	3.46280206917672e-06	0.000146532637906819	738	324	"abundance"
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Propionibacteriaceae.g__Propionibacterium.s__Propionibacterium_acnes"	"reads_filtered"	"reads_filtered"	-1.35567881824093	1.82937101189827e-06	NA	0.000119966085691373	3.65873867719824e-06	0.000150507204675655	738	110	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_CD"	-2.67156028225299	2.22653113747664e-06	NA	0.000136885278889449	2.22653113747664e-06	0.000111357759253535	738	278	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Peptostreptococcaceae_noname.s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-1.11914796254768	2.40942226996389e-06	NA	0.000145106226911499	4.81883873461211e-06	0.000183051466083323	738	165	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_stercoris"	"dysbiosis_state"	"dysbiosis_CD"	-2.15046277251201	2.68559123420598e-06	NA	0.00015240730254119	2.68559123420598e-06	0.000121523003347821	738	466	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Escherichia.s__Escherichia_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	1.53442092708627	6.23857600515298e-06	NA	0.000287656840487601	1.24771130904754e-05	0.000370222535963286	738	289	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_rectale"	"dysbiosis_state"	"dysbiosis_CD"	-1.62403201725086	1.83914796973753e-05	NA	0.000712299481077204	1.28191757730733e-10	3.3240524201925e-08	738	577	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Actinobacillus.s__Actinobacillus_unclassified"	"reads_filtered"	"reads_filtered"	-1.30382077396008	2.82034025927941e-05	NA	0.00102750914878192	5.64060097536704e-05	0.00134335365334399	738	51	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_unclassified"	"Antibiotics"	"Yes"	-1.8159882362693	2.95726870688707e-05	NA	0.00106425609195412	2.95726870688707e-05	0.000787155346980236	738	272	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_caccae"	"reads_filtered"	"reads_filtered"	0.130940814526887	3.04782253124948e-05	NA	0.00108362943249605	6.09555217027714e-05	0.00143285057509112	738	470	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_thetaiotaomicron"	"dysbiosis_state"	"dysbiosis_CD"	-1.75794965161431	3.29351870774145e-05	NA	0.00115704448887441	2.26742736500002e-06	0.000111357759253535	738	453	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii"	"reads_filtered"	"reads_filtered"	0.17329383366984	3.83014363616922e-05	NA	0.00132791327078735	7.66014057233571e-05	0.00177325841176968	738	278	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__Clostridium_clostridioforme"	"dysbiosis_state"	"dysbiosis_CD"	1.48523860617748	4.51486051835129e-05	NA	0.00148037259885052	4.51486051835129e-05	0.00110431047813728	738	274	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_oleiciplenus"	"consent_age"	"consent_age"	5.67699709892805	0.000121668010884011	NA	0.00348584757396811	0.000243321218663149	0.00449399393653367	738	30	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_7_1_58FAA"	"food_group"	"food_group"	NA	0.00013346228390228	NA	0.00378699230572719	0.000266906755623336	0.00487981038058826	738	541	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__Clostridium_clostridioforme"	"consent_age"	"consent_age"	1.63797893360515	0.0001476519496969	NA	0.00403445281069954	0.0001476519496969	0.00300280931406054	738	274	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__Clostridium_citroniae"	"dysbiosis_state"	"dysbiosis_CD"	1.63380204258954	0.000235402152096071	NA	0.00551326786377386	0.000470748890018931	0.00728252556354072	738	217	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_indistinctus"	"dysbiosis_state"	"dysbiosis_CD"	-3.05041927226585	0.000331916899743439	NA	0.00743098549680977	0.000331916899743439	0.0057092838358715	738	169	"abundance"
"k__Bacteria.p__Deinococcus_Thermus.c__Deinococci.o__Deinococcales.f__Deinococcaceae.g__Deinococcus.s__Deinococcus_unclassified"	"reads_filtered"	"reads_filtered"	-0.988461436351567	0.000332392438352724	NA	0.00743098549680977	0.000664674391972374	0.00962448519575998	738	19	"abundance"
