"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.59729970491067	1.29855119539923e-37	NA	2.72825606153379e-34	1.29855119539923e-37	1.99587318732862e-34	735	686	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.76894909214457	5.62543508638638e-12	NA	3.93967970549926e-09	5.62543508638638e-12	2.88209790925862e-09	735	622	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.181794854126196	9.08828672186361e-10	NA	3.81889808052709e-07	1.81765734354675e-09	5.58747867406271e-07	735	578	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.57339882635132	7.56605028161789e-09	NA	2.64937860694653e-06	7.56605028161789e-09	1.93816988047445e-06	735	407	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.33761194943019	2.29105959457932e-08	NA	5.34835134245683e-06	2.29105959457932e-08	4.40169824608551e-06	735	641	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.73479737248556	3.85688703884453e-08	NA	7.36665424419306e-06	7.71377392893326e-08	1.07782459352458e-05	735	689	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes"	"reads_filtered"	"reads_filtered"	-1.36820698384271	2.4618135886595e-06	NA	0.000220690987985417	2.4618135886595e-06	0.000190753828455932	735	110	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-1.14419216394284	2.62602317926484e-06	NA	0.000220690987985417	2.62602317926484e-06	0.000192199886977622	735	164	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"reads_filtered"	"reads_filtered"	0.1801646677139	3.88739380089497e-06	NA	0.00026302559966782	7.77477248995938e-06	0.000384835351656759	735	279	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae"	"reads_filtered"	"reads_filtered"	0.125501180730601	4.46700189421512e-06	NA	0.000283842369505663	8.93398383432431e-06	0.000403426952578343	735	469	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified"	"Antibiotics"	"Yes"	-1.94460927271326	5.4235526744554e-06	NA	0.000325568119115166	5.4235526744554e-06	0.000344746262548025	735	272	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.84084314821565	5.60745384756059e-06	NA	0.000327257237047911	5.60745384756059e-06	0.000344746262548025	735	435	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_CD"	-2.48784229733137	6.91126893775807e-06	NA	0.000392448001033235	6.91126893775807e-06	0.000366297253701177	735	279	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris"	"dysbiosis_state"	"dysbiosis_CD"	-2.09586712809818	8.48138522413295e-06	NA	0.000468931325155351	8.48138522413295e-06	0.000395026942105829	735	464	"abundance"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	1.99386313712597	1.7282861906133e-05	NA	0.00088564128938501	3.45654251149503e-05	0.0013980804842547	735	422	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus|s__Actinobacillus_unclassified"	"reads_filtered"	"reads_filtered"	-1.25634135565692	4.18842052299604e-05	NA	0.00169228298438744	8.37666561732731e-05	0.00273934788379406	735	51	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron"	"dysbiosis_state"	"dysbiosis_CD"	-1.77029714093493	4.95354114071424e-05	NA	0.0019099157114744	2.48215781985599e-06	0.000190753828455932	735	453	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8"	"reads_filtered"	"reads_filtered"	0.22626286886672	4.99977934940941e-05	NA	0.0019099157114744	9.99930872088341e-05	0.00301351715764663	735	224	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"reads_filtered"	"reads_filtered"	0.07330176622956	7.268913895851e-05	NA	0.00258847255850558	4.79181896649116e-05	0.00176211765765926	735	622	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale"	"dysbiosis_state"	"dysbiosis_CD"	-1.55552079191699	7.48235930110966e-05	NA	0.0026200728152719	3.34569507698709e-10	1.28558333333229e-07	735	575	"abundance"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname|s__Burkholderiales_bacterium_1_1_47"	"dysbiosis_state"	"dysbiosis_CD"	-1.9221966598487	8.93802722451971e-05	NA	0.00302883793527676	8.93802722451971e-05	0.00286203080085142	735	271	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus"	"dysbiosis_state"	"dysbiosis_CD"	-3.25750741162914	9.37455189707192e-05	NA	0.00304321154670626	9.37455189707192e-05	0.00288173725315991	735	169	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii"	"reads_filtered"	"reads_filtered"	0.120394354855283	0.000131568907616031	NA	0.00408635351821839	0.000263120504854612	0.00662977403215636	735	325	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_unclassified"	"Antibiotics"	"Yes"	5.54494150099204	0.000132257039142718	NA	0.00408635351821839	0.000132257039142718	0.00383545413513882	735	116	"abundance"
