"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.56706249247944	3.70805217034418e-42	NA	9.80408993839002e-39	3.70805217034418e-42	6.04412503766102e-39	738	688	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.75731700294657	9.97117733516356e-12	NA	5.27275857483449e-09	9.97117733516356e-12	3.25060381126332e-09	738	624	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.56371062195069	3.56285379345706e-09	NA	8.56380493627315e-07	3.56285379345706e-09	6.17461157721462e-07	738	644	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.67834770984999	5.35322422800915e-09	NA	1.10249100233738e-06	5.35322422800915e-09	7.27146290971243e-07	738	408	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.8050929280022	9.56355629311084e-09	NA	1.80614591707036e-06	9.56355629311084e-09	1.19912282752082e-06	738	437	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.180650496153635	2.95071788185529e-08	NA	4.334276710903e-06	5.90143567664321e-08	5.34407786273802e-06	738	580	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.76200221381073	3.88932045153033e-08	NA	5.41229645991904e-06	7.77864075179251e-08	6.67325496074831e-06	738	692	"abundance"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	2.0651231170595	4.42666965968188e-08	NA	5.85205729009944e-06	8.8533391234097e-08	7.2154713855789e-06	738	423	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_oleiciplenus"	"consent_age"	"consent_age"	7.65487077268172	1.94520602964857e-07	NA	2.05724989695632e-05	1.94520602964857e-07	1.37855905579442e-05	738	30	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	1.58315873656768	6.78567183564613e-07	NA	5.12609038098524e-05	1.3571339066758e-06	6.50625961141635e-05	738	288	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA"	"dysbiosis_state"	"dysbiosis_CD"	1.461586614044	1.24081650416122e-06	NA	7.45617917500513e-05	2.48163146869684e-06	9.86599827798987e-05	738	324	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-1.15429532343224	1.56012412062001e-06	NA	8.96732211938982e-05	3.12024580725276e-06	0.000118279085251674	738	164	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes"	"reads_filtered"	"reads_filtered"	-1.35473582137136	2.60086725732717e-06	NA	0.000143264438091105	5.20172775014386e-06	0.000188418138505211	738	111	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme"	"dysbiosis_state"	"dysbiosis_CD"	1.49422945869495	9.82409906117748e-06	NA	0.000371070255967904	9.82409906117748e-06	0.000291150572176714	738	275	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_CD"	-2.60479063445294	1.04041535651966e-05	NA	0.000382063639255276	1.04041535651966e-05	0.000300590834590695	738	278	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus|s__Actinobacillus_unclassified"	"reads_filtered"	"reads_filtered"	-1.30693908319462	1.07954966691956e-05	NA	0.000391004016347303	2.15908767956429e-05	0.000495677875730956	738	51	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae"	"reads_filtered"	"reads_filtered"	0.145978834963005	1.18948258568128e-05	NA	0.000419332260872174	2.37895102267434e-05	0.000531190433830025	738	470	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified"	"Antibiotics"	"Yes"	-1.85125776354928	1.82448378149596e-05	NA	0.000597582439017239	1.82448378149596e-05	0.000443866949826628	738	273	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris"	"dysbiosis_state"	"dysbiosis_CD"	-2.05074397800204	4.69509607002351e-05	NA	0.00137931488990469	4.69509607002351e-05	0.000968735011916244	738	466	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_unclassified"	"Antibiotics"	"Yes"	5.71488947062228	9.5914664900725e-05	NA	0.00253598373997517	9.5914664900725e-05	0.00179702188262278	738	117	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_citroniae"	"dysbiosis_state"	"dysbiosis_CD"	1.59723833024206	0.000101531123806196	NA	0.00263184599356454	0.000203051939043291	0.00334317839030873	738	218	"abundance"
