"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.56437453099938	7.27022950893503e-31	NA	2.0036752526625e-27	7.27022950893503e-31	1.2642929116038e-27	736	686	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.186733446990379	1.52097689240378e-10	NA	7.09262577026233e-08	3.04195378457622e-10	8.95070842781852e-08	736	578	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.78630402955292	6.04272044867895e-10	NA	1.85041528406213e-07	6.04272044867895e-10	1.31353635753159e-07	736	622	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.61863661087808	3.20424045451553e-08	NA	5.88725779509653e-06	3.20424045451553e-08	3.98012439314464e-06	736	642	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.52070141370781	4.30550700992343e-07	NA	4.74639092773959e-05	4.30550700992343e-07	3.7084671457378e-05	736	406	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_caccae"	"reads_filtered"	"reads_filtered"	0.12348423682255	1.15880255836849e-06	NA	9.98018703394864e-05	2.31760377391362e-06	0.000125947280088618	736	468	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Escherichia.s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.85972164693014	1.65239277408436e-06	NA	0.000123080932037202	1.65239277408436e-06	9.57837011377566e-05	736	437	"abundance"
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Veillonellaceae.g__Veillonella.s__Veillonella_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	2.08776138305464	2.84420445990167e-06	NA	0.000166779308329553	5.68840083030433e-06	0.000219825089864427	736	421	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii"	"reads_filtered"	"reads_filtered"	0.151280786630008	3.72503139551e-06	NA	0.000204915431992408	7.45004891516111e-06	0.00026894131875897	736	278	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Subdoligranulum.s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.738106356951	4.59863933261338e-06	NA	0.000239129245295896	2.55992702858537e-06	0.000128155163612661	736	690	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_unclassified"	"Antibiotics"	"Yes"	-1.93735532936048	1.25969447271035e-05	NA	0.000518166860714884	2.51937307711905e-05	0.000684560903298443	736	272	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_xylanisolvens"	"reads_filtered"	"reads_filtered"	0.036786185749212	1.79398386830089e-05	NA	0.000686697158477395	3.58793555282058e-05	0.000917561753875733	736	486	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_CD"	-2.64733775863464	2.10973777863369e-05	NA	0.000775258309055259	2.10973777863369e-05	0.000601448196236718	736	278	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Peptostreptococcaceae_noname.s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-1.13202979597668	2.32410175980807e-05	NA	0.000842792690793557	4.64814950512624e-05	0.00113846929428374	736	165	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidales_noname.g__Bacteroidales_noname.s__Bacteroidales_bacterium_ph8"	"reads_filtered"	"reads_filtered"	0.215662587161702	3.42646312210363e-05	NA	0.00119535852715413	6.85280883771199e-05	0.00161041007686232	736	225	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_noname.g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA"	"dysbiosis_state"	"dysbiosis_CD"	1.55772060195322	3.68241960022044e-05	NA	0.00126859355227594	7.36470359829977e-05	0.00170762927432577	736	323	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis"	"reads_filtered"	"reads_filtered"	0.0547339606569277	3.79585395561034e-05	NA	0.00129152759279779	3.98526253882741e-05	0.000990053079288695	736	622	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii"	"reads_filtered"	"reads_filtered"	-0.019053115771079	4.43252816048488e-05	NA	0.00148976190369467	3.80397326832088e-06	0.000169618192656667	736	686	"abundance"
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Propionibacteriaceae.g__Propionibacterium.s__Propionibacterium_acnes"	"reads_filtered"	"reads_filtered"	-1.28026010024785	5.3408907271101e-05	NA	0.00175232081475184	0.000106814962030826	0.00238142588425137	736	110	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Actinobacillus.s__Actinobacillus_unclassified"	"reads_filtered"	"reads_filtered"	-1.31038605019804	6.7315843030486e-05	NA	0.00203870838892329	0.000134627154638249	0.00275431319901077	736	51	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_stercoris"	"dysbiosis_state"	"dysbiosis_CD"	-2.08369455766479	8.9706951351919e-05	NA	0.00254878719511225	8.9706951351919e-05	0.00205263668948667	736	464	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_putredinis"	"reads_filtered"	"reads_filtered"	0.0126471720561933	9.2525550795244e-05	NA	0.00260204508154788	0.000185042540612938	0.00353614261676812	736	406	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Escherichia.s__Escherichia_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	1.48635925391132	0.000120209167965771	NA	0.00321647055255985	0.000240403885687479	0.00426594242051557	736	288	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_thetaiotaomicron"	"reads_filtered"	"reads_filtered"	0.027253027612428	0.00012582310703653	NA	0.00330255698088263	0.000251630382618795	0.00435878245804775	736	452	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_finegoldii"	"reads_filtered"	"reads_filtered"	0.0847475852992509	0.00014325143966818	NA	0.00365556451597688	0.000286482358361392	0.00479031558836982	736	323	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__Parabacteroides_merdae"	"reads_filtered"	"reads_filtered"	-0.0084388451270781	0.000169917472448955	NA	0.00425573837154474	0.000339806072950467	0.00557092440575029	736	380	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__Clostridium_clostridioforme"	"dysbiosis_state"	"dysbiosis_CD"	1.47249326164985	0.000253155277896965	NA	0.00567232476328485	0.000253155277896965	0.00435878245804775	736	273	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_senegalensis"	"reads_filtered"	"reads_filtered"	0.382690548949953	0.000313227941213828	NA	0.00679729296051425	0.00054790994030109	0.00811398179943766	736	125	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__Clostridium_citroniae"	"dysbiosis_state"	"dysbiosis_CD"	1.72105843273816	0.00032669842193207	NA	0.00697969651817662	0.000653290112005247	0.00946726253980937	736	215	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_indistinctus"	"dysbiosis_state"	"dysbiosis_CD"	-3.2355961034899	0.00036183212840003	NA	0.00760058133081457	0.00036183212840003	0.00577271625034543	736	168	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_thetaiotaomicron"	"dysbiosis_state"	"dysbiosis_CD"	-1.77813570479757	0.000394697689140742	NA	0.00817884835542772	1.26509885753843e-06	8.18512238754888e-05	736	452	"abundance"
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_catenulatum"	"dysbiosis_state"	"dysbiosis_CD"	6.22128181837769	0.000546310477093514	NA	0.0109103744555777	0.00109232249904965	0.0146119140449795	736	39	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_thetaiotaomicron"	"Antibiotics"	"Yes"	1.41905670758696	0.00067864844798545	NA	0.0128106515249856	0.00067864844798545	0.00975346819046857	736	452	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_unclassified"	"Antibiotics"	"Yes"	4.9914396080681	0.000754418273595471	NA	0.0139542064565713	0.000754418273595471	0.0105801078853429	736	117	"abundance"
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__Rothia_unclassified"	"reads_filtered"	"reads_filtered"	-1.66631419699692	0.000827660505145241	NA	0.0147619847825962	0.00165463598837871	0.0197694069337047	736	16	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_onderdonkii"	"reads_filtered"	"reads_filtered"	0.0442195112061808	0.000818023143802663	NA	0.0147619847825962	0.00163537712574153	0.0197494501504481	736	362	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_rectale"	"dysbiosis_state"	"dysbiosis_CD"	-1.55268663134317	0.000830203424243716	NA	0.0147619847825962	3.08822602454923e-10	8.95070842781852e-08	736	575	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__Clostridium_clostridioforme"	"consent_age"	"consent_age"	1.40148286083714	0.00104371147116714	NA	0.0180418408711379	0.00104371147116714	0.0141797988153098	736	273	"abundance"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiales_noname.g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47"	"dysbiosis_state"	"dysbiosis_CD"	-1.82366678204261	0.00109438651663055	NA	0.018360120770123	0.00140874461828441	0.0174986206514043	736	270	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_onderdonkii"	"Antibiotics"	"Yes"	-1.129360250229	0.00120550681016019	NA	0.0195433927576559	0.00120550681016019	0.0153330421335509	736	362	"abundance"
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila.s__Bilophila_unclassified"	"Antibiotics"	"Yes"	-0.934118297687961	0.00128441118571205	NA	0.0205804489989675	0.00256717265933011	0.0282551471808549	736	387	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__Parabacteroides_distasonis"	"reads_filtered"	"reads_filtered"	-0.0613509702583053	0.00155608972672747	NA	0.0238933616650962	0.00310975803821731	0.0326702939896045	736	405	"abundance"
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_aerofaciens"	"reads_filtered"	"reads_filtered"	-0.0530954257804766	0.0020439233825199	NA	0.02976234622229	1.85890853415475e-05	0.000538773656815851	736	347	"abundance"
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Veillonellaceae.g__Dialister.s__Dialister_invisus"	"Antibiotics"	"Yes"	-1.47913070137853	0.00205183083535381	NA	0.02976234622229	0.000230688935931486	0.00426594242051557	736	385	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_dorei"	"reads_filtered"	"reads_filtered"	0.0117332103988485	0.00214144794277846	NA	0.0307387006786325	0.0042783100862653	0.0411048687293666	736	436	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_rectale"	"Antibiotics"	"Yes"	-0.949397582081673	0.00255100149982152	NA	0.0348047531361787	7.59351609524778e-06	0.00026894131875897	736	575	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__Ruminococcus_obeum"	"Antibiotics"	"Yes"	-0.739992007030089	0.00275204666396634	NA	0.0368186437179186	0.00549651956709203	0.0495256348558189	736	560	"abundance"
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_21_3"	"dysbiosis_state"	"dysbiosis_CD"	1.63977123359892	0.00279797915825324	NA	0.0370732238468555	0.00279797915825324	0.0300350972605086	736	60	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_inulinivorans"	"reads_filtered"	"reads_filtered"	0.0199485067407557	0.0028431257251164	NA	0.0374911698489034	0.00567816808634399	0.0506376118059087	736	405	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus.s__Coprococcus_comes"	"dysbiosis_state"	"dysbiosis_CD"	-1.77485550974041	0.00287797064644206	NA	0.0375787750943501	1.3858078275172e-05	0.000415503415871104	736	355	"abundance"
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Veillonellaceae.g__Veillonella.s__Veillonella_parvula"	"dysbiosis_state"	"dysbiosis_CD"	1.17405169861345	0.00327691137270311	NA	0.0414360372901324	0.00654308459726167	0.055788232345746	736	358	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_46FAA"	"dysbiosis_state"	"dysbiosis_CD"	-1.51689452748736	0.003430515886369	NA	0.0429750081037862	0.003430515886369	0.0352998054816313	736	460	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Proteus.s__Proteus_penneri"	"dysbiosis_state"	"dysbiosis_CD"	4.70647135737987	0.00353777243340768	NA	0.0441181032872017	0.00353777243340768	0.0353573923085975	736	17	"abundance"
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_breve"	"reads_filtered"	"reads_filtered"	-1.77101949670225	0.00374163150185609	NA	0.0462418673502932	0.0074692631974165	0.0630536344675111	736	54	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_fragilis"	"Antibiotics"	"Yes"	-0.952957361724353	0.00388655926426914	NA	0.0474059749593143	0.00388655926426914	0.037970373935753	736	440	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Cellulophaga.s__Cellulophaga_unclassified"	"Antibiotics"	"Yes"	3.86675533846525	0.0040332092983156	NA	0.0487478585529007	0.0040332092983156	0.0391829663115689	736	13	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Odoribacter.s__Odoribacter_splanchnicus"	"reads_filtered"	"reads_filtered"	-0.187358774422575	0.00427718190282415	NA	0.0505919026788986	1.5641301397491e-05	0.000461020731020963	736	317	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_ventriosum"	"Antibiotics"	"Yes"	-1.31153017140778	0.00480369040355719	NA	0.0556259275302673	0.00480369040355719	0.0451546897934376	736	203	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__Clostridium_hathewayi"	"dysbiosis_state"	"dysbiosis_CD"	1.13203769695251	0.00502286618613483	NA	0.0575946642924492	0.0100205031875458	0.0787048806027305	736	343	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_senegalensis"	"food_group"	"food_group"	NA	0.00508872490758189	NA	0.0577140981287889	0.0101515546939787	0.0788105072001296	736	125	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Proteus.s__Proteus_mirabilis"	"Antibiotics"	"Yes"	4.10913875723772	0.00517041322926362	NA	0.058095802279296	0.0103140932855659	0.0795965566585522	736	50	"abundance"
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila.s__Bilophila_unclassified"	"reads_filtered"	"reads_filtered"	-0.131224165545222	0.00656751050828089	NA	0.0698769137971683	0.000247157506727918	0.00434148388080656	736	387	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_clarus"	"reads_filtered"	"reads_filtered"	-0.00124160642992817	0.00670710471655948	NA	0.0705525977054883	0.00210682556629538	0.0244251310652511	736	71	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_indistinctus"	"Antibiotics"	"Yes"	-0.869237598477506	0.0075970866840647	NA	0.0784178685441285	0.0151364576420442	0.104453570791726	736	168	"abundance"
