"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.58711196386981	4.13659863918797e-48	NA	9.89060734629845e-45	4.13659863918797e-48	6.64337741453589e-45	736	686	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.74904915522267	5.41689018055002e-15	NA	6.47589221084755e-12	5.41689018055002e-15	4.34976281498167e-12	736	624	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Subdoligranulum.s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.7788793481378	3.7291689826826e-12	NA	2.22911075939852e-09	7.4583379653513e-12	2.39561815447084e-09	736	690	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.55315677037962	6.50506456591621e-12	NA	2.78536291746012e-09	6.50506456591621e-12	2.39561815447084e-09	736	644	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.57382703849147	9.38619785599275e-11	NA	2.80529988420983e-08	9.38619785599275e-11	1.88427921959054e-08	736	407	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.188051830244124	4.73820738002416e-09	NA	8.09218131831269e-07	9.47641473759769e-09	1.08708014775585e-06	736	580	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_CD"	-2.59906478560085	2.50695432510176e-07	NA	2.39765111652732e-05	2.50695432510176e-07	1.83007665732428e-05	736	279	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Escherichia.s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.92237230193332	1.34016930223257e-06	NA	8.52194813568849e-05	1.34016930223257e-06	7.1743729979517e-05	736	436	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_stercoris"	"dysbiosis_state"	"dysbiosis_CD"	-1.96686830440212	1.87151990594721e-06	NA	0.000106542954645709	1.87151990594721e-06	9.35918741584432e-05	736	466	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_rectale"	"dysbiosis_state"	"dysbiosis_CD"	-1.5092132683192	5.47743831920146e-06	NA	0.000251856827330975	3.28032611763763e-10	5.26820374492603e-08	736	575	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_caccae"	"reads_filtered"	"reads_filtered"	0.128245759080166	6.31063699951945e-06	NA	0.00028469307671417	1.26212341748996e-05	0.000413667389487524	736	470	"abundance"
