"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.56260680220638	7.45336459285473e-80	NA	3.54407486390242e-76	7.45336459285473e-80	2.195761209055e-76	1638	1559	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.67715512463503	3.01697281602727e-23	NA	7.17285287010484e-20	3.01697281602727e-23	4.44400095800817e-20	1638	1412	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Escherichia.s__Escherichia_unclassified"	"reads_filtered"	"reads_filtered"	-0.767759253662573	1.26529506833677e-20	NA	1.50411951248534e-17	2.53059013667355e-20	1.86377963566007e-17	1638	653	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Peptostreptococcaceae_noname.s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-0.869470900808508	3.660782948248e-20	NA	3.48140458378385e-17	7.321565896496e-20	4.31386662621545e-17	1638	431	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.53966423369678	5.04619790655697e-19	NA	3.9991118409464e-16	5.04619790655697e-19	2.47768317211947e-16	1638	1479	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_nonIBD"	-3.50366399276951	2.75098217941914e-18	NA	1.868702894734e-15	5.5019643588383e-18	2.31554100016252e-15	1638	1559	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Subdoligranulum.s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.78147263848014	3.75089629319251e-18	NA	2.2294389842663e-15	7.50179258638504e-18	2.76253511993629e-15	1638	1568	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.5649732950834	1.66364439588696e-15	NA	7.19148100222045e-13	1.66364439588696e-15	4.90109639028298e-13	1638	950	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__Ruminococcus_torques"	"reads_filtered"	"reads_filtered"	-0.305657184289485	7.49311924275311e-13	NA	1.79511226917256e-10	1.49862384855006e-12	2.22435362564895e-10	1638	1525	"abundance"
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Propionibacteriaceae.g__Propionibacterium.s__Propionibacterium_acnes"	"reads_filtered"	"reads_filtered"	-1.02122864914441	1.73182593812461e-12	NA	3.74310560717388e-10	3.46365187624622e-12	4.85900877496255e-10	1638	236	"abundance"
