"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.56260680220638	4.77384806521205e-61	NA	2.26996475500833e-57	4.77384806521205e-61	1.40637564001147e-57	1638	1559	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.67715512463503	1.73569382812339e-18	NA	2.75107471757557e-15	1.73569382812339e-18	1.70445133921717e-15	1638	1412	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.196799507627077	1.40519862666919e-17	NA	1.670429867453e-14	2.8103972533384e-17	2.06985757708373e-14	1638	1336	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.53966423369678	1.59810642865169e-15	NA	1.08557086689126e-12	1.59810642865169e-15	7.73915458222158e-13	1638	1479	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_nonIBD"	-3.50366399276951	3.17903642833022e-13	NA	1.00775454778068e-10	6.35807285665942e-13	1.17068016473242e-10	1638	1559	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.5649732950834	4.29096664116886e-13	NA	1.27522164867237e-10	4.29096664116886e-13	8.42745848325565e-11	1638	950	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"reads_filtered"	"reads_filtered"	0.202102417325343	9.41788997139751e-13	NA	2.48789260077751e-10	1.88357799427861e-12	3.08278931730266e-10	1638	761	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.78147263848014	1.02695043992319e-12	NA	2.57007860096567e-10	2.05390087984532e-12	3.18462736422333e-10	1638	1568	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae"	"reads_filtered"	"reads_filtered"	0.126393263191027	2.09260433805282e-11	NA	4.14597234476715e-09	4.18520867606184e-11	5.1373436498659e-09	1638	1087	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae"	"reads_filtered"	"reads_filtered"	0.112946215058619	3.21628665195258e-11	NA	6.11737721201382e-09	6.43257330380172e-11	7.58014438119995e-09	1638	916	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis"	"reads_filtered"	"reads_filtered"	0.0701192361026541	1.01191550007887e-09	NA	1.14563290544643e-07	2.02383099913376e-09	1.41957288653525e-07	1638	950	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_UC"	-1.80022617755196	1.13158144884611e-09	NA	1.25131855564261e-07	2.26316289641173e-09	1.55052974251836e-07	1638	1568	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron"	"reads_filtered"	"reads_filtered"	0.0772980387385119	1.29832190257356e-09	NA	1.37189347705273e-07	2.59664380346148e-09	1.69993614333278e-07	1638	1127	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_UC"	-2.00196027438701	2.40270871570003e-09	NA	2.3155445528475e-07	4.80541742562704e-09	2.86922996609208e-07	1638	1559	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis"	"reads_filtered"	"reads_filtered"	0.175770888882213	3.36713478535781e-08	NA	2.58237514586716e-06	6.73426945733965e-08	3.14907267005121e-06	1638	485	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.85911042737922	4.61666008192031e-08	NA	3.48447915706843e-06	4.61666008192031e-08	2.30520010192157e-06	1638	989	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"reads_filtered"	"reads_filtered"	0.0163613834163038	6.23351012661201e-08	NA	4.42535414527989e-06	1.24670198646575e-07	5.56482432140623e-06	1638	1412	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens"	"reads_filtered"	"reads_filtered"	0.0345683308421256	8.47499132426775e-08	NA	5.84037445607147e-06	1.69499819302807e-07	7.23690532849377e-06	1638	1082	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris"	"dysbiosis_state"	"dysbiosis_UC"	-2.91677712564768	1.61650526718715e-07	NA	9.8544648018909e-06	1.61650526718715e-07	7.00327134872551e-06	1638	1083	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_CD"	-2.56931752185031	1.88279835202646e-07	NA	1.11908827048573e-05	1.88279835202646e-07	7.75790204004056e-06	1638	761	"abundance"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	2.04869991815715	2.89011857184622e-07	NA	1.63601354870581e-05	5.78023630841391e-07	2.10229335365276e-05	1638	1004	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-0.869470900808508	4.00602409248552e-07	NA	2.21495866974054e-05	8.01204658014815e-07	2.84379388254415e-05	1638	431	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8"	"reads_filtered"	"reads_filtered"	0.172599317381652	5.77843912506764e-07	NA	3.00047089321238e-05	1.15568749110994e-06	3.8432561399717e-05	1638	472	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii"	"reads_filtered"	"reads_filtered"	0.0575710180125841	7.9491647092234e-07	NA	3.93732064503721e-05	1.58983230995248e-06	4.9826021118298e-05	1638	792	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA"	"dysbiosis_state"	"dysbiosis_CD"	1.57146111909756	8.61004805476232e-07	NA	4.22069881447369e-05	1.72200886962319e-06	5.34004013674727e-05	1638	668	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris"	"dysbiosis_state"	"dysbiosis_CD"	-1.93965828227603	1.21599153291278e-06	NA	5.66866641078459e-05	1.21599153291278e-06	3.9147827386499e-05	1638	1083	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"Antibiotics"	"Yes"	-0.793910249753607	1.81706528547932e-06	NA	7.98566112980377e-05	1.81706528547932e-06	5.57611909481467e-05	1638	1559	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_senegalensis"	"reads_filtered"	"reads_filtered"	0.182923689146127	2.96774569013698e-06	NA	0.000118585132408415	1.56826243163461e-08	8.40018386108285e-07	1638	392	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron"	"dysbiosis_state"	"dysbiosis_CD"	-1.65069332197677	3.46019555423397e-06	NA	0.000137110248836521	1.4027218075257e-06	4.44346069351691e-05	1638	1127	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei"	"reads_filtered"	"reads_filtered"	0.0375115671854664	4.22628220731325e-06	NA	0.0001633818853315	2.70164427650233e-07	1.06120587181011e-05	1638	1057	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes"	"reads_filtered"	"reads_filtered"	-1.02122864914441	5.95382899608207e-06	NA	0.000219460906018374	1.19076225440844e-05	0.000297286915380277	1638	236	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA"	"reads_filtered"	"reads_filtered"	-0.0694846889690778	6.43087625793678e-06	NA	0.000232679641180728	1.80390410694141e-20	2.6571507495247e-17	1638	1243	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified"	"reads_filtered"	"reads_filtered"	-0.767759253662573	6.94861818613729e-06	NA	0.000248426161466788	1.38971880889799e-05	0.000341175967584456	1638	653	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"reads_filtered"	"reads_filtered"	-0.0647561020703147	8.53621910680696e-06	NA	0.00028787036775083	1.06819920641632e-09	8.06901246692943e-08	1638	1559	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified"	"Antibiotics"	"Yes"	-1.44274702248754	8.65829420045835e-06	NA	0.000287903419043213	1.73165134348582e-05	0.000392418835223788	1638	521	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale"	"dysbiosis_state"	"dysbiosis_CD"	-1.4785120841117	9.63557153934723e-06	NA	0.000315980294273076	3.42239347538159e-10	3.08975087167174e-08	1638	1335	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_nonIBD"	2.19768630096897	1.26708128978763e-05	NA	0.000404360505566454	1.26708128978763e-05	0.00031368247728692	1638	989	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae"	"dysbiosis_state"	"dysbiosis_UC"	-1.78991884749218	1.50054538368778e-05	NA	0.000469414032857592	3.00106825101108e-05	0.000640662830976713	1638	1087	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme"	"dysbiosis_state"	"dysbiosis_CD"	1.60135056126598	1.65619207169402e-05	NA	0.00051137618837046	1.65619207169402e-05	0.000384184397103197	1638	519	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_UC"	-1.6717594075412	1.8738231410711e-05	NA	0.000571155707422635	1.8738231410711e-05	0.000420617368404987	1638	1412	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii"	"reads_filtered"	"reads_filtered"	0.00407773561487873	2.05269283147098e-05	NA	0.000621691363926403	2.64781214009586e-06	7.72322234130932e-05	1638	901	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	1.43583894965766	2.39594905406786e-05	NA	0.000716524386924068	4.79184070241703e-05	0.00100118884463266	1638	653	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum"	"Antibiotics"	"Yes"	-0.736487431103155	2.50293353662481e-05	NA	0.000743840560415686	5.00580442648674e-05	0.00103852815777676	1638	1352	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_unclassified"	"reads_filtered"	"reads_filtered"	-0.0825534154753586	2.71761181221414e-05	NA	0.000797669393029519	3.46102439800297e-10	3.08975087167174e-08	1638	1301	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme"	"dysbiosis_state"	"dysbiosis_nonIBD"	2.58281851565383	3.99141510649736e-05	NA	0.0011164222841997	7.9826708990492e-05	0.00156779656457326	1638	519	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens"	"diagnosis"	"UC"	-1.85612432501196	5.33967745222829e-05	NA	0.00143447267148845	5.33967745222829e-05	0.0010924090121017	1638	151	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA"	"reads_filtered"	"reads_filtered"	-0.0324612698365429	6.29259116110215e-05	NA	0.00164402587752971	5.87124359058306e-15	1.92185373531752e-12	1638	994	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus"	"reads_filtered"	"reads_filtered"	-0.124667227291779	7.03755448714763e-05	NA	0.00178949580675866	7.25899340519212e-09	4.11249895609538e-07	1638	662	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus"	"dysbiosis_state"	"dysbiosis_nonIBD"	-8.3090546620105	0.000100356937722415	NA	0.00242232100949281	0.000100356937722415	0.00190742928084023	1638	62	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_citroniae"	"dysbiosis_state"	"dysbiosis_CD"	1.67432252443145	0.000115861046712641	NA	0.0027138880646237	0.000231708669643138	0.00377134663408112	1638	463	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus"	"dysbiosis_state"	"dysbiosis_UC"	-1.3069123882674	0.000141463864419427	NA	0.00318796528585011	0.000282907716813916	0.00443322411560531	1638	1336	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_nonIBD"	-2.27870838832796	0.000145484685758711	NA	0.00326311170180506	0.000145484685758711	0.00256645439667763	1638	761	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus"	"dysbiosis_state"	"dysbiosis_CD"	-3.36639855793696	0.000152847581607234	NA	0.00339621612402991	0.000152847581607234	0.00266443180718883	1638	357	"abundance"
