"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.55223221159278	1.89770661310268e-35	NA	7.76351775420308e-32	1.89770661310268e-35	4.92075324777526e-32	737	687	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.77484436207538	5.94549218835011e-12	NA	6.08075213563508e-09	5.94549218835011e-12	3.85416531109796e-09	737	623	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.55389236380829	1.37891844343623e-09	NA	6.26795039121959e-07	1.37891844343623e-09	3.97281724870017e-07	737	643	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.169847359251808	2.14096438409965e-09	NA	7.62649041177481e-07	4.28192876361556e-09	8.92412520494715e-07	737	579	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.59925915986981	4.34617617549084e-09	NA	1.18534711559553e-06	4.34617617549084e-09	8.92412520494715e-07	737	406	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.71145244216142	6.02239780329077e-08	NA	1.11989224605739e-05	1.20447952438888e-07	1.48724543178113e-05	737	691	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified"	"Antibiotics"	"Yes"	-2.18095782174092	1.2120311082216e-06	NA	0.000134011331452286	2.42406074742379e-06	0.000179588271944854	737	273	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae"	"reads_filtered"	"reads_filtered"	0.142537477755622	2.08910780170616e-06	NA	0.000198756744576277	4.17821123904091e-06	0.000264246383971539	737	469	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes"	"reads_filtered"	"reads_filtered"	-1.37682355246299	3.11792110641547e-06	NA	0.000271886841362649	6.23583249139891e-06	0.000351992904478558	737	109	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-1.14185830928894	4.19633055613356e-06	NA	0.000343343766102848	8.39264350307699e-06	0.000444124991907727	737	165	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_CD"	-2.50271081112105	4.37989443436842e-06	NA	0.000351336237862769	4.37989443436842e-06	0.000270406339721841	737	279	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris"	"dysbiosis_state"	"dysbiosis_CD"	-2.10031537872254	4.91398182164307e-06	NA	0.000379303766647958	4.91398182164307e-06	0.000296324531709778	737	465	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"reads_filtered"	"reads_filtered"	0.158679304811616	9.01466930041631e-06	NA	0.00055877291072732	1.802925733657e-05	0.000742061337678192	737	279	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum"	"dysbiosis_state"	"dysbiosis_CD"	8.47846977412477	2.06191545823643e-05	NA	0.00109549300514873	4.12378840151928e-05	0.00144499774664047	737	39	"abundance"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	2.04376241714075	3.77215055817745e-05	NA	0.00181551387452987	7.54415882515656e-05	0.00244525047920387	737	422	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.80176269883399	3.73707790545105e-05	NA	0.00181551387452987	3.73707790545105e-05	0.00136482295899078	737	437	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus|s__Actinobacillus_unclassified"	"reads_filtered"	"reads_filtered"	-1.29074312460428	4.50605834274828e-05	NA	0.00214352147443991	9.01191363987868e-05	0.00288492494669203	737	51	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale"	"dysbiosis_state"	"dysbiosis_CD"	-1.53095419926238	6.30841729218045e-05	NA	0.00286752612692336	2.00841730533845e-10	7.43975153248944e-08	737	576	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron"	"dysbiosis_state"	"dysbiosis_CD"	-1.68172534023042	6.86981479514429e-05	NA	0.00302197982010057	6.25814674289704e-06	0.000351992904478558	737	452	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens"	"reads_filtered"	"reads_filtered"	0.0313188483862931	9.61218545480039e-05	NA	0.00397206572682711	0.000192234469685086	0.0053028082967386	737	488	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus"	"dysbiosis_state"	"dysbiosis_CD"	-3.19918147082449	0.000104408870972206	NA	0.00427136691147294	0.000104408870972206	0.00326183376422807	737	168	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"reads_filtered"	"reads_filtered"	0.0547994636453329	0.00011815135774212	NA	0.00469278839342733	4.90281848116344e-05	0.00160924155970339	737	623	"abundance"
