"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.57949635119234	4.19785212579546e-48	NA	1.50996740964863e-44	4.19785212579546e-48	9.94890953813525e-45	733	685	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.78991194048103	5.10566002052846e-14	NA	9.18252954692044e-11	5.10566002052846e-14	6.05020712432623e-11	733	620	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.60098698118963	5.48574080336942e-11	NA	3.28870161161996e-08	5.48574080336942e-11	2.16686761733092e-08	733	640	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Subdoligranulum.s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.77067474060686	9.92785381837828e-11	NA	5.00852405377295e-08	1.98557076357709e-10	6.60005671769849e-08	733	687	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.71010611237547	2.71226734525947e-10	NA	9.7560256408983e-08	2.71226734525947e-10	7.14230400918326e-08	733	404	"abundance"
"k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Fusobacterium.s__Fusobacterium_nucleatum"	"consent_age"	"consent_age"	4.41165935901602	6.54568181993178e-08	NA	1.30804541701637e-05	1.30913632114041e-07	1.7236961561682e-05	733	32	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.167543296917162	7.63875694316987e-08	NA	1.38065644009453e-05	1.52775133028336e-07	1.81938039334282e-05	733	577	"abundance"
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Propionibacteriaceae.g__Propionibacterium.s__Propionibacterium_acnes"	"reads_filtered"	"reads_filtered"	-1.45989122739157	1.31059534351504e-07	NA	1.96425477109317e-05	2.62119051526407e-07	2.48488860847034e-05	733	110	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_CD"	-2.88996896002638	2.49628895269282e-07	NA	3.34061198909466e-05	2.49628895269282e-07	2.46508534078416e-05	733	277	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Escherichia.s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.81759754940237	2.41780065289121e-07	NA	3.34061198909466e-05	2.41780065289121e-07	2.46508534078416e-05	733	434	"abundance"
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Veillonellaceae.g__Veillonella.s__Veillonella_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	2.00515735015601	1.02547874805713e-06	NA	9.96931636962564e-05	2.05095644450759e-06	0.000135021299263416	733	422	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_noname.g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA"	"dysbiosis_state"	"dysbiosis_CD"	1.55701801187089	5.94725686211017e-06	NA	0.000375303209351057	1.18944783543562e-05	0.000531885164147624	733	324	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Peptostreptococcaceae_noname.s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-1.10597082712288	6.07185155345828e-06	NA	0.000375991607982246	1.21436662395353e-05	0.000532972018290715	733	163	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii"	"reads_filtered"	"reads_filtered"	0.204302812453083	9.24295703496669e-06	NA	0.000496222633653361	1.84858286376786e-05	0.000684553341739037	733	277	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_rectale"	"dysbiosis_state"	"dysbiosis_CD"	-1.60375737468874	1.26281770525066e-05	NA	0.000639768350110792	3.14591040041509e-10	7.45580764898376e-08	733	572	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Actinobacillus.s__Actinobacillus_unclassified"	"reads_filtered"	"reads_filtered"	-1.31782087368526	1.59419033435996e-05	NA	0.000764573684359036	3.18835525429169e-05	0.00106428196516497	733	51	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_indistinctus"	"dysbiosis_state"	"dysbiosis_CD"	-3.98394540095741	1.7155676832592e-05	NA	0.000801415189179654	1.7155676832592e-05	0.000664599232951889	733	168	"abundance"
