"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.58634906520766	1.29807364904884e-38	NA	3.66575998491392e-35	1.29807364904884e-38	2.99855012930281e-35	736	686	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.80677802502445	5.29493030696642e-13	NA	7.47644159343659e-10	5.29493030696642e-13	6.11564450454622e-10	736	622	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.66610718008977	5.63005766880595e-11	NA	5.299760952236e-08	5.63005766880595e-11	4.33514440498058e-08	736	642	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.64747401077667	5.36115754012167e-10	NA	3.7849772233259e-07	5.36115754012167e-10	3.09606847942026e-07	736	405	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.190541107458698	1.55547682139203e-09	NA	8.7853330872222e-07	1.55547682139203e-09	7.18630291483119e-07	736	578	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.74311893156148	5.332347894474e-09	NA	2.1512214934278e-06	5.332347894474e-09	1.75967480517642e-06	736	690	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris"	"dysbiosis_state"	"dysbiosis_CD"	-2.14007013058558	1.54750308239951e-06	NA	0.000242786039149789	1.54750308239951e-06	0.00021434314762804	736	464	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_CD"	-2.53629144019964	1.67461789471198e-06	NA	0.000248901101824559	1.67461789471198e-06	0.000214909296488037	736	278	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae"	"reads_filtered"	"reads_filtered"	0.1496863281582	1.90901224103451e-06	NA	0.000256716693746736	1.90901224103451e-06	0.000232095698778406	736	468	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-1.1424060902345	3.58835866030843e-06	NA	0.00040534099426844	3.58835866030843e-06	0.000413118225627331	736	165	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"reads_filtered"	"reads_filtered"	0.16552528818907	1.13406621698017e-05	NA	0.00110434586094896	2.26811957289849e-05	0.00169011490754694	736	278	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes"	"reads_filtered"	"reads_filtered"	-1.31071414921761	1.2830829547325e-05	NA	0.00116884718198857	1.2830829547325e-05	0.00114496233792079	736	110	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale"	"dysbiosis_state"	"dysbiosis_CD"	-1.58767152981731	1.43213416492266e-05	NA	0.00126385840054425	1.43213416492266e-05	0.00122017536962874	736	575	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.8875895657499	1.47900044803484e-05	NA	0.00126566583795466	1.47900044803484e-05	0.00122017536962874	736	436	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron"	"dysbiosis_state"	"dysbiosis_CD"	-1.72499280983479	2.07815283159436e-05	NA	0.00163019544345068	2.07815283159436e-05	0.00160017768032765	736	451	"abundance"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	2.07811501227339	2.38699663152021e-05	NA	0.00177391539142449	4.77393628551123e-05	0.00290205074198183	736	423	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus|s__Actinobacillus_unclassified"	"reads_filtered"	"reads_filtered"	-1.32325030323011	2.53998514994052e-05	NA	0.00179322951585801	2.53998514994052e-05	0.00177798960495837	736	51	"abundance"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname|s__Burkholderiales_bacterium_1_1_47"	"dysbiosis_state"	"dysbiosis_CD"	-1.99492223006785	2.6627256935665e-05	NA	0.00183403350210532	5.32538048605182e-05	0.00307220936053702	736	271	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified"	"Antibiotics"	"Yes"	-1.9023548028217	4.42020541790038e-05	NA	0.00290294420933737	4.42020541790038e-05	0.00283629847648608	736	273	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified"	"food_group"	"Yesterday, 3 or more times"	-8.28828640457376	5.5858352009764e-05	NA	0.00350542191279053	5.5858352009764e-05	0.00307220936053702	736	364	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus"	"dysbiosis_state"	"dysbiosis_CD"	-3.17587280272647	7.12956069103244e-05	NA	0.00428380412584588	7.12956069103244e-05	0.00383006632471743	736	168	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens"	"reads_filtered"	"reads_filtered"	0.0421697836438058	9.73602293774528e-05	NA	0.00549890575523853	9.73602293774528e-05	0.00499782510804258	736	486	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"reads_filtered"	"reads_filtered"	0.0605576411578719	0.000144407458980774	NA	0.00755197526225381	0.000144407458980774	0.00709747298394867	736	622	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8"	"reads_filtered"	"reads_filtered"	0.183170872570638	0.000207493965615782	NA	0.0101028096361891	0.000414944877485798	0.0159753777832032	736	226	"abundance"
