"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.48125840352514	1.55497556479093e-51	NA	6.3411903532174e-48	1.55497556479093e-51	4.06626110192827e-48	734	685	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.75228261242069	1.91457089852656e-15	NA	3.90381006209565e-12	1.91457089852656e-15	2.50330144982347e-12	734	622	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Subdoligranulum.s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.79866242852438	2.9029217991094e-13	NA	3.94603836558938e-10	5.80584359821795e-13	5.06076033644665e-10	734	688	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.62727953381806	2.54915226549263e-11	NA	1.48506327695413e-08	2.54915226549263e-11	9.52290453466174e-09	734	407	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.33979788824149	1.6326115482247e-10	NA	7.39754432628925e-08	1.6326115482247e-10	5.07339904090504e-08	734	641	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.214869528815778	2.73647839749939e-08	NA	6.13732423420724e-06	5.47295672011563e-08	8.18485456449934e-06	734	578	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_CD"	-2.73687897664106	9.34777280821054e-08	NA	1.73273715963103e-05	9.34777280821054e-08	1.28654873123529e-05	734	279	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_stercoris"	"dysbiosis_state"	"dysbiosis_CD"	-2.06777345403048	8.21591406595059e-07	NA	0.000101528780487717	8.21591406595059e-07	7.57989810364876e-05	734	466	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_thetaiotaomicron"	"dysbiosis_state"	"dysbiosis_CD"	-1.85345564696834	8.73642415782435e-07	NA	0.000104785699163552	1.7472840683138e-06	0.000134386701136488	734	454	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Escherichia.s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.81205292596531	1.30966105637015e-06	NA	0.0001369435330225	1.30966105637015e-06	0.000107787307748808	734	433	"abundance"
