"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.56261146468368	7.37900869443634e-49	NA	2.47934692133061e-45	7.37900869443634e-49	1.71266791797867e-45	735	686	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.78316296919169	3.07107875082678e-14	NA	5.15941230138898e-11	3.07107875082678e-14	3.56398689033447e-11	735	622	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.59745850904953	3.05504134454367e-11	NA	1.71082315294445e-08	3.05504134454367e-11	1.77268774017146e-08	735	642	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Subdoligranulum.s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.72942172510749	1.43607598258911e-10	NA	6.03151912687427e-08	2.87215196497199e-10	8.33283088837499e-08	735	690	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.61395685605196	4.15664190919747e-10	NA	1.55181297943372e-07	4.15664190919747e-10	1.07195176347193e-07	735	407	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.17899600360303	2.02361804498755e-09	NA	6.18123330105288e-07	4.04723608588006e-09	8.53966814120692e-07	735	578	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Escherichia.s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.86070587024988	2.14128936687396e-08	NA	4.79648818179766e-06	2.14128936687396e-08	3.54995187179604e-06	735	436	"abundance"
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Veillonellaceae.g__Veillonella.s__Veillonella_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	2.02095820427898	4.56609534777172e-07	NA	5.90080014173577e-05	9.13218861062078e-07	8.47832390610033e-05	735	422	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_caccae"	"reads_filtered"	"reads_filtered"	0.142456449063371	1.67217863729906e-06	NA	0.000165250594744848	3.34435447841673e-06	0.00023521959831531	735	469	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_CD"	-2.56786049087193	2.55428321448753e-06	NA	0.000231956529748057	2.55428321448753e-06	0.000197616378027518	735	278	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_noname.g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA"	"dysbiosis_state"	"dysbiosis_CD"	1.50563071631572	3.75882596714975e-06	NA	0.000301160490876029	7.51763780552685e-06	0.000417719015072722	735	323	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Escherichia.s__Escherichia_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	1.58174956929729	3.87942371239755e-06	NA	0.000301160490876029	7.75883237486677e-06	0.000417719015072722	735	287	"abundance"
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Propionibacteriaceae.g__Propionibacterium.s__Propionibacterium_acnes"	"reads_filtered"	"reads_filtered"	-1.33497655261621	4.74466512560398e-06	NA	0.000342369928970478	9.48930773936081e-06	0.000482853328952608	735	111	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_stercoris"	"dysbiosis_state"	"dysbiosis_CD"	-2.04575995468144	7.38448374932348e-06	NA	0.000459478988846794	7.38448374932348e-06	0.000417719015072722	735	464	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_unclassified"	"Antibiotics"	"Yes"	-1.95860785677777	7.91884388763454e-06	NA	0.000483769372044583	7.91884388763454e-06	0.000417719015072722	735	272	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Peptostreptococcaceae_noname.s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-1.1271526830156	9.20484916479933e-06	NA	0.000542601634977645	1.84096136003505e-05	0.000791272466044695	735	163	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii"	"reads_filtered"	"reads_filtered"	0.15566506429458	1.06331040674628e-05	NA	0.000589716602515693	2.12660950720235e-05	0.00085614343036841	735	278	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_rectale"	"dysbiosis_state"	"dysbiosis_CD"	-1.54953161275242	2.49076167814724e-05	NA	0.00117872665332038	1.32708567854697e-09	3.08016585990753e-07	735	575	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Actinobacillus.s__Actinobacillus_unclassified"	"reads_filtered"	"reads_filtered"	-1.26888823458465	4.29907883021828e-05	NA	0.00184174160856771	8.59797283964869e-05	0.00264483543171022	735	51	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_xylanisolvens"	"reads_filtered"	"reads_filtered"	0.037473651440305	6.08012058776783e-05	NA	0.00243204823510713	0.00012159871496872	0.0034843286104	735	485	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_thetaiotaomicron"	"dysbiosis_state"	"dysbiosis_CD"	-1.67235895341395	6.43707776307727e-05	NA	0.00254453897458113	9.9857646659738e-06	0.000482853328952608	735	452	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__Clostridium_clostridioforme"	"dysbiosis_state"	"dysbiosis_CD"	1.44871177528853	6.62571072850454e-05	NA	0.00258864977299712	6.62571072850454e-05	0.00216595416913508	735	273	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__Clostridium_clostridioforme"	"consent_age"	"consent_age"	1.52557127837667	0.000101992543311258	NA	0.00376587852226185	0.000101992543311258	0.0030349319618645	735	273	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis"	"reads_filtered"	"reads_filtered"	0.054791770941026	0.000106153812482895	NA	0.00387692184720139	0.000100363679410722	0.0030252480508089	735	622	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_indistinctus"	"dysbiosis_state"	"dysbiosis_CD"	-3.15411815111294	0.000125431349991727	NA	0.00448350357417237	0.000125431349991727	0.00355031906500974	735	167	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_thetaiotaomicron"	"Antibiotics"	"Yes"	1.45239583079274	0.000176360005794133	NA	0.00575289210374718	0.000176360005794133	0.00481566556997863	735	452	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_finegoldii"	"reads_filtered"	"reads_filtered"	0.116530719004712	0.000180590810789378	NA	0.00575289210374718	0.000361149008537814	0.00842400354610274	735	323	"abundance"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiales_noname.g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47"	"dysbiosis_state"	"dysbiosis_CD"	-1.76093601429898	0.000181490048511072	NA	0.00575289210374718	0.000362947158384435	0.00842400354610274	735	269	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidales_noname.g__Bacteroidales_noname.s__Bacteroidales_bacterium_ph8"	"reads_filtered"	"reads_filtered"	0.171617958454832	0.000185769155148733	NA	0.00583349870373591	0.000371503800118461	0.00853723089183117	735	226	"abundance"
