"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.55774230317296	1.24393434424155e-47	NA	5.69099962490507e-44	1.24393434424155e-47	3.51287058813812e-44	738	688	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.79545728356137	1.12827633166668e-13	NA	2.58093210868753e-10	1.12827633166668e-13	1.59312618031335e-10	738	624	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.5731752077371	1.28554513488108e-10	NA	7.35171124010117e-08	1.28554513488108e-10	5.18625637272024e-08	738	644	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.74646349978852	5.30280616193069e-10	NA	2.69559313231477e-07	1.06056123210494e-09	3.3278054660715e-07	738	692	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.57472956199745	1.25593391568506e-09	NA	5.74589766425913e-07	1.25593391568506e-09	3.5467573778946e-07	738	407	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.83414412070327	3.73048828205737e-08	NA	9.48165771689581e-06	3.73048828205737e-08	7.02326593902001e-06	738	437	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.164070468840374	1.39694539924089e-07	NA	2.77870660935959e-05	2.79389060333612e-07	3.58633957446419e-05	738	580	"abundance"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	2.10617885062149	1.37518224261942e-07	NA	2.77870660935959e-05	2.75036429612622e-07	3.58633957446419e-05	738	423	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA"	"dysbiosis_state"	"dysbiosis_CD"	1.55252637848308	1.73140253346573e-06	NA	0.000180981028878757	3.46280206917672e-06	0.000228623298038042	738	324	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes"	"reads_filtered"	"reads_filtered"	-1.35567881824093	1.82937101189827e-06	NA	0.000185986052876324	3.65873867719824e-06	0.000234824500554723	738	110	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_CD"	-2.67156028225299	2.22653113747664e-06	NA	0.000212216249040742	2.22653113747664e-06	0.000173742713885073	738	278	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-1.11914796254768	2.40942226996389e-06	NA	0.000224961365001731	4.81883873461211e-06	0.000285600740452655	738	165	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris"	"dysbiosis_state"	"dysbiosis_CD"	-2.15046277251201	2.68559123420598e-06	NA	0.000236280382624853	2.68559123420598e-06	0.000189602741134942	738	466	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	1.53442092708627	6.23857600515298e-06	NA	0.000445960706618358	1.24771130904754e-05	0.000577628973237746	738	289	"abundance"
