"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.60283977552717	6.86335100901929e-51	NA	2.86888072177006e-47	6.86335100901929e-51	1.81810168228921e-47	735	685	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.86978330098392	3.74240913764144e-15	NA	7.8216350976706e-12	3.74240913764144e-15	4.95682090280608e-12	735	621	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.62333757167692	1.35818829408439e-11	NA	9.92989955255414e-09	1.35818829408439e-11	7.19568158205912e-09	735	642	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.77079812440896	3.71784258163134e-11	NA	2.22008314160272e-08	7.43568516312446e-11	2.81387571387381e-08	735	689	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.60295184360142	2.2968678323261e-10	NA	9.60090753912311e-08	2.2968678323261e-10	6.7604476531465e-08	735	407	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.174256157536259	1.76256692977747e-08	NA	4.91168651097988e-06	3.5251338284885e-08	6.2253863411107e-06	735	579	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.85829275569344	6.54777216034007e-08	NA	1.44050987527482e-05	6.54777216034007e-08	9.8956714094048e-06	735	436	"abundance"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	2.09897221256468	2.62060094932528e-07	NA	4.38164478727186e-05	5.24120121189562e-07	5.5535768041246e-05	735	420	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris"	"dysbiosis_state"	"dysbiosis_CD"	-2.2640659771676	3.21493801397156e-07	NA	5.16863111476965e-05	3.21493801397156e-07	3.70276991261333e-05	735	464	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_CD"	-2.71469595354925	7.43149998319916e-07	NA	9.13637350875661e-05	7.43149998319916e-07	7.29112720573873e-05	735	278	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes"	"reads_filtered"	"reads_filtered"	-1.39803538562911	2.02944468229391e-06	NA	0.000212076969299714	4.0588852459421e-06	0.000275691974782068	735	110	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus|s__Actinobacillus_unclassified"	"reads_filtered"	"reads_filtered"	-1.42543402594321	2.94910520509888e-06	NA	0.000273939105718073	5.89820171297625e-06	0.000355098553128956	735	49	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA"	"dysbiosis_state"	"dysbiosis_CD"	1.56127022660127	3.99279545620095e-06	NA	0.000309071944572592	3.99279545620095e-06	0.000275691974782068	735	322	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae"	"reads_filtered"	"reads_filtered"	0.136370212229024	6.08403307381023e-06	NA	0.000423854304142113	1.2168029132162e-05	0.000565493143352583	735	469	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	1.52166518757856	1.02045728611698e-05	NA	0.000618190066082459	2.04090415890323e-05	0.000819144714687067	735	287	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"reads_filtered"	"reads_filtered"	0.154292640923066	2.2638078461738e-05	NA	0.00119781225278563	4.52756444408795e-05	0.00162074570437689	735	278	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale"	"dysbiosis_state"	"dysbiosis_CD"	-1.49861152706472	3.5875776307134e-05	NA	0.001785246963855	2.28652024420839e-10	6.7604476531465e-08	735	575	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-1.05834333622921	4.38585787504615e-05	NA	0.00215681010796387	8.7715233925993e-05	0.00290447068337444	735	162	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron"	"dysbiosis_state"	"dysbiosis_CD"	-1.65581107903155	5.28151633581136e-05	NA	0.00253755612456224	6.98557419276299e-06	0.000385516375763108	735	454	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified"	"Antibiotics"	"Yes"	-1.84504693709845	5.80102399323739e-05	NA	0.00272534322801961	0.000116017114676811	0.00370387388332705	735	273	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme"	"dysbiosis_state"	"dysbiosis_CD"	1.49773079583533	7.44814184307489e-05	NA	0.00331204605362266	7.44814184307489e-05	0.00249748452434245	735	274	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"reads_filtered"	"reads_filtered"	0.0742428574918807	0.000112378538608603	NA	0.00456060477071808	4.73878918171069e-05	0.00167374033898021	735	621	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens"	"reads_filtered"	"reads_filtered"	0.0378243760740732	0.000127377612269336	NA	0.00511960018544062	0.000254738999482564	0.00674803609629313	735	486	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_unclassified"	"Antibiotics"	"Yes"	5.17368991544578	0.000152902430781146	NA	0.00586359780426778	0.000152902430781146	0.00460271067203698	735	116	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus"	"dysbiosis_state"	"dysbiosis_CD"	-3.05143815095119	0.000167411175858954	NA	0.00624802424187883	0.000167411175858954	0.00476851833172441	735	169	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron"	"Antibiotics"	"Yes"	1.47286987151128	0.00020073868444392	NA	0.00711091272013208	0.00020073868444392	0.00543993329588313	735	454	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8"	"reads_filtered"	"reads_filtered"	0.162031148140078	0.000385442756648775	NA	0.0124337717288822	0.000770736947178897	0.0165187146504057	735	225	"abundance"
