"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.52749734626682	9.8253191254957e-46	NA	3.97925424582576e-42	9.8253191254957e-46	2.57718120661752e-42	737	688	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.72265955145908	1.0086100846829e-12	NA	1.68765787663786e-09	1.0086100846829e-12	1.32279212606162e-09	737	624	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.53409944380662	5.61102470320316e-10	NA	2.8405812559966e-07	5.61102470320316e-10	2.04269053486468e-07	737	644	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.74386739166387	1.47625410810002e-09	NA	5.97882913780508e-07	2.95250821402071e-09	7.0403900412512e-07	737	692	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.61861518792338	1.74818195375563e-09	NA	6.43648810246389e-07	1.74818195375563e-09	5.09497918300112e-07	737	408	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.175012822757764	1.12839795917117e-08	NA	3.03799746065694e-06	2.25679590560951e-08	3.6997347877586e-06	737	580	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.90493600148953	1.20019652766694e-08	NA	3.03799746065694e-06	1.20019652766694e-08	2.09874366138026e-06	737	437	"abundance"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	2.07183929323686	1.5576840585717e-07	NA	2.86755474418881e-05	3.11536787450543e-07	3.89124282610845e-05	737	422	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA"	"dysbiosis_state"	"dysbiosis_CD"	1.48903656067052	3.25129175705855e-06	NA	0.000292616258135269	6.502572943219e-06	0.000396656949536359	737	325	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae"	"reads_filtered"	"reads_filtered"	0.137665861218989	4.40441799337023e-06	NA	0.000370981512864588	8.80881658784259e-06	0.000500556728328808	737	471	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes"	"reads_filtered"	"reads_filtered"	-1.32172730053667	5.54235749492731e-06	NA	0.000411610188028529	1.1084684272128e-05	0.000553280016893422	737	111	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	1.49716417462843	6.78083389976023e-06	NA	0.000490399594536231	1.35616218198121e-05	0.000658743222840131	737	287	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_CD"	-2.49749303052582	1.01068881248371e-05	NA	0.000627671571511741	1.01068881248371e-05	0.000532386257753194	737	278	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-1.11768800870033	1.01061580878342e-05	NA	0.000627671571511741	2.02122140412372e-05	0.000838431260680017	737	163	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris"	"dysbiosis_state"	"dysbiosis_CD"	-2.01728485211798	1.75195471332507e-05	NA	0.000985474526245352	1.75195471332507e-05	0.000780719150193215	737	467	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"reads_filtered"	"reads_filtered"	0.142677914618125	3.4413864357231e-05	NA	0.00172069321786155	6.88265444004021e-05	0.00231451315336224	737	278	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified"	"Antibiotics"	"Yes"	-1.86372822365518	4.28564720778406e-05	NA	0.00206629418946732	4.28564720778406e-05	0.00154948150076253	737	272	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme"	"dysbiosis_state"	"dysbiosis_CD"	1.44475692414549	5.60516587858722e-05	NA	0.00260930135727336	5.60516587858722e-05	0.00190939611682263	737	275	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens"	"reads_filtered"	"reads_filtered"	0.0584604983484201	6.298502713281e-05	NA	0.00278037209827515	0.000125966087151977	0.00384686860729265	737	487	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale"	"dysbiosis_state"	"dysbiosis_CD"	-1.54758692516957	6.32690517705142e-05	NA	0.00278037209827515	6.23008931716259e-10	2.04269053486468e-07	737	577	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus|s__Actinobacillus_unclassified"	"reads_filtered"	"reads_filtered"	-1.23973707759787	6.45320931451517e-05	NA	0.00278037209827515	0.000129060021899258	0.00384686860729265	737	50	"abundance"
