"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.59729970491067	1.29855119539923e-37	NA	3.65931726863504e-34	1.29855119539923e-37	2.72046475436139e-34	735	686	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.76894909214457	5.62543508638638e-12	NA	5.2841586911456e-09	5.62543508638638e-12	3.92842883532649e-09	735	622	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.181794854126196	9.08828672186361e-10	NA	5.12215839644233e-07	1.81765734354675e-09	7.61598426946088e-07	735	578	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.57339882635132	7.56605028161789e-09	NA	3.55352161559987e-06	7.56605028161789e-09	2.64181255666491e-06	735	407	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.33761194943019	2.29105959457932e-08	NA	7.17356215280502e-06	2.29105959457932e-08	5.99971231330459e-06	735	641	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Subdoligranulum.s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.73479737248556	3.85688703884453e-08	NA	9.88064334133081e-06	7.71377392893326e-08	1.46912330737411e-05	735	689	"abundance"
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Propionibacteriaceae.g__Propionibacterium.s__Propionibacterium_acnes"	"reads_filtered"	"reads_filtered"	-1.36820698384271	2.4618135886595e-06	NA	0.000296005332766733	2.4618135886595e-06	0.000260006031629915	735	110	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Peptostreptococcaceae_noname.s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-1.14419216394284	2.62602317926484e-06	NA	0.000296005332766733	2.62602317926484e-06	0.000261977074312374	735	164	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii"	"reads_filtered"	"reads_filtered"	0.1801646677139	3.88739380089497e-06	NA	0.000352787310739608	7.77477248995938e-06	0.000524547860586148	735	279	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_caccae"	"reads_filtered"	"reads_filtered"	0.125501180730601	4.46700189421512e-06	NA	0.000380708137680609	8.93398383432431e-06	0.000549889047268464	735	469	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_unclassified"	"Antibiotics"	"Yes"	-1.94460927271326	5.4235526744554e-06	NA	0.000436673469617581	5.4235526744554e-06	0.000469904632425578	735	272	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Escherichia.s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.84084314821565	5.60745384756059e-06	NA	0.000438939026178493	5.60745384756059e-06	0.000469904632425578	735	435	"abundance"
