"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.60103428983424	3.55534701587164e-52	NA	1.59172885900573e-48	3.55534701587164e-52	1.00225232377422e-48	735	686	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.75693266936735	5.30291860248811e-15	NA	1.18705832916696e-11	5.30291860248811e-15	7.47446377020699e-12	735	622	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.80704405521213	6.78084479467684e-13	NA	1.01192807152561e-09	1.35616895893491e-12	1.27434676507917e-09	735	689	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.54558930017927	1.95514784261094e-10	NA	9.72577432374354e-08	1.95514784261094e-10	7.87365966902892e-08	735	406	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.31884859782481	4.09464876518301e-10	NA	1.83317425217244e-07	4.09464876518301e-10	1.15428148690509e-07	735	641	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.177176444830229	6.40180689589448e-08	NA	1.50846786699577e-05	1.28036133819577e-07	1.8996519012494e-05	735	579	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.84402491010031	4.51502352951296e-07	NA	7.48657790430722e-05	4.51502352951296e-07	5.5338484042161e-05	735	435	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_CD"	-2.60489641005142	5.66948285182313e-07	NA	8.18783055729424e-05	5.66948285182313e-07	6.65928006637058e-05	735	277	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale"	"dysbiosis_state"	"dysbiosis_CD"	-1.66257516467268	8.71776492109312e-07	NA	0.000117739796531691	3.43825705900987e-10	1.07693851659431e-07	735	574	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris"	"dysbiosis_state"	"dysbiosis_CD"	-2.05426749546323	1.11894433368779e-06	NA	0.000140674477248154	1.11894433368779e-06	0.000101751744408577	735	465	"abundance"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	2.04305761317682	1.89244539253228e-06	NA	0.000197034372613186	3.784887203715e-06	0.000266739925681814	735	421	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes"	"reads_filtered"	"reads_filtered"	-1.37128944647113	2.35365784649545e-06	NA	0.000227588974908543	4.70731015328564e-06	0.000313269475820784	735	109	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-1.12256529738127	4.10579084726749e-06	NA	0.00034682312496635	8.2115648370165e-06	0.000472416352562235	735	164	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron"	"dysbiosis_state"	"dysbiosis_CD"	-1.69695629192851	8.50548916033992e-06	NA	0.000594985546419403	3.68871161360734e-06	0.000266627642019464	735	453	"abundance"
