"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.56706249247944	3.70805217034418e-42	NA	1.5158517272367e-38	3.70805217034418e-42	9.25159016500873e-39	738	688	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.75731700294657	9.97117733516356e-12	NA	8.15243458922972e-09	9.97117733516356e-12	4.97561749024661e-09	738	624	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.56371062195069	3.56285379345706e-09	NA	1.3240860279684e-06	3.56285379345706e-09	9.45132262892667e-07	738	644	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.67834770984999	5.35322422800915e-09	NA	1.70460787350802e-06	5.35322422800915e-09	1.1130245374069e-06	738	408	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.8050929280022	9.56355629311084e-09	NA	2.79255843758836e-06	9.56355629311084e-09	1.83546715010089e-06	738	437	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.180650496153635	2.95071788185529e-08	NA	6.7014081672358e-06	5.90143567664321e-08	8.18004556290267e-06	738	580	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.76200221381073	3.88932045153033e-08	NA	8.36818000308209e-06	7.77864075179251e-08	1.02145835135381e-05	738	692	"abundance"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	2.0651231170595	4.42666965968188e-08	NA	9.04811278438976e-06	8.8533391234097e-08	1.10445405564536e-05	738	423	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_oleiciplenus"	"consent_age"	"consent_age"	7.65487077268172	1.94520602964857e-07	NA	3.18080089968133e-05	1.94520602964857e-07	2.11012567129268e-05	738	30	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	1.58315873656768	6.78567183564613e-07	NA	7.92566470403467e-05	1.3571339066758e-06	9.95896793281214e-05	738	288	"abundance"
