"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.56437453099938	7.27022950893503e-31	NA	3.02078036096251e-27	7.27022950893503e-31	1.93242700347493e-27	736	686	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.186733446990379	1.52097689240378e-10	NA	1.06929826108273e-07	3.04195378457622e-10	1.36808412887531e-07	736	578	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.78630402955292	6.04272044867895e-10	NA	2.78972260714011e-07	6.04272044867895e-10	2.00769386907358e-07	736	622	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.61863661087808	3.20424045451553e-08	NA	8.87574605900801e-06	3.20424045451553e-08	6.08347937721591e-06	736	642	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.52070141370781	4.30550700992343e-07	NA	7.15575265049274e-05	4.30550700992343e-07	5.66826088175449e-05	736	406	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae"	"reads_filtered"	"reads_filtered"	0.12348423682255	1.15880255836849e-06	NA	0.000150463269688159	2.31760377391362e-06	0.0001925059634707	736	468	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.85972164693014	1.65239277408436e-06	NA	0.000185559242603257	1.65239277408436e-06	0.000146401999783874	736	437	"abundance"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	2.08776138305464	2.84420445990167e-06	NA	0.00025143977725301	5.68840083030433e-06	0.000335994875709976	736	421	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"reads_filtered"	"reads_filtered"	0.151280786630008	3.72503139551e-06	NA	0.00030893455004661	7.45004891516111e-06	0.000411067294572365	736	278	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.738106356951	4.59863933261338e-06	NA	0.000360515970320917	2.55992702858537e-06	0.000195880635355063	736	690	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified"	"Antibiotics"	"Yes"	-1.93735532936048	1.25969447271035e-05	NA	0.000781198587180822	2.51937307711905e-05	0.00104632713109101	736	272	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens"	"reads_filtered"	"reads_filtered"	0.036786185749212	1.79398386830089e-05	NA	0.0010352781906653	3.58793555282058e-05	0.00140246069108781	736	486	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_CD"	-2.64733775863464	2.10973777863369e-05	NA	0.00116879472936306	2.10973777863369e-05	0.000919292297640712	736	278	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-1.13202979597668	2.32410175980807e-05	NA	0.00127061089631612	4.64814950512624e-05	0.00174011005417261	736	165	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8"	"reads_filtered"	"reads_filtered"	0.215662587161702	3.42646312210363e-05	NA	0.00180214611042286	6.85280883771199e-05	0.00246145485008628	736	225	"abundance"
