"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.51053549463848	7.38380819692111e-16	NA	2.96976765680167e-12	7.38380819692111e-16	1.87844080529673e-12	736	686	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.190446597650904	5.07545462807132e-09	NA	2.26816427934476e-06	1.01509092303824e-08	2.86932367578809e-06	736	578	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_oleiciplenus"	"consent_age"	"consent_age"	6.83836016768645	1.01913248225463e-06	NA	0.000145335639013374	1.01913248225463e-06	0.000117848774311627	736	30	"abundance"
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Propionibacteriaceae.g__Propionibacterium.s__Propionibacterium_acnes"	"reads_filtered"	"reads_filtered"	-1.37592935849322	4.54051238351692e-06	NA	0.000420185866769627	9.08100415078114e-06	0.00053155163220442	736	111	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Peptostreptococcaceae_noname.s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-1.14029011927415	4.70123421298687e-06	NA	0.000420185866769627	9.40244632437063e-06	0.00053155163220442	736	164	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.74358340332125	4.97826329269464e-06	NA	0.000435273368765605	4.97826329269464e-06	0.000361848623331862	736	622	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_caccae"	"reads_filtered"	"reads_filtered"	0.141583092108419	5.3115530538788e-06	NA	0.0004545333272915	1.06230778951618e-05	0.000587502394897642	736	469	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii"	"reads_filtered"	"reads_filtered"	0.167114909458526	1.7541669638162e-05	NA	0.00110238430132324	3.50830315661503e-05	0.00146313495580797	736	277	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.57181076437685	5.4676368495065e-05	NA	0.00289353097483094	5.4676368495065e-05	0.00198709544930636	736	406	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_unclassified"	"Antibiotics"	"Yes"	-1.77855435981952	5.8223009194794e-05	NA	0.00297238371398158	5.8223009194794e-05	0.00208618782241628	736	272	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Actinobacillus.s__Actinobacillus_unclassified"	"reads_filtered"	"reads_filtered"	-1.23930707430462	5.83834692701504e-05	NA	0.00297238371398158	0.000116763529910817	0.00380828743709126	736	51	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.49522936291869	5.91939605931942e-05	NA	0.00297597636882284	5.91939605931942e-05	0.00209151994095953	736	642	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_thetaiotaomicron"	"Antibiotics"	"Yes"	1.50335246440035	9.54984416175441e-05	NA	0.0043647128657473	9.54984416175441e-05	0.00319668467730306	736	453	"abundance"
