"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.59434877126999	1.6222025295939e-39	NA	3.50557966645241e-36	1.6222025295939e-39	2.53225814869607e-36	738	688	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.78946193951172	1.64789159238841e-10	NA	7.12218746230269e-08	1.64789159238841e-10	5.14685050912878e-08	738	624	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.85328330038312	6.3134251233694e-10	NA	1.94904452737161e-07	6.3134251233694e-10	1.40789380251138e-07	738	437	"abundance"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	2.17279476903642	2.37565607670584e-09	NA	5.70421420195702e-07	4.75131214776793e-09	8.24088695851748e-07	738	423	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	1.62818374845064	5.87876262464138e-08	NA	8.57852742128605e-06	1.17575249036842e-07	1.31096402676079e-05	738	288	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes"	"reads_filtered"	"reads_filtered"	-1.32857869818331	1.44642198616962e-07	NA	1.64511469058555e-05	2.89284376312559e-07	2.25786455711952e-05	738	110	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA"	"dysbiosis_state"	"dysbiosis_CD"	1.50025184996645	1.40322624776724e-07	NA	1.64511469058555e-05	2.80645229863008e-07	2.25786455711952e-05	738	323	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.44711168556366	1.87176183935283e-07	NA	1.9202567669357e-05	1.87176183935283e-07	1.77820134150407e-05	738	644	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.56818969021889	1.95491202557081e-07	NA	1.9202567669357e-05	1.95491202557081e-07	1.77820134150407e-05	738	407	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.72513872974475	2.04431776829903e-06	NA	0.000142508732170781	2.68611812120352e-06	0.000149751085257096	738	692	"abundance"
