"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-4.58711196386981	4.13659863918797e-48	NA	1.42050797269715e-44	4.13659863918797e-48	9.69205061161743e-45	736	686	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-2.74904915522267	5.41689018055002e-15	NA	9.30080044000439e-12	5.41689018055002e-15	6.34588684651435e-12	736	624	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-1.7788793481378	3.7291689826826e-12	NA	3.20149157163301e-09	7.4583379653513e-12	3.49497717056362e-09	736	690	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.55315677037962	6.50506456591621e-12	NA	4.00039157614306e-09	6.50506456591621e-12	3.49497717056362e-09	736	644	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_CD"	-2.57382703849147	9.38619785599275e-11	NA	4.02902542968489e-08	9.38619785599275e-11	2.74898269707388e-08	736	407	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus"	"reads_filtered"	"reads_filtered"	0.188051830244124	4.73820738002416e-09	NA	1.16221458164307e-06	9.47641473759769e-09	1.58594569501367e-06	736	580	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_CD"	-2.59906478560085	2.50695432510176e-07	NA	3.44355246095977e-05	2.50695432510176e-07	2.66990635623337e-05	736	279	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli"	"dysbiosis_state"	"dysbiosis_CD"	1.92237230193332	1.34016930223257e-06	NA	0.000122393851518002	1.34016930223257e-06	0.000104667222504364	736	436	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris"	"dysbiosis_state"	"dysbiosis_CD"	-1.96686830440212	1.87151990594721e-06	NA	0.000153019032310065	1.87151990594721e-06	0.000136541569833893	736	466	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale"	"dysbiosis_state"	"dysbiosis_CD"	-1.5092132683192	5.47743831920146e-06	NA	0.000361721599771881	3.28032611763763e-10	7.68580409362496e-08	736	575	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae"	"reads_filtered"	"reads_filtered"	0.128245759080166	6.31063699951945e-06	NA	0.000408881650119807	1.26212341748996e-05	0.000603501054526319	736	470	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron"	"dysbiosis_state"	"dysbiosis_CD"	-1.68622207550532	6.60723467857407e-06	NA	0.00042017118307821	5.49242452234291e-07	5.14750026233977e-05	736	453	"abundance"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	2.07603121534376	7.84771604441306e-06	NA	0.000489982852663899	1.5695370502179e-05	0.000735485061732108	736	422	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus|s__Actinobacillus_unclassified"	"reads_filtered"	"reads_filtered"	-1.35094970314781	1.06108642691912e-05	NA	0.000607295131673376	1.06108642691912e-05	0.000517942812139895	736	51	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes"	"reads_filtered"	"reads_filtered"	-1.29122736635119	1.41979223212838e-05	NA	0.000777522736113887	2.83956430615693e-05	0.0011688889148584	736	110	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	"reads_filtered"	"reads_filtered"	0.158910607988407	1.49935472416792e-05	NA	0.000780118806483731	2.99868696768994e-05	0.00117098726088292	736	279	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified"	"Antibiotics"	"Yes"	-1.90661793484022	2.18157833558167e-05	NA	0.00104049166727603	4.363109078323e-05	0.00157273301084781	736	272	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified"	"reads_filtered"	"reads_filtered"	-1.0363917993429	3.10759646283175e-05	NA	0.00135082104472965	6.21509635410573e-05	0.00205098179685489	736	164	"abundance"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname|s__Burkholderiales_bacterium_1_1_47"	"dysbiosis_state"	"dysbiosis_CD"	-1.77226089596062	3.20334303206008e-05	NA	0.00137503499651179	6.40658345005435e-05	0.00208480903103852	736	271	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron"	"Antibiotics"	"Yes"	1.51043576807444	8.99460283758067e-05	NA	0.00347936277743036	8.99460283758067e-05	0.00273068528751194	736	453	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme"	"consent_age"	"consent_age"	1.66544321190189	0.000101183259990938	NA	0.00381827818471298	0.000101183259990938	0.00300091617922491	736	273	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens"	"reads_filtered"	"reads_filtered"	0.0433828922535138	0.000106721137129415	NA	0.00398348244459142	0.00021343088485772	0.00588315956731338	736	488	"abundance"
