"feature"	"metadata"	"value"	"coef"	"pval"	"qval"	"association"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_CD"	-6.41957551316944	2.00821514178728e-40	6.21341764868985e-37	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Subdoligranulum.s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-3.95100353227233	1.16683744250719e-24	1.80509752355862e-21	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_UC"	-7.55911771664091	1.73669751353131e-23	1.79111403562195e-20	"abundance"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__Enterococcus_avium"	"dysbiosis_state"	"dysbiosis_CD"	0.980562222327317	6.95578234478449e-20	4.92420996636698e-17	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_rectale"	"dysbiosis_state"	"dysbiosis_CD"	-5.40535152396674	7.95767609303002e-20	4.92420996636698e-17	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus"	"dysbiosis_state"	"dysbiosis_UC"	-7.8078046349573	9.87398049010399e-20	5.09168260606363e-17	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Enterobacter.s__Enterobacter_hormaechei"	"dysbiosis_state"	"dysbiosis_nonIBD"	-0.149473709256531	6.19020327844932e-19	2.39406113595987e-16	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Klebsiella.s__Klebsiella_sp_MS_92_3"	"dysbiosis_state"	"dysbiosis_nonIBD"	-0.14947370924101	6.19020332504168e-19	2.39406113595987e-16	"abundance"
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelotrichaceae_noname.s__Eubacterium_dolichum"	"dysbiosis_state"	"dysbiosis_nonIBD"	0.657300562066261	1.06873278450083e-17	3.67406581693951e-15	"abundance"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__Enterococcus_casseliflavus"	"dysbiosis_state"	"dysbiosis_CD"	0.957141664812262	3.75583911491034e-17	1.16205662215326e-14	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_rectale"	"dysbiosis_state"	"dysbiosis_UC"	-7.76402204946331	9.93443642685318e-17	2.79428602769852e-14	"abundance"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__Enterococcus_faecium"	"dysbiosis_state"	"dysbiosis_CD"	1.54438759663079	8.04620036087004e-16	2.07457865971099e-13	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_caccae"	"dysbiosis_state"	"dysbiosis_UC"	-6.83503965454036	1.03424562915614e-15	2.46150459739161e-13	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_CD"	-4.56920873757531	1.48371003113523e-14	3.0603992242216e-12	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__Ruminococcus_obeum"	"dysbiosis_state"	"dysbiosis_CD"	-3.48463192742278	1.47573569662493e-14	3.0603992242216e-12	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus"	"dysbiosis_state"	"dysbiosis_CD"	-3.84518262033049	5.74350014375272e-13	1.11064934029818e-10	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_stercorea"	"dysbiosis_state"	"dysbiosis_UC"	-1.57240636751674	1.21591859465491e-12	2.21297184227194e-10	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Pantoea.s__Pantoea_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	0.618846734842275	2.15639813637979e-12	3.70660879664392e-10	"abundance"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__Enterococcus_faecalis"	"dysbiosis_state"	"dysbiosis_CD"	1.04784706028386	2.52894665805558e-12	4.11818997895999e-10	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_7_1_58FAA"	"dysbiosis_state"	"dysbiosis_CD"	-3.2126721901635	5.95385964700223e-12	9.09250046846819e-10	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_7_1_58FAA"	"reads_filtered"	"reads_filtered"	0.807775227428016	6.17138040846257e-12	9.09250046846819e-10	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__Parabacteroides_distasonis"	"dysbiosis_state"	"dysbiosis_UC"	-5.80939924192518	7.66351590905644e-12	1.07776901011912e-09	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Klebsiella.s__Klebsiella_oxytoca"	"dysbiosis_state"	"dysbiosis_CD"	1.64046567718679	5.19880400345022e-11	6.9935215594239e-09	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_hominis"	"dysbiosis_state"	"dysbiosis_CD"	-4.03494508114588	1.5173188491144e-10	1.95607688298331e-08	"abundance"
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_breve"	"dysbiosis_state"	"dysbiosis_CD"	2.53879164690601	1.66605302535633e-10	2.061907224181e-08	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_UC"	-5.71427901696918	3.67309780193935e-10	4.37098638430783e-08	"abundance"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Granulicatella.s__Granulicatella_adiacens"	"dysbiosis_state"	"dysbiosis_CD"	0.918810591935917	4.12740664060112e-10	4.72970227630366e-08	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Oscillospiraceae.g__Oscillibacter.s__Oscillibacter_unclassified"	"dysbiosis_state"	"dysbiosis_UC"	-6.47654257792047	6.7906378267019e-10	7.5036547985056e-08	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_46FAA"	"dysbiosis_state"	"dysbiosis_UC"	-4.75290323654898	1.12171232022859e-09	1.19675100647836e-07	"abundance"
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Veillonellaceae.g__Dialister.s__Dialister_invisus"	"Antibiotics"	"Yes"	-3.21932110448791	1.25118569348703e-09	1.29038951188296e-07	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Subdoligranulum.s__Subdoligranulum_unclassified"	"dysbiosis_state"	"dysbiosis_UC"	-3.59547529359355	1.82234831029517e-09	1.81882118453331e-07	"abundance"
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelotrichaceae_noname.s__Eubacterium_biforme"	"dysbiosis_state"	"dysbiosis_UC"	-2.35355146380078	1.97613015338865e-09	1.91067084205765e-07	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii"	"dysbiosis_state"	"dysbiosis_nonIBD"	-5.56353645682986	2.6530757738095e-09	2.48745952853533e-07	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_46FAA"	"reads_filtered"	"reads_filtered"	0.729105770566863	2.87527264913973e-09	2.61649811071715e-07	"abundance"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Aerococcaceae.g__Facklamia.s__Facklamia_unclassified"	"dysbiosis_state"	"dysbiosis_UC"	0.0727478920382138	3.0191475232126e-09	2.66892641051994e-07	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Subdoligranulum.s__Subdoligranulum_variabile"	"dysbiosis_state"	"dysbiosis_UC"	0.221340163233991	4.92001039721135e-09	4.2284756024922e-07	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis"	"dysbiosis_state"	"dysbiosis_UC"	-5.39034513842355	6.71587237093963e-09	5.61592138261816e-07	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_CD"	-2.91787827815647	8.28797002347967e-09	6.74815243490687e-07	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Oscillospiraceae.g__Oscillibacter.s__Oscillibacter_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	-3.71959606813934	8.62904483340259e-09	6.84570890116605e-07	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_xylanisolvens"	"dysbiosis_state"	"dysbiosis_UC"	-4.46673596283429	9.04417026153534e-09	6.97288992539473e-07	"abundance"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__Enterococcus_hirae"	"dysbiosis_state"	"dysbiosis_CD"	0.425647449661704	9.24009330773057e-09	6.97288992539473e-07	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__Parabacteroides_distasonis"	"dysbiosis_state"	"dysbiosis_CD"	-3.06650833788636	9.5063706448023e-09	7.00302637500436e-07	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_massiliensis"	"dysbiosis_state"	"dysbiosis_UC"	-5.13624563793966	1.06560205902715e-08	7.66737853634887e-07	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_inulinivorans"	"dysbiosis_state"	"dysbiosis_UC"	-6.32514542859416	1.67388632414799e-08	1.17704642884406e-06	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_amnii"	"dysbiosis_state"	"dysbiosis_nonIBD"	0.0625611144020021	2.46412876551073e-08	1.65739443553562e-06	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Shigella.s__Shigella_flexneri"	"dysbiosis_state"	"dysbiosis_nonIBD"	0.0625611144012294	2.46412876647184e-08	1.65739443553562e-06	"abundance"
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Acidaminococcaceae.g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens"	"dysbiosis_state"	"dysbiosis_UC"	-1.75186525722117	3.25988935966044e-08	2.14597822952966e-06	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_fragilis"	"dysbiosis_state"	"dysbiosis_CD"	-3.56929758180933	3.3697981745456e-08	2.17211574000918e-06	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_onderdonkii"	"dysbiosis_state"	"dysbiosis_CD"	-2.68491122882861	3.71470736461072e-08	2.31125722294661e-06	"abundance"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__Enterococcus_gallinarum"	"dysbiosis_state"	"dysbiosis_CD"	0.388295130631766	3.73506338549873e-08	2.31125722294661e-06	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__Ruminococcus_torques"	"dysbiosis_state"	"dysbiosis_CD"	-1.91100420893353	3.87641788201913e-08	2.3516935150916e-06	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_putredinis"	"dysbiosis_state"	"dysbiosis_UC"	-4.90978922267214	4.75479628138133e-08	2.82910378742189e-06	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_7_1_58FAA"	"dysbiosis_state"	"dysbiosis_UC"	-3.99352730012972	6.61275144154355e-08	3.86034961511995e-06	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii"	"dysbiosis_state"	"dysbiosis_UC"	-4.26692406238378	8.60903348483606e-08	4.84297265492414e-06	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Providencia.s__Providencia_unclassified"	"dysbiosis_state"	"dysbiosis_CD"	0.165014214593686	8.57508003585095e-08	4.84297265492414e-06	"abundance"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__Lactobacillus_casei_paracasei"	"dysbiosis_state"	"dysbiosis_CD"	0.810457712600929	9.00067946809729e-08	4.97287540612376e-06	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Morganella.s__Morganella_morganii"	"dysbiosis_state"	"dysbiosis_CD"	1.17178361159155	9.73091957524474e-08	5.28201143259776e-06	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea.s__Dorea_formicigenerans"	"dysbiosis_state"	"dysbiosis_UC"	-4.58822357028545	1.04066161724365e-07	5.52196097304942e-06	"abundance"
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania.s__Holdemania_filiformis"	"reads_filtered"	"reads_filtered"	0.632931903003291	1.05299191147355e-07	5.52196097304942e-06	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__Parabacteroides_merdae"	"dysbiosis_state"	"dysbiosis_UC"	-4.69337962351797	1.43485590183061e-07	7.39907360043983e-06	"abundance"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__Lactobacillus_rhamnosus"	"dysbiosis_state"	"dysbiosis_CD"	0.853184008835834	1.48954900244075e-07	7.52839471749406e-06	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Klebsiella.s__Klebsiella_pneumoniae"	"dysbiosis_state"	"dysbiosis_CD"	1.71408257983827	1.50859881216752e-07	7.52839471749406e-06	"abundance"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__Lactobacillus_crispatus"	"dysbiosis_state"	"dysbiosis_CD"	0.527488207597207	1.85229576719303e-07	8.95469234952381e-06	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas.s__Pseudomonas_mendocina"	"dysbiosis_state"	"dysbiosis_CD"	0.603705958146976	1.83339574890452e-07	8.95469234952381e-06	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_vulgatus"	"dysbiosis_state"	"dysbiosis_CD"	-2.98398890990324	1.93741523103529e-07	9.22209649972799e-06	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_hominis"	"reads_filtered"	"reads_filtered"	0.826267435048532	2.10906489250613e-07	9.88704057183935e-06	"abundance"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__Enterococcus_durans"	"dysbiosis_state"	"dysbiosis_CD"	0.518794218026229	2.14796997874054e-07	9.91913300630333e-06	"abundance"
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Gardnerella.s__Gardnerella_vaginalis"	"dysbiosis_state"	"dysbiosis_nonIBD"	0.154282256282406	2.47809463274838e-07	1.11119199909036e-05	"abundance"
