"feature"	"metadata"	"value"	"coef"	"pval"	"qval"	"association"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Faecalicatena.s__Faecalicatena_orotica.t__SGB4616"	"dysbiosis_state"	"dysbiosis_nonIBD"	-2.34381343246371	3.39244055279966e-50	3.95863888106192e-46	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Lachnoclostridium.s__Lachnoclostridium_phocaeense.t__SGB4622"	"dysbiosis_state"	"dysbiosis_nonIBD"	-3.4330211747485	7.97887087578848e-41	4.65527221247879e-37	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Phocaeicola.s__Phocaeicola_sartorii.t__SGB1813"	"reads_filtered"	"reads_filtered"	0.828897930543439	2.42504004119066e-38	9.43259741355128e-35	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Phocaeicola.s__Phocaeicola_vulgatus.t__SGB1814"	"dysbiosis_state"	"dysbiosis_CD"	-6.37969582969988	1.15113495486254e-26	3.17521425049783e-23	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii.t__SGB15318"	"dysbiosis_state"	"dysbiosis_CD"	-6.57711468037332	1.3605340005561e-26	3.17521425049783e-23	"abundance"
"UNCLASSIFIED"	"dysbiosis_state"	"dysbiosis_CD"	-1.56692154006845	2.35639688704189e-25	4.58279921248197e-22	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis.t__SGB1836"	"dysbiosis_state"	"dysbiosis_CD"	-6.01935681200685	9.97813830444312e-23	1.66335565535067e-19	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans.t__SGB4874"	"dysbiosis_state"	"dysbiosis_CD"	-6.36664160436185	2.44962969563092e-21	3.57309111478965e-18	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Coprococcus.s__Coprococcus_eutactus.t__SGB5117"	"dysbiosis_state"	"dysbiosis_nonIBD"	-3.74104653297031	3.96845470788935e-21	5.14532199848454e-18	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Klebsiella.s__Klebsiella_oxytoca.t__SGB10118"	"dysbiosis_state"	"dysbiosis_CD"	1.46542358723336	5.18906531763445e-21	6.05512031914764e-18	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_sp_AM10_21B.t__SGB1831"	"reads_filtered"	"reads_filtered"	0.312863856557681	5.66589068767466e-20	6.0104798576796e-17	"abundance"
