"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__SGB1836"	"dysbiosis_state"	"dysbiosis_CD"	-3.52501206672544	1.30949324678808e-22	NA	7.5675614731883e-19	2.61898649357615e-22	1.08059382724952e-18	733	578	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus|t__SGB1814"	"dysbiosis_state"	"dysbiosis_CD"	-3.67472288738682	3.3886167311319e-19	NA	9.79140804460563e-16	3.3886167311319e-19	6.99071631632511e-16	733	586	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens|t__SGB1867"	"dysbiosis_state"	"dysbiosis_CD"	-3.02954062244262	2.7492759688024e-09	NA	8.82670323539393e-07	2.5127118271224e-09	7.40532071336216e-07	733	484	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris|t__SGB1830"	"dysbiosis_state"	"dysbiosis_CD"	-2.69954062922664	5.94827216279092e-09	NA	1.71875324143844e-06	5.94827216279092e-09	1.44368064374561e-06	733	333	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus|t__SGB1790"	"dysbiosis_state"	"dysbiosis_CD"	-2.6042919745459	2.63341280227141e-08	NA	5.63647873493573e-06	5.26682553519419e-08	8.69236886328449e-06	733	374	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__SGB2295"	"dysbiosis_state"	"dysbiosis_CD"	-3.45652357693826	8.87656346451801e-08	NA	1.55447455337726e-05	1.77531261411022e-07	2.44164661527293e-05	733	256	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AT4|t__SGB4753"	"dysbiosis_state"	"dysbiosis_CD"	4.21108412034462	1.95332069851051e-07	NA	3.22521151905493e-05	3.90664101547485e-07	5.03712525932788e-05	733	238	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__SGB15318"	"dysbiosis_state"	"dysbiosis_CD"	-3.52233971057974	3.89968645763791e-07	NA	5.24099721829988e-05	1.86110959982239e-09	5.90687554528243e-07	733	446	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB33469|s__GGB33469_SGB15236|t__SGB15236"	"dysbiosis_state"	"dysbiosis_CD"	-7.17805795329614	7.13272482938122e-07	NA	8.96087321499871e-05	7.13272482938122e-07	7.8465370420863e-05	733	109	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_citroniae|t__SGB4761"	"dysbiosis_state"	"dysbiosis_CD"	3.81914596410531	9.23924500662899e-07	NA	0.000104693327241782	1.84784814768931e-06	0.000169427143497025	733	157	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__SGB1871"	"reads_filtered"	"reads_filtered"	0.178103110187841	1.63571622472375e-06	NA	0.000175051927086639	3.27142977387992e-06	0.000281206650979762	733	538	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_SGB15346|t__SGB15346"	"dysbiosis_state"	"dysbiosis_CD"	-3.97734551778285	8.538387718559e-06	NA	0.000632606956737852	8.538387718559e-06	0.000607403236668525	733	332	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_dispar|t__SGB2311"	"dysbiosis_state"	"dysbiosis_CD"	6.42421930755627	1.43031939036718e-05	NA	0.000939297245105905	1.43031939036718e-05	0.000880820567858956	733	40	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_sp_BX15|t__SGB15053"	"dysbiosis_state"	"dysbiosis_CD"	-4.16634288588309	1.56094167351809e-05	NA	0.00101355976755742	1.56094167351809e-05	0.000933397876077628	733	245	"abundance"
"UNCLASSIFIED"	"dysbiosis_state"	"dysbiosis_CD"	-0.382321916320706	1.80585645426749e-05	NA	0.00114681807134196	1.80585645426749e-05	0.00101448346455138	733	723	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_SGB15315|t__SGB15315"	"Antibiotics"	"Yes"	-2.38560542154967	3.14625923660563e-05	NA	0.00173164115508037	3.14625923660563e-05	0.00158310556222376	733	230	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae|t__SGB1949"	"dysbiosis_state"	"dysbiosis_CD"	-1.47435372518373	5.05969637663241e-05	NA	0.00254260742265728	2.55449252379045e-05	0.00131747951914492	733	360	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068"	"dysbiosis_state"	"dysbiosis_CD"	2.25839743846809	5.0578486157727e-05	NA	0.00254260742265728	5.0578486157727e-05	0.00222007270092321	733	340	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_neonatale|t__SGB6169"	"dysbiosis_state"	"dysbiosis_CD"	5.76802009631875	7.73399302641476e-05	NA	0.00346470896896519	7.73399302641476e-05	0.00309810244922207	733	27	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__SGB1836"	"reads_filtered"	"reads_filtered"	0.0678067217355056	8.74632222838948e-05	NA	0.00374407378947132	0.000174918794752537	0.0055946895127827	733	578	"abundance"
"UNCLASSIFIED"	"reads_filtered"	"reads_filtered"	-0.0637364748071044	0.000139005849687999	NA	0.00535543203564631	9.34260139033432e-06	0.000642734417435253	733	723	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB79916|s__GGB79916_SGB4587|t__SGB4587"	"reads_filtered"	"reads_filtered"	-2.55987252144518	0.000143086465989438	NA	0.00541492099365389	0.000143086465989438	0.00494668325745511	733	38	"abundance"
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_AF16_15|t__SGB4993"	"consent_age"	"consent_age"	-1.44238357109235	0.000162132998840199	NA	0.00589687971298729	0.000162132998840199	0.00533536475567197	733	348	"abundance"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_SGB9260|t__SGB9260"	"dysbiosis_state"	"dysbiosis_CD"	-3.16918198542042	0.000160908234106493	NA	0.00589687971298729	0.000160908234106493	0.00533536475567197	733	93	"abundance"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis|t__SGB9262"	"food_group"	"food_group"	NA	0.000165630419638614	NA	0.00590850737710833	0.000331233405841318	0.00893247733660967	733	278	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__SGB1871"	"dysbiosis_state"	"dysbiosis_CD"	-1.17602970205042	0.000210316526054039	NA	0.00706639072131566	1.93823139620736e-08	4.20902249513241e-06	733	538	"abundance"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini|t__SGB5736"	"dysbiosis_state"	"dysbiosis_CD"	-2.71265662106834	0.000272361533646512	NA	0.00864822693924833	0.000272361533646512	0.00780391449878827	733	115	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis|t__SGB2318"	"dysbiosis_state"	"dysbiosis_CD"	-1.85678234351684	0.000307572911012061	NA	0.00960791271750648	1.63601826621223e-05	0.000964315909484523	733	387	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__SGB17244_group"	"Antibiotics"	"Yes"	-3.0861495013971	0.000344584051577305	NA	0.0104807959687644	0.000344584051577305	0.00923216751174	733	133	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_gnavus|t__SGB4584"	"dysbiosis_state"	"dysbiosis_CD"	1.93095112607842	0.000384145224316876	NA	0.0115151633381761	0.000768142881080387	0.0175235874588153	733	398	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae|t__SGB10115"	"dysbiosis_state"	"dysbiosis_CD"	3.50687263806898	0.000408044206181546	NA	0.0120310585077712	0.000408044206181546	0.0104570831969258	733	85	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_bolteae|t__SGB4758"	"Antibiotics"	"Yes"	1.4019894811275	0.000440714539636366	NA	0.0128630773967604	0.000881234849967285	0.0196539188700812	733	452	"abundance"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica|t__SGB6936"	"reads_filtered"	"reads_filtered"	-1.03618621372428	0.000454995453102455	NA	0.013147316527044	0.000454995453102455	0.011309103852414	733	161	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__SGB15332"	"Antibiotics"	"Yes"	-1.32754338343827	0.000703838750540621	NA	0.0187441665408952	0.000703838750540621	0.0163148240715202	733	309	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__SGB17248"	"Antibiotics"	"Yes"	1.52420911474027	0.000788665594669945	NA	0.0204381097381059	0.00157670919591967	0.0312556264235602	733	357	"abundance"
"k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507|f__FGB1507|g__GGB3815|s__GGB3815_SGB5180|t__SGB5180"	"dysbiosis_state"	"dysbiosis_CD"	-3.49162663491798	0.000799970510536464	NA	0.0205468164537802	0.000799970510536464	0.0180364935872866	733	38	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_ER4|t__SGB15254"	"dysbiosis_state"	"dysbiosis_CD"	-3.52659858134824	0.000834757113037288	NA	0.0211581638431688	0.000196236453298198	0.00604232542021167	733	202	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_sartorii|t__SGB1813"	"reads_filtered"	"reads_filtered"	0.170655617462335	0.00117185422547891	NA	0.0282172732043444	5.74626793725257e-18	7.90303383636803e-15	733	226	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_senegalensis|t__SGB2296"	"food_group"	"food_group"	NA	0.00140099377588932	NA	0.0325154338588931	0.00280002476821856	0.0487464227581002	733	52	"abundance"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_acidophilus|t__SGB7044"	"consent_age"	"consent_age"	-2.41465235739901	0.00158323459101408	NA	0.0358804419665504	0.00158323459101408	0.0312556264235602	733	23	"abundance"
