"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__SGB1836"	"dysbiosis_state"	"dysbiosis_CD"	-3.60164728170753	4.21715821603874e-18	NA	8.84548935814125e-15	4.21715821603874e-18	7.46027613995446e-15	736	578	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus|t__SGB1814"	"dysbiosis_state"	"dysbiosis_CD"	-3.62893529521998	1.02274302049786e-15	NA	1.43013565699618e-12	1.02274302049786e-15	1.15467687014209e-12	736	586	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens|t__SGB1867"	"dysbiosis_state"	"dysbiosis_CD"	-3.03788404869652	2.10667934638623e-08	NA	7.36459988174188e-06	2.10667934638623e-08	6.48665722382743e-06	736	485	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AT4|t__SGB4753"	"dysbiosis_state"	"dysbiosis_CD"	4.73050987915921	4.89247547814035e-08	NA	1.4544883819516e-05	4.89247547814035e-08	1.27467803418934e-05	736	239	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris|t__SGB1830"	"dysbiosis_state"	"dysbiosis_CD"	-2.55991900163227	3.44842763414464e-07	NA	7.61376522380883e-05	3.44842763414464e-07	7.29989024802994e-05	736	333	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus|t__SGB1790"	"dysbiosis_state"	"dysbiosis_CD"	-2.54832884729846	4.3514599593725e-07	NA	7.78581014116038e-05	8.13493048030226e-07	0.000125240952439926	736	376	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__SGB2295"	"dysbiosis_state"	"dysbiosis_CD"	-3.3834794715975	3.93399530278581e-07	NA	7.78581014116038e-05	4.19083674148853e-07	7.88575780190093e-05	736	257	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__SGB15318"	"dysbiosis_state"	"dysbiosis_CD"	-3.63305442921859	4.51681281807076e-07	NA	7.78581014116038e-05	4.51681281807076e-07	8.0518131656872e-05	736	446	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB33469|s__GGB33469_SGB15236|t__SGB15236"	"dysbiosis_state"	"dysbiosis_CD"	-7.14520784131344	6.65839751197734e-07	NA	0.000103451768750907	6.65839751197734e-07	0.000107390439871749	736	108	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__SGB1871"	"reads_filtered"	"reads_filtered"	0.20706120785625	3.03665756376054e-06	NA	0.000364828601404671	6.07330590623193e-06	0.000624820901247834	736	539	"abundance"
