"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis.t__SGB1836"	"dysbiosis_state"	"dysbiosis_CD"	-3.59572684557032	2.63099994631388e-23	NA	1.35522807234628e-19	5.26199989262779e-23	1.98745735944551e-19	735	578	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Phocaeicola.s__Phocaeicola_vulgatus.t__SGB1814"	"dysbiosis_state"	"dysbiosis_CD"	-3.63136467032629	3.4996584750036e-19	NA	9.01337040237176e-16	3.4996584750036e-19	6.60910503004429e-16	735	586	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_xylanisolvens.t__SGB1867"	"dysbiosis_state"	"dysbiosis_CD"	-2.96685386808605	4.38948173570356e-09	NA	1.30249436493468e-06	2.98540965664281e-09	9.39657689428323e-07	735	485	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Odoribacter.s__Odoribacter_splanchnicus.t__SGB1790"	"dysbiosis_state"	"dysbiosis_CD"	-2.57613041103327	1.89485653763784e-08	NA	4.24365479364022e-06	3.78971303937086e-08	6.81606959509701e-06	735	375	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_stercoris.t__SGB1830"	"dysbiosis_state"	"dysbiosis_CD"	-2.570699712801	4.25484805027586e-08	NA	8.42950857960422e-06	4.25484805027586e-08	7.30480049358724e-06	735	332	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii.t__SGB2295"	"dysbiosis_state"	"dysbiosis_CD"	-3.38815907767358	8.7471345427955e-08	NA	1.48246595074537e-05	1.74942683204674e-07	2.27847763608294e-05	735	257	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii.t__SGB15318"	"dysbiosis_state"	"dysbiosis_CD"	-3.67645096528598	1.18483103139004e-07	NA	1.90720770084065e-05	1.18483103139004e-07	1.65744696502229e-05	735	446	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__Clostridium.s__Clostridium_sp_AT4.t__SGB4753"	"dysbiosis_state"	"dysbiosis_CD"	4.28876663390918	1.26502172245552e-07	NA	1.97458390677829e-05	2.53004328488304e-07	3.18532449566775e-05	735	238	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus.t__SGB1871"	"reads_filtered"	"reads_filtered"	0.195224957461545	2.7171114714522e-07	NA	3.68311610248692e-05	5.43422220463493e-07	5.8643020762589e-05	735	539	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Enterocloster.s__Enterocloster_citroniae.t__SGB4761"	"dysbiosis_state"	"dysbiosis_CD"	3.67153211214197	6.4583724651532e-07	NA	7.56069922000093e-05	1.29167407592489e-06	0.000116158404399246	735	159	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB33469.s__GGB33469_SGB15236.t__SGB15236"	"dysbiosis_state"	"dysbiosis_CD"	-7.08181965534018	8.9885158835559e-07	NA	9.44894802371355e-05	8.9885158835559e-07	9.17557418707854e-05	735	108	"abundance"
"UNCLASSIFIED"	"dysbiosis_state"	"dysbiosis_CD"	-0.453334723189076	1.20476554403498e-06	NA	0.000121681319947533	1.20476554403498e-06	0.000113759986495503	735	724	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Faecalibacterium.s__Faecalibacterium_SGB15346.t__SGB15346"	"dysbiosis_state"	"dysbiosis_CD"	-4.04733390325114	5.48751455891964e-06	NA	0.000455906249887017	5.48751455891964e-06	0.000391063065830933	735	331	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_dispar.t__SGB2311"	"dysbiosis_state"	"dysbiosis_CD"	6.41426127005043	7.68796931555269e-06	NA	0.000559502507035019	7.68796931555269e-06	0.00050942912464636	735	40	"abundance"
"UNCLASSIFIED"	"reads_filtered"	"reads_filtered"	-0.0517134369391706	1.133886323705e-05	NA	0.000748801083769804	1.133886323705e-05	0.000713781440772299	735	724	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Blautia.s__Blautia_producta.t__SGB4785"	"consent_age"	"consent_age"	6.34610333294016	3.06256583751371e-05	NA	0.00156190857713199	3.06256583751371e-05	0.00146421660358092	735	37	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__Clostridium.s__Clostridium_neonatale.t__SGB6169"	"dysbiosis_state"	"dysbiosis_CD"	7.11481133818591	3.37357582154169e-05	NA	0.00170365578987855	3.37357582154169e-05	0.00152719108282019	735	27	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.s__Escherichia_coli.t__SGB10068"	"dysbiosis_state"	"dysbiosis_CD"	2.35913840581425	3.70423296832329e-05	NA	0.00185247611843041	3.70423296832329e-05	0.00157200987880416	735	342	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis.t__SGB1836"	"reads_filtered"	"reads_filtered"	0.0729148574630487	3.80759393498726e-05	NA	0.00188585734222302	7.61504289225879e-05	0.00281980558863348	735	578	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Faecalibacterium.s__Faecalibacterium_SGB15315.t__SGB15315"	"Antibiotics"	"Yes"	-2.52201889885266	4.2251100776345e-05	NA	0.00201514277869401	4.2251100776345e-05	0.00175365283112368	735	228	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Dysosmobacter.s__Dysosmobacter_sp_BX15.t__SGB15053"	"dysbiosis_state"	"dysbiosis_CD"	-3.92228414875745	4.33375217406073e-05	NA	0.00204209341368798	1.83870388017126e-05	0.000992112079343835	735	244	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Klebsiella.s__Klebsiella_pneumoniae.t__SGB10115"	"dysbiosis_state"	"dysbiosis_CD"	3.6131815110517	6.54032119367752e-05	NA	0.00267374559274864	6.54032119367752e-05	0.00244582110381386	735	86	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.s__Parabacteroides_merdae.t__SGB1949"	"dysbiosis_state"	"dysbiosis_CD"	-1.37082626015071	8.75411880802108e-05	NA	0.00331562249853798	5.30385627065707e-05	0.00206522320971874	735	364	"abundance"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella.s__Parasutterella_SGB9260.t__SGB9260"	"dysbiosis_state"	"dysbiosis_CD"	-3.33871878579288	9.00941582097858e-05	NA	0.00338740882436939	9.00941582097858e-05	0.00310358316445463	735	94	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Enterocloster.s__Enterocloster_bolteae.t__SGB4758"	"Antibiotics"	"Yes"	1.33181271641764	0.000132109428421388	NA	0.00453663777199048	0.000264201403941699	0.00686866249705548	735	454	"abundance"
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_longum.t__SGB17248"	"Antibiotics"	"Yes"	1.51685009897485	0.000139901354824983	NA	0.00471001227910778	0.000139901354824983	0.00440339514311636	735	360	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Mediterraneibacter.s__Ruminococcus_gnavus.t__SGB4584"	"dysbiosis_state"	"dysbiosis_CD"	2.08543380116015	0.000165940851818153	NA	0.00545248229686038	0.000331854167270004	0.00826532443676878	735	402	"abundance"
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae.g__Megasphaera.s__Megasphaera_massiliensis.t__SGB5857"	"dysbiosis_state"	"dysbiosis_CD"	-4.90942055869418	0.00016724756414365	NA	0.00545248229686038	0.00016724756414365	0.00500800421718792	735	35	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus.t__SGB1871"	"dysbiosis_state"	"dysbiosis_CD"	-1.15480287133966	0.000190174517612846	NA	0.00612243087639856	1.84737139475735e-08	3.87640097666585e-06	735	539	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_putredinis.t__SGB2318"	"dysbiosis_state"	"dysbiosis_CD"	-1.73018133889746	0.00053125805207315	NA	0.014252657428275	3.43775458296218e-05	0.00152719108282019	735	390	"abundance"
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Acidaminococcus.s__Acidaminococcus_intestini.t__SGB5736"	"dysbiosis_state"	"dysbiosis_CD"	-2.51051859826324	0.000561291014675388	NA	0.0147105897328573	0.000561291014675388	0.0130061114259444	735	115	"abundance"
