"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__SGB1836"	"dysbiosis_state"	"dysbiosis_CD"	-3.57677067685711	6.31620548600157e-23	NA	3.89709878486297e-19	1.26324109720032e-22	5.49130904952978e-19	735	578	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus|t__SGB1814"	"dysbiosis_state"	"dysbiosis_CD"	-3.63630845153445	2.12435594147972e-18	NA	4.76190705174369e-15	2.12435594147972e-18	4.61728763880617e-15	735	586	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens|t__SGB1867"	"dysbiosis_state"	"dysbiosis_CD"	-3.13498953280823	1.34792229529976e-09	NA	5.1979253512497e-07	2.49715108492145e-09	7.75365411868111e-07	735	486	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AT4|t__SGB4753"	"dysbiosis_state"	"dysbiosis_CD"	4.53594007482912	8.37606925497725e-09	NA	2.26642360427269e-06	1.6752138439796e-08	3.64107728988965e-06	735	239	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus|t__SGB1790"	"dysbiosis_state"	"dysbiosis_CD"	-2.65485950084803	1.59837372032249e-08	NA	3.87788824989933e-06	3.19674741509698e-08	5.9195932225697e-06	735	375	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris|t__SGB1830"	"dysbiosis_state"	"dysbiosis_CD"	-2.61737749526662	2.60122033844821e-08	NA	5.73197481722337e-06	2.60122033844821e-08	5.38452610058779e-06	735	333	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__SGB2295"	"dysbiosis_state"	"dysbiosis_CD"	-3.45453543727097	7.45577995961385e-08	NA	1.43756757346304e-05	1.49115593633412e-07	2.23519132939462e-05	735	257	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__SGB15318"	"dysbiosis_state"	"dysbiosis_CD"	-3.63845923342663	1.63659791399173e-07	NA	2.80494698036916e-05	2.48372753096419e-09	7.75365411868111e-07	735	446	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB33469|s__GGB33469_SGB15236|t__SGB15236"	"dysbiosis_state"	"dysbiosis_CD"	-7.12575467901949	2.18058185764464e-07	NA	3.54057633201774e-05	2.18058185764464e-07	3.05773849521976e-05	735	109	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__SGB1871"	"reads_filtered"	"reads_filtered"	0.18415574589973	3.74387160717732e-07	NA	5.24992904915546e-05	7.48774181269718e-07	8.34595222046016e-05	735	540	"abundance"
