"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis.t__SGB1836"	"dysbiosis_state"	"dysbiosis_CD"	-3.55340198618632	5.53334232347966e-19	NA	1.78725575411283e-15	1.10666846469593e-18	2.58539649618534e-15	735	578	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Phocaeicola.s__Phocaeicola_vulgatus.t__SGB1814"	"dysbiosis_state"	"dysbiosis_CD"	-3.65963845330802	1.58523481862595e-16	NA	2.86821819850054e-13	1.58523481862595e-16	2.07454396597515e-13	735	587	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Odoribacter.s__Odoribacter_splanchnicus.t__SGB1790"	"dysbiosis_state"	"dysbiosis_CD"	-2.76033004186147	4.51863874286523e-08	NA	1.02196546234469e-05	9.03727728154947e-08	1.54262393945058e-05	735	376	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_xylanisolvens.t__SGB1867"	"dysbiosis_state"	"dysbiosis_CD"	-2.92607977443573	5.15505142626417e-08	NA	1.0363562645097e-05	7.4621578497011e-10	2.92964317179265e-07	735	486	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii.t__SGB2295"	"dysbiosis_state"	"dysbiosis_CD"	-3.43782652786926	1.93916331444124e-07	NA	3.00736527736773e-05	3.87832625284705e-07	4.75822152146172e-05	735	258	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus.t__SGB1871"	"reads_filtered"	"reads_filtered"	0.181785389289136	2.63328265431262e-07	NA	3.76143638094971e-05	5.26656461520748e-07	5.90758076551559e-05	735	540	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii.t__SGB15318"	"dysbiosis_state"	"dysbiosis_CD"	-3.74118383644265	4.00669763998689e-07	NA	5.4370886974622e-05	1.99750419267064e-09	6.03246266186533e-07	735	447	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Enterocloster.s__Enterocloster_citroniae.t__SGB4761"	"dysbiosis_state"	"dysbiosis_CD"	3.82404841969785	5.72890741527728e-07	NA	6.76011075002719e-05	1.14578115485165e-06	0.000107103257474943	735	158	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_stercoris.t__SGB1830"	"dysbiosis_state"	"dysbiosis_CD"	-2.40221292306143	9.55974689645866e-07	NA	9.97890502961108e-05	1.91194846540413e-06	0.000163180645112535	735	334	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB33469.s__GGB33469_SGB15236.t__SGB15236"	"dysbiosis_state"	"dysbiosis_CD"	-7.0767818277152	9.47902382461311e-07	NA	9.97890502961108e-05	9.47902382461311e-07	9.5422173167772e-05	735	108	"abundance"
