"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis.t__SGB1836"	"dysbiosis_state"	"dysbiosis_CD"	-3.57369033261192	1.10995209633633e-22	NA	5.54421072119995e-19	2.21990419267265e-22	8.04271289005302e-19	737	580	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Phocaeicola.s__Phocaeicola_vulgatus.t__SGB1814"	"dysbiosis_state"	"dysbiosis_CD"	-3.61417339164291	6.26480685219834e-19	NA	1.56463551133653e-15	6.26480685219834e-19	1.13486976127573e-15	737	588	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_xylanisolvens.t__SGB1867"	"dysbiosis_state"	"dysbiosis_CD"	-3.07424386605401	1.71440532031502e-09	NA	5.03732622057265e-07	4.51819260365225e-10	1.63694118030321e-07	737	488	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Odoribacter.s__Odoribacter_splanchnicus.t__SGB1790"	"dysbiosis_state"	"dysbiosis_CD"	-2.69951334963309	9.10779639667145e-09	NA	2.06788377278972e-06	1.82155927103909e-08	3.29975461948731e-06	737	376	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii.t__SGB2295"	"dysbiosis_state"	"dysbiosis_CD"	-3.49391662248447	4.63855903968916e-08	NA	7.87408915350997e-06	9.277117864216e-08	1.22384488754183e-05	737	258	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__Clostridium.s__Clostridium_sp_AT4.t__SGB4753"	"dysbiosis_state"	"dysbiosis_CD"	4.40359808083607	4.72918267478076e-08	NA	7.87408915350997e-06	9.45836512590981e-08	1.22384488754183e-05	737	239	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus.t__SGB1871"	"reads_filtered"	"reads_filtered"	0.201244208061206	5.01390984461715e-08	NA	8.07886441092343e-06	1.00278194378414e-07	1.25278585597584e-05	737	541	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_stercoris.t__SGB1830"	"dysbiosis_state"	"dysbiosis_CD"	-2.53028306388103	5.97256655604021e-08	NA	9.04029392346087e-06	1.19451327553649e-07	1.44257386575624e-05	737	334	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii.t__SGB15318"	"dysbiosis_state"	"dysbiosis_CD"	-3.63868959407721	7.98428560103816e-08	NA	1.13947161649102e-05	2.33734951319298e-09	6.04872663307012e-07	737	448	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB33469.s__GGB33469_SGB15236.t__SGB15236"	"dysbiosis_state"	"dysbiosis_CD"	-7.30830765263701	3.84127463081138e-07	NA	4.26381484020064e-05	3.84127463081138e-07	3.86581610761935e-05	737	109	"abundance"
