"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__SGB1836"	"dysbiosis_state"	"dysbiosis_CD"	-3.53756896825091	5.03645295325693e-21	NA	2.97704734067017e-17	1.00729059065139e-20	4.2477444207769e-17	737	580	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus|t__SGB1814"	"dysbiosis_state"	"dysbiosis_CD"	-3.57677725875023	3.76159690864309e-17	NA	7.41159977566311e-14	3.76159690864309e-17	5.28755138791597e-14	737	588	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens|t__SGB1867"	"dysbiosis_state"	"dysbiosis_CD"	-2.96264947486205	2.7926047896397e-08	NA	7.17699430937402e-06	6.01477914105799e-10	2.53643236378415e-07	737	487	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__SGB1871"	"reads_filtered"	"reads_filtered"	0.189192444724049	1.33790689713567e-07	NA	2.39647505120271e-05	2.67581361527186e-07	3.63996968245207e-05	737	541	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__SGB15318"	"dysbiosis_state"	"dysbiosis_CD"	-3.81519013197235	1.59138270655786e-07	NA	2.76666564072456e-05	3.69233864867691e-09	1.13699248712074e-06	737	447	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus|t__SGB1790"	"dysbiosis_state"	"dysbiosis_CD"	-2.56520920512478	2.12115772225895e-07	NA	3.38869278277639e-05	4.24231499458689e-07	5.11138352347797e-05	737	375	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris|t__SGB1830"	"dysbiosis_state"	"dysbiosis_CD"	-2.52771595761845	3.03682103557256e-07	NA	4.48766228531734e-05	3.03682103557256e-07	4.00196072094046e-05	737	335	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__SGB2295"	"dysbiosis_state"	"dysbiosis_CD"	-3.41124543083215	4.02065604179851e-07	NA	5.79660923489536e-05	8.04131046702952e-07	8.92373848406934e-05	737	257	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AT4|t__SGB4753"	"dysbiosis_state"	"dysbiosis_CD"	3.93039538401708	4.48845390764612e-07	NA	6.03236781194371e-05	8.9769058006704e-07	9.23696235187701e-05	737	240	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_citroniae|t__SGB4761"	"dysbiosis_state"	"dysbiosis_CD"	3.65552201631369	4.49034315218276e-07	NA	6.03236781194371e-05	8.98068428804736e-07	9.23696235187701e-05	737	160	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_dispar|t__SGB2311"	"dysbiosis_state"	"dysbiosis_CD"	7.32160268832587	7.4200533118709e-07	NA	8.77198702529378e-05	7.4200533118709e-07	8.45685535571881e-05	737	40	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB33469|s__GGB33469_SGB15236|t__SGB15236"	"dysbiosis_state"	"dysbiosis_CD"	-6.92433726400966	2.22716216443716e-06	NA	0.000219412592566467	2.22716216443716e-06	0.000195665475988156	737	109	"abundance"
"UNCLASSIFIED"	"reads_filtered"	"reads_filtered"	-0.060450709057167	6.16848735839681e-06	NA	0.000492728767236264	6.16848735839681e-06	0.000448491572247575	737	726	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068"	"dysbiosis_state"	"dysbiosis_CD"	2.32182838228295	7.55860132981558e-06	NA	0.000572806313596665	7.55860132981558e-06	0.0005059463779021	737	341	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__SGB1836"	"reads_filtered"	"reads_filtered"	0.0739799650581589	1.54953895954517e-05	NA	0.000995578781507774	3.09905390838048e-05	0.00151961748042331	737	580	"abundance"
