"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis.t__SGB1836"	"dysbiosis_state"	"dysbiosis_CD"	-3.59760921533204	1.29852775162483e-21	NA	7.88336198011436e-18	2.59705550324966e-21	1.13984766037628e-17	735	579	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Phocaeicola.s__Phocaeicola_vulgatus.t__SGB1814"	"dysbiosis_state"	"dysbiosis_CD"	-3.56445907156934	1.9884603011674e-17	NA	4.02398082946243e-14	1.9884603011674e-17	2.90911742060791e-14	735	587	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_xylanisolvens.t__SGB1867"	"dysbiosis_state"	"dysbiosis_CD"	-3.0361624954767	7.0098308687315e-09	NA	1.93439469109404e-06	1.19197577685883e-09	4.54709080739748e-07	735	486	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Odoribacter.s__Odoribacter_splanchnicus.t__SGB1790"	"dysbiosis_state"	"dysbiosis_CD"	-2.60526085418602	4.06540845389407e-08	NA	8.81467668699676e-06	8.13081674251267e-08	1.42744618731552e-05	735	375	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB33469.s__GGB33469_SGB15236.t__SGB15236"	"dysbiosis_state"	"dysbiosis_CD"	-7.51755076641019	1.17438468503351e-07	NA	2.22802794463701e-05	1.17438468503351e-07	1.90902754911558e-05	735	109	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii.t__SGB2295"	"dysbiosis_state"	"dysbiosis_CD"	-3.46417887903219	1.27646484401904e-07	NA	2.34830850546653e-05	2.55292952510182e-07	3.73493589522397e-05	735	257	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__Clostridium.s__Clostridium_sp_AT4.t__SGB4753"	"dysbiosis_state"	"dysbiosis_CD"	4.07713125039488	1.79673762060189e-07	NA	3.02999835963169e-05	3.59347491837718e-07	4.77932164144165e-05	735	240	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_stercoris.t__SGB1830"	"dysbiosis_state"	"dysbiosis_CD"	-2.47630422671936	3.35103157062776e-07	NA	4.73118899192584e-05	6.70206201831425e-07	7.54239748676442e-05	735	335	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii.t__SGB15318"	"dysbiosis_state"	"dysbiosis_CD"	-3.65747584134539	3.31003301989347e-07	NA	4.73118899192584e-05	1.62055810219207e-09	5.47125346963155e-07	735	446	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus.t__SGB1871"	"reads_filtered"	"reads_filtered"	0.190301383743447	4.07726020013657e-07	NA	5.62569242614298e-05	8.15451873786806e-07	8.94754568512572e-05	735	541	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Enterocloster.s__Enterocloster_citroniae.t__SGB4761"	"dysbiosis_state"	"dysbiosis_CD"	3.64440093004272	8.59346771462163e-07	NA	0.000100328735568208	1.71869280444745e-06	0.000163985711276519	735	158	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_dispar.t__SGB2311"	"dysbiosis_state"	"dysbiosis_CD"	7.50519031444222	2.56386540956223e-06	NA	0.000255167654122169	2.56386540956223e-06	0.000234433443386847	735	40	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Dysosmobacter.s__Dysosmobacter_sp_BX15.t__SGB15053"	"dysbiosis_state"	"dysbiosis_CD"	-4.28485526833285	9.37568308961234e-06	NA	0.000729740667141494	9.37568308961234e-06	0.000653172588576326	735	246	"abundance"
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_longum.t__SGB17248"	"Antibiotics"	"Yes"	1.60730754295732	2.73280185272183e-05	NA	0.00161076116969652	5.46552902338399e-05	0.00239882068836323	735	357	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Enterocloster.s__Enterocloster_bolteae.t__SGB4758"	"Antibiotics"	"Yes"	1.39757226929729	2.96352059806149e-05	NA	0.00171347938579346	5.92695337157963e-05	0.00255033317135912	735	453	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Faecalibacterium.s__Faecalibacterium_SGB15346.t__SGB15346"	"dysbiosis_state"	"dysbiosis_CD"	-3.712475170523	4.01244436390959e-05	NA	0.00208201279771753	3.07375310925573e-06	0.000269814047930468	735	332	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.s__Escherichia_coli.t__SGB10068"	"dysbiosis_state"	"dysbiosis_CD"	2.25633672507892	4.85535768027538e-05	NA	0.00232597367259993	4.85535768027538e-05	0.00219692421224006	735	338	"abundance"
"UNCLASSIFIED"	"reads_filtered"	"reads_filtered"	-0.0626684429947313	7.5519274835732e-05	NA	0.00332230085165021	7.5519274835732e-05	0.00304086327755989	735	724	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis.t__SGB1836"	"reads_filtered"	"reads_filtered"	0.0639616960716258	7.82047429908312e-05	NA	0.00340093733601281	0.000156403369999836	0.00521520095364466	735	579	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Mediterraneibacter.s__Ruminococcus_gnavus.t__SGB4584"	"dysbiosis_state"	"dysbiosis_CD"	2.05656228899993	8.55710625813613e-05	NA	0.00363288056595416	0.000171134802755972	0.00548255948391211	735	399	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Lachnoclostridium.s__Clostridium_symbiosum.t__SGB4699"	"dysbiosis_state"	"dysbiosis_CD"	2.33489449325142	0.000152872020140403	NA	0.00580053771420241	0.000305720670426264	0.00843904416667215	735	267	"abundance"
"k__Bacteria.p__Firmicutes.c__CFGB3009.o__OFGB3009.f__FGB3009.g__GGB9474.s__GGB9474_SGB14868.t__SGB14868"	"consent_age"	"consent_age"	1.35644040247758	0.000168791433806685	NA	0.00628670426159745	0.000168791433806685	0.00544724708071721	735	21	"abundance"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella.s__Parasutterella_SGB9260.t__SGB9260"	"dysbiosis_state"	"dysbiosis_CD"	-3.28050532871484	0.000176975730297954	NA	0.00647240758216194	0.000176975730297954	0.00558578498532712	735	95	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__Clostridium.s__Clostridium_neonatale.t__SGB6169"	"dysbiosis_state"	"dysbiosis_CD"	5.55959007655307	0.000196151505676407	NA	0.00696539980722134	0.000196151505676407	0.00593730316147415	735	27	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Faecalibacterium.s__Faecalibacterium_SGB15315.t__SGB15315"	"Antibiotics"	"Yes"	-2.32156099550736	0.000204413197323596	NA	0.00717336717313036	0.000204413197323596	0.00614499673324153	735	231	"abundance"
"k__Bacteria.p__Firmicutes.c__Firmicutes_unclassified.o__Firmicutes_unclassified.f__Firmicutes_unclassified.g__Firmicutes_unclassified.s__Firmicutes_bacterium_AF16_15.t__SGB4993"	"consent_age"	"consent_age"	-1.36044218378138	0.000240808160078693	NA	0.00815970018745179	0.000240808160078693	0.00695333562227225	735	348	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Klebsiella.s__Klebsiella_pneumoniae.t__SGB10115"	"dysbiosis_state"	"dysbiosis_CD"	3.23015713764185	0.000299269983253897	NA	0.00972235591713159	0.000299269983253897	0.00836621628344812	735	85	"abundance"
"UNCLASSIFIED"	"dysbiosis_state"	"dysbiosis_CD"	-0.38071183408952	0.000332549321957832	NA	0.0105701933696649	0.000332549321957832	0.00906558368989394	735	724	"abundance"
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_adolescentis.t__SGB17244_group"	"Antibiotics"	"Yes"	-3.09911763226241	0.000482889798586726	NA	0.0140638558138175	0.000482889798586726	0.0122739234436104	735	134	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Christensenellaceae.g__Christensenellaceae_unclassified.s__Christensenellaceae_bacterium_NSJ_63.t__SGB14127"	"reads_filtered"	"reads_filtered"	-1.89034558567828	0.000526548130972564	NA	0.0150078577611945	0.0010528190090109	0.0224311778181982	735	45	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.s__Parabacteroides_merdae.t__SGB1949"	"dysbiosis_state"	"dysbiosis_CD"	-1.29445139131742	0.000534885377900275	NA	0.0150337459686693	3.26067499876e-05	0.00162626165563155	735	363	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Oscillibacter.s__Oscillibacter_sp_ER4.t__SGB15254"	"dysbiosis_state"	"dysbiosis_CD"	-3.75945454582417	0.00057606914518046	NA	0.0156830304053389	0.00057606914518046	0.0141249579787544	735	201	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_unclassified.f__Clostridia_unclassified.g__GGB33586.s__GGB33586_SGB53517.t__SGB53517"	"Antibiotics"	"Yes"	1.86530709657819	0.000663231985498467	NA	0.0178162893095628	0.00132602409433035	0.0266968795872288	735	75	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_putredinis.t__SGB2318"	"dysbiosis_state"	"dysbiosis_CD"	-1.78045310010368	0.000693353734876981	NA	0.0184620637036761	1.09077518685518e-05	0.000714539148523491	735	390	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__Clostridium.s__Clostridium_sp_AM22_11AC.t__SGB4749"	"Antibiotics"	"Yes"	1.43152725570495	0.000733019897127375	NA	0.0190970886679274	0.000733019897127375	0.0172969049918927	735	296	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Phocaeicola.s__Phocaeicola_sartorii.t__SGB1813"	"reads_filtered"	"reads_filtered"	0.177502699581949	0.000896257545676787	NA	0.022299916228704	3.79196353249425e-18	8.32146397205863e-15	735	226	"abundance"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__Lactobacillus_acidophilus.t__SGB7044"	"consent_age"	"consent_age"	-2.77832927213412	0.000901132363235639	NA	0.0223296921518513	0.000901132363235639	0.0198747233278453	735	23	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Butyricimonas.s__Butyricimonas_virosa.t__SGB1784"	"food_group"	"food_group"	NA	0.000922586050926445	NA	0.0227683736389205	0.00184432093683153	0.0335880688454505	735	52	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus.t__SGB1871"	"dysbiosis_state"	"dysbiosis_CD"	-1.08140512006003	0.000966526449482114	NA	0.0235653898586583	4.80451667019813e-09	1.31793897909372e-06	735	541	"abundance"
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Acidaminococcus.s__Acidaminococcus_intestini.t__SGB5736"	"dysbiosis_state"	"dysbiosis_CD"	-2.61092485278384	0.00102646469243769	NA	0.0247288378880525	0.00102646469243769	0.0219763587078489	735	116	"abundance"
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae.g__Veillonella.s__Veillonella_atypica.t__SGB6936"	"reads_filtered"	"reads_filtered"	-0.99738342210221	0.00116571250224905	NA	0.0273244810855367	0.00233006611886021	0.0410709244806323	735	162	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii.t__SGB2295"	"reads_filtered"	"reads_filtered"	0.13108421364993	0.00132442317030789	NA	0.0302277182967638	0.00264709224388173	0.0453831556968629	735	257	"abundance"
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae.g__Veillonella.s__Veillonella_dispar.t__SGB6952"	"dysbiosis_state"	"dysbiosis_CD"	2.13126956648571	0.00134013667737018	NA	0.0303580961504267	0.00267847738842633	0.0455652606891595	735	214	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_unclassified.g__Lawsonibacter.s__Lawsonibacter_asaccharolyticus.t__SGB15154"	"consent_age"	"consent_age"	0.803462643808484	0.00143846264408637	NA	0.0316435304613716	0.00287485611339431	0.0472612931055687	735	359	"abundance"
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.s__Escherichia_marmotae.t__SGB10064"	"Antibiotics"	"Yes"	2.31278460406746	0.00156231005669753	NA	0.0338742298364667	0.00156231005669753	0.0300744685914274	735	51	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Lachnoclostridium.s__Lachnoclostridium_sp_An138.t__SGB4774"	"dysbiosis_state"	"dysbiosis_CD"	6.24328614705877	0.00159569497031241	NA	0.0342313221369846	0.00159569497031241	0.0303182044359358	735	31	"abundance"
