"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__SGB1836"	"dysbiosis_state"	"dysbiosis_CD"	-3.62964869456718	1.09257106099314e-23	NA	6.41666984121271e-20	2.18514212198627e-23	9.33492714512537e-20	736	578	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus|t__SGB1814"	"dysbiosis_state"	"dysbiosis_CD"	-3.68787401105725	1.87498408620368e-19	NA	5.50589076913709e-16	1.87498408620368e-19	4.00496600813105e-16	736	586	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens|t__SGB1867"	"dysbiosis_state"	"dysbiosis_CD"	-3.01707309255088	1.97412377245003e-09	NA	8.28144922542789e-07	2.83136092442352e-09	1.00796448909477e-06	736	486	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris|t__SGB1830"	"dysbiosis_state"	"dysbiosis_CD"	-2.54628023893172	4.30046619010101e-08	NA	8.89229837861586e-06	4.30046619010101e-08	8.3507234382325e-06	736	334	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus|t__SGB1790"	"dysbiosis_state"	"dysbiosis_CD"	-2.48169454856867	4.39088460718304e-08	NA	8.89229837861586e-06	8.78176902156738e-08	1.44291220231292e-05	736	374	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__SGB15318"	"dysbiosis_state"	"dysbiosis_CD"	-3.72795894647157	6.00549755393407e-08	NA	1.17567623780849e-05	2.59755282346555e-09	1.00796448909477e-06	736	446	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__SGB2295"	"dysbiosis_state"	"dysbiosis_CD"	-3.43061800531518	7.30698569866438e-08	NA	1.38432022607277e-05	1.46139708634083e-07	2.31225494549928e-05	736	256	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AT4|t__SGB4753"	"dysbiosis_state"	"dysbiosis_CD"	4.32440736749773	8.30280470193851e-08	NA	1.52382412545265e-05	1.66056087145113e-07	2.53354144387116e-05	736	239	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__SGB1871"	"reads_filtered"	"reads_filtered"	0.205125436880385	1.21277920644919e-07	NA	1.97851452207669e-05	2.42555826581504e-07	3.23812028486308e-05	736	540	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB33469|s__GGB33469_SGB15236|t__SGB15236"	"dysbiosis_state"	"dysbiosis_CD"	-6.86311604198537	7.38371821612047e-07	NA	9.30762452746495e-05	7.38371821612047e-07	8.52520114034233e-05	736	109	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_SGB15346|t__SGB15346"	"dysbiosis_state"	"dysbiosis_CD"	-4.27945526221858	1.57041920055477e-06	NA	0.000174020225752041	1.57041920055477e-06	0.000156019321506278	736	332	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_citroniae|t__SGB4761"	"dysbiosis_state"	"dysbiosis_CD"	3.72956489098906	1.64395816111795e-06	NA	0.000178795671856403	3.28791361963747e-06	0.000292624312147735	736	158	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_dispar|t__SGB2311"	"dysbiosis_state"	"dysbiosis_CD"	6.77768381814241	5.58296934597669e-06	NA	0.000475199695201755	5.58296934597669e-06	0.00044200139188155	736	40	"abundance"
"UNCLASSIFIED"	"dysbiosis_state"	"dysbiosis_CD"	-0.377914114053687	9.72542842018537e-06	NA	0.000723005583693021	9.72542842018537e-06	0.000659476670016379	736	725	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_sp_BX15|t__SGB15053"	"dysbiosis_state"	"dysbiosis_CD"	-4.08601718840397	1.03079430919903e-05	NA	0.00073827499730804	6.40481323290943e-06	0.000480023897034896	736	244	"abundance"
"UNCLASSIFIED"	"reads_filtered"	"reads_filtered"	-0.0632790877845731	1.34249206055884e-05	NA	0.000876050652406899	2.68496609826836e-05	0.00134943237315323	736	725	"abundance"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_massiliensis|t__SGB5857"	"consent_age"	"consent_age"	3.99857942287629	2.23249798220073e-05	NA	0.0012981644207391	2.23249798220073e-05	0.00117743597283475	736	35	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_bolteae|t__SGB4758"	"Antibiotics"	"Yes"	1.44036478401713	2.69538934987278e-05	NA	0.00150762110969551	5.39070604850809e-05	0.00234990777951291	736	455	"abundance"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_SGB9260|t__SGB9260"	"dysbiosis_state"	"dysbiosis_CD"	-3.0882676124289	6.30724244151565e-05	NA	0.00287150657821871	6.30724244151565e-05	0.00264162154021126	736	94	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__SGB1836"	"reads_filtered"	"reads_filtered"	0.0590351573414925	7.91219438538778e-05	NA	0.00339184800185273	0.000158237627425756	0.00507824175634427	736	578	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae|t__SGB1949"	"dysbiosis_state"	"dysbiosis_CD"	-1.40500309096797	8.51057290594111e-05	NA	0.00354486487068029	8.012119118422e-05	0.00300243621700866	736	362	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_tayi|t__SGB4988"	"food_group"	"food_group"	NA	8.62960515532797e-05	NA	0.0035691317660029	0.000172584656098046	0.0053426206583395	736	126	"abundance"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini|t__SGB5736"	"dysbiosis_state"	"dysbiosis_CD"	-2.95309354190613	9.73046557003601e-05	NA	0.00388755267298105	9.73046557003601e-05	0.00349315537102469	736	116	"abundance"
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_AF16_15|t__SGB4993"	"consent_age"	"consent_age"	-1.42042122269834	0.000110450703104208	NA	0.00429587403530472	0.000110450703104208	0.00380520486823529	736	347	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_gnavus|t__SGB4584"	"dysbiosis_state"	"dysbiosis_CD"	2.14051135164183	0.000120081102767746	NA	0.00457945660100632	0.000240147786064251	0.00688531102058039	736	401	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB79916|s__GGB79916_SGB4587|t__SGB4587"	"reads_filtered"	"reads_filtered"	-2.46868543526932	0.000132348438882941	NA	0.00485801488474694	0.000132348438882941	0.00445190969218836	736	38	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__SGB17248"	"Antibiotics"	"Yes"	1.4710400080906	0.000202661284265582	NA	0.00676266887779411	0.000405281496935024	0.010124927221675	736	360	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_neonatale|t__SGB6169"	"dysbiosis_state"	"dysbiosis_CD"	6.10212357469988	0.000214312395581513	NA	0.00711105479802387	0.000214312395581513	0.00631408657878774	736	27	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_SGB15315|t__SGB15315"	"Antibiotics"	"Yes"	-2.26034044963101	0.000222961618592673	NA	0.00735648082019533	0.000222961618592673	0.00652391804539657	736	230	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_scindens|t__SGB4630"	"reads_filtered"	"reads_filtered"	-1.08700399712037	0.000242218022000378	NA	0.0077473490158811	0.000484377374430573	0.011647160527679	736	87	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_producta|t__SGB4785"	"consent_age"	"consent_age"	6.69477054196159	0.000293120831482281	NA	0.00896613876716374	0.000586155743142714	0.0134626738425036	736	37	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068"	"dysbiosis_state"	"dysbiosis_CD"	2.15463584248065	0.000302289706482458	NA	0.00912583774696735	0.000302289706482458	0.00825747542009227	736	339	"abundance"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis|t__SGB7962"	"food_group"	"food_group"	NA	0.000319638052983166	NA	0.00943333811643284	0.000639173937481418	0.0142960788529875	736	16	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__SGB1871"	"dysbiosis_state"	"dysbiosis_CD"	-1.07258664125283	0.000339017028844609	NA	0.00990570651942482	1.55525933507064e-08	3.69114882190099e-06	736	540	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_scindens|t__SGB4630"	"food_group"	"food_group"	NA	0.000344597306154988	NA	0.0100108405146716	0.000689075865006568	0.0153156476195037	736	87	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_sartorii|t__SGB1813"	"reads_filtered"	"reads_filtered"	0.197319173152516	0.000432170099711573	NA	0.01194934155913	4.34521119471146e-18	6.18758074126912e-15	736	226	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis|t__SGB2318"	"dysbiosis_state"	"dysbiosis_CD"	-1.72229314677581	0.000435199192497237	NA	0.01194934155913	2.21429395471221e-05	0.00117743597283475	736	388	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__SGB17244_group"	"Antibiotics"	"Yes"	-3.16757902263402	0.000449040675534622	NA	0.0122093328121057	0.000449040675534622	0.0110884495137798	736	134	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_sp_BX15|t__SGB15053"	"food_group"	"food_group"	NA	0.000702211345800934	NA	0.0173882877123304	0.0014039295908277	0.0268679143541702	736	244	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum|t__SGB4699"	"dysbiosis_state"	"dysbiosis_CD"	2.18467768451107	0.000916317533641485	NA	0.0220595195004515	0.00183179542946051	0.033882549047602	736	269	"abundance"
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__GGB16040|s__GGB16040_SGB9347|t__SGB9347"	"Antibiotics"	"Yes"	3.9289398232951	0.000910426243761763	NA	0.0220595195004515	0.000910426243761763	0.0192541629373775	736	42	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae|t__SGB10115"	"dysbiosis_state"	"dysbiosis_CD"	3.19305431107489	0.00101664347237394	NA	0.0240502380334547	0.00101664347237394	0.0210830141455411	736	85	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_ER4|t__SGB15254"	"dysbiosis_state"	"dysbiosis_CD"	-3.43954372284073	0.00104182684297508	NA	0.0244745961951706	0.000372304057747029	0.00963929051330489	736	200	"abundance"
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibacillus|s__Faecalibacillus_faecis|t__SGB6750"	"consent_age"	"consent_age"	-2.62148889222389	0.00112934377534503	NA	0.0260103372258878	0.00112934377534503	0.0228570536499635	736	53	"abundance"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_acidophilus|t__SGB7044"	"dysbiosis_state"	"dysbiosis_CD"	4.74042958152452	0.00128349352271138	NA	0.0291040828528337	0.00128349352271138	0.0249231105864682	736	23	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis|t__SGB1934"	"reads_filtered"	"reads_filtered"	0.0163947613680609	0.00140197294349133	NA	0.0310708947061305	0.00280198035884838	0.0469414121294129	736	495	"abundance"
