"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__SGB1836"	"dysbiosis_state"	"dysbiosis_CD"	-3.62012827101145	6.95811552161675e-16	NA	1.02910528564712e-12	1.39162310432336e-15	1.63306971292346e-12	738	580	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus|t__SGB1814"	"dysbiosis_state"	"dysbiosis_CD"	-3.61215531868164	1.90461171516978e-13	NA	1.8779471511574e-10	1.90461171516978e-13	1.49004123183449e-10	738	589	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AT4|t__SGB4753"	"dysbiosis_state"	"dysbiosis_CD"	4.4208563714295	2.04541307900352e-09	NA	3.78145742980776e-07	4.09082615382332e-09	6.40077932201556e-07	738	240	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens|t__SGB1867"	"dysbiosis_state"	"dysbiosis_CD"	-2.98418528366423	1.68999909607049e-06	NA	0.000128179931440424	8.95714836410727e-10	1.91112974641452e-07	738	487	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB33469|s__GGB33469_SGB15236|t__SGB15236"	"dysbiosis_state"	"dysbiosis_CD"	-7.17990891525801	2.06481544289951e-06	NA	0.00014835058404763	2.06481544289951e-06	0.00014927859879862	738	109	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris|t__SGB1830"	"dysbiosis_state"	"dysbiosis_CD"	-2.76785890716398	2.91527205815047e-06	NA	0.000193264157006659	2.91527205815047e-06	0.000175439577448184	738	334	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068"	"dysbiosis_state"	"dysbiosis_CD"	2.30920933407153	2.88249591096092e-06	NA	0.000193264157006659	2.88249591096092e-06	0.000175439577448184	738	341	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__SGB15318"	"dysbiosis_state"	"dysbiosis_CD"	-3.69786985282671	3.81023251249863e-06	NA	0.000239801441956829	3.04530886954566e-09	5.10524279773119e-07	738	449	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__SGB2295"	"dysbiosis_state"	"dysbiosis_CD"	-3.37188610521373	6.15274863991672e-06	NA	0.00033090600867043	2.6593211778786e-06	0.000168687210931921	738	258	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus|t__SGB1790"	"dysbiosis_state"	"dysbiosis_CD"	-2.62267629175363	6.36857485962413e-06	NA	0.000336397222049432	2.28490307348371e-06	0.000157725515101949	738	377	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_gnavus|t__SGB4584"	"dysbiosis_state"	"dysbiosis_CD"	2.03074868909132	9.61954102095103e-06	NA	0.000451660354602748	9.61954102095103e-06	0.000477874901634992	738	401	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_bolteae|t__SGB4758"	"Antibiotics"	"Yes"	1.4339360520892	1.63759568480127e-05	NA	0.000663562744608515	3.27516455240627e-05	0.00113041341242611	738	456	"abundance"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__SGB1871"	"reads_filtered"	"reads_filtered"	0.169592057380174	2.54246796439499e-05	NA	0.000928471634404986	5.08487128735649e-05	0.00156118997365991	738	541	"abundance"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae|t__SGB10115"	"dysbiosis_state"	"dysbiosis_CD"	3.56978646269364	2.69342051560387e-05	NA	0.000971602181116616	2.69342051560387e-05	0.000987727804706607	738	85	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_SGB15346|t__SGB15346"	"dysbiosis_state"	"dysbiosis_CD"	-4.07604003726898	7.69423208596508e-05	NA	0.00225341965448363	7.69423208596508e-05	0.00220223935436098	738	335	"abundance"
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__SGB17248"	"Antibiotics"	"Yes"	1.49095654524355	8.00869490812204e-05	NA	0.00229997277070146	0.000160167484243028	0.00391576130748319	738	361	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_bolteae|t__SGB4758"	"dysbiosis_state"	"dysbiosis_CD"	1.76248307809166	0.000136789983180716	NA	0.00358075017919079	0.000273561254861934	0.00583680241055418	738	456	"abundance"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_sp_BX15|t__SGB15053"	"dysbiosis_state"	"dysbiosis_CD"	-4.00283429030014	0.00014500660753868	NA	0.00369766849223634	0.00014500660753868	0.00365946782680949	738	246	"abundance"
