"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis.t__SGB1836"	"dysbiosis_state"	"dysbiosis_CD"	-3.65039152071602	4.26158200099081e-22	NA	2.49174699597933e-18	8.52316400198167e-22	3.59933215803686e-18	736	578	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Phocaeicola.s__Phocaeicola_vulgatus.t__SGB1814"	"dysbiosis_state"	"dysbiosis_CD"	-3.66842371912054	2.14912644106551e-18	NA	6.28297115045503e-15	2.14912644106551e-18	4.53788048030983e-15	736	587	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_xylanisolvens.t__SGB1867"	"dysbiosis_state"	"dysbiosis_CD"	-3.03506163571555	6.79972014113455e-09	NA	1.80718016660062e-06	9.34566620294391e-10	3.58788621591201e-07	736	485	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__Clostridium.s__Clostridium_sp_AT4.t__SGB4753"	"dysbiosis_state"	"dysbiosis_CD"	4.39900245328053	2.32691036004372e-08	NA	5.44217795007024e-06	4.65382066594231e-08	8.54481942272799e-06	736	238	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_stercoris.t__SGB1830"	"dysbiosis_state"	"dysbiosis_CD"	-2.63920039652301	5.08076614824562e-08	NA	1.060972845314e-05	5.08076614824562e-08	8.87874688169827e-06	736	333	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Odoribacter.s__Odoribacter_splanchnicus.t__SGB1790"	"dysbiosis_state"	"dysbiosis_CD"	-2.47887503280664	1.07900811896656e-07	NA	1.91180620351439e-05	2.15801612150727e-07	3.03776736037506e-05	736	375	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii.t__SGB2295"	"dysbiosis_state"	"dysbiosis_CD"	-3.37670343286853	2.46644309102038e-07	NA	3.60532318829904e-05	2.70200361842092e-07	3.68082621954566e-05	736	258	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus.t__SGB1871"	"reads_filtered"	"reads_filtered"	0.209409225327687	3.39963866131262e-07	NA	4.62271796574299e-05	6.79927616687093e-07	7.36239570581947e-05	736	539	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii.t__SGB15318"	"dysbiosis_state"	"dysbiosis_CD"	-3.56788915325192	5.46781874207189e-07	NA	6.95007308367269e-05	2.2934806060412e-09	7.16382515545772e-07	736	445	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_salyersiae.t__SGB1857"	"consent_age"	"consent_age"	1.31989277400218	7.55749243169158e-07	NA	9.11205364473269e-05	7.55749243169158e-07	7.59887869976989e-05	736	70	"abundance"
