"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis.t__SGB1836"	"dysbiosis_state"	"dysbiosis_CD"	-3.62398790733001	3.09987230385529e-23	NA	1.83977421233811e-19	6.19974460771061e-23	2.60389273523846e-19	738	580	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Phocaeicola.s__Phocaeicola_vulgatus.t__SGB1814"	"dysbiosis_state"	"dysbiosis_CD"	-3.63098437199662	1.27379744883925e-18	NA	3.77999392943047e-15	1.27379744883925e-18	2.67497464256242e-15	738	588	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_xylanisolvens.t__SGB1867"	"dysbiosis_state"	"dysbiosis_CD"	-3.01142990152348	3.44925014922966e-09	NA	1.20419409621636e-06	1.53760491822133e-09	5.38161721377467e-07	738	487	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Odoribacter.s__Odoribacter_splanchnicus.t__SGB1790"	"dysbiosis_state"	"dysbiosis_CD"	-2.58639328650294	3.11036811518145e-08	NA	7.38401390544077e-06	6.220736133619e-08	1.08862882338332e-05	738	375	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__Clostridium.s__Clostridium_sp_AT4.t__SGB4753"	"dysbiosis_state"	"dysbiosis_CD"	4.32922065894074	3.98277844719048e-08	NA	8.15096209795706e-06	7.9655567357557e-08	1.23908660333978e-05	738	240	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_stercoris.t__SGB1830"	"dysbiosis_state"	"dysbiosis_CD"	-2.56630056720022	4.44640405638408e-08	NA	8.51271228214178e-06	4.44640405638408e-08	8.11952045078832e-06	738	334	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus.t__SGB1871"	"reads_filtered"	"reads_filtered"	0.211552118980093	7.63963370290506e-08	NA	1.37397654626489e-05	1.52792668221701e-07	2.07009421461659e-05	738	541	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii.t__SGB2295"	"dysbiosis_state"	"dysbiosis_CD"	-3.36299774058026	1.03391162555396e-07	NA	1.80478396990081e-05	2.06782314421059e-07	2.7140178767764e-05	738	257	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB33469.s__GGB33469_SGB15236.t__SGB15236"	"dysbiosis_state"	"dysbiosis_CD"	-7.6730558052852	1.08542452874002e-07	NA	1.84056987944915e-05	1.08542452874002e-07	1.51959434023603e-05	738	109	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii.t__SGB15318"	"dysbiosis_state"	"dysbiosis_CD"	-3.6717299172373	1.43839409295838e-07	NA	2.24654445834421e-05	3.03937510092736e-09	9.11812530278209e-07	738	447	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Enterocloster.s__Enterocloster_citroniae.t__SGB4761"	"dysbiosis_state"	"dysbiosis_CD"	3.76141888545895	5.98258559931932e-07	NA	7.10132910639203e-05	1.19651676195056e-06	0.000111674897782052	738	160	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Dysosmobacter.s__Dysosmobacter_sp_BX15.t__SGB15053"	"dysbiosis_state"	"dysbiosis_CD"	-4.18455289517152	1.16307598145824e-05	NA	0.000852204438266003	1.16307598145824e-05	0.000775383987638823	738	246	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Faecalibacterium.s__Faecalibacterium_SGB15346.t__SGB15346"	"dysbiosis_state"	"dysbiosis_CD"	-3.89272494697987	1.64671380132978e-05	NA	0.00111059618305594	1.64671380132978e-05	0.00101708793611545	738	333	"abundance"
