"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"N"	"N_not_zero"	"association"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis.t__SGB1836"	"dysbiosis_state"	"dysbiosis_CD"	-2.83774419345869	6.47313767785308e-09	NA	5.75005236187945e-06	6.47313767785308e-09	5.0182999847556e-06	540	431	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Odoribacter.s__Odoribacter_splanchnicus.t__SGB1790"	"dysbiosis_state"	"dysbiosis_CD"	-5.26160132399818	5.94461566385827e-09	NA	5.75005236187945e-06	5.94461566385827e-09	5.0182999847556e-06	540	281	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Phocaeicola.s__Phocaeicola_vulgatus.t__SGB1814"	"dysbiosis_state"	"dysbiosis_CD"	-2.50051760618687	2.65391563558777e-08	NA	1.07775513961219e-05	5.30783120074285e-08	1.64595845535036e-05	540	449	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus.t__SGB1871"	"dysbiosis_state"	"dysbiosis_CD"	-2.83935727801279	7.85921900367851e-08	NA	2.45509910568757e-05	1.57184373896838e-07	3.74945187272379e-05	540	432	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB33469.s__GGB33469_SGB15236.t__SGB15236"	"dysbiosis_state"	"dysbiosis_CD"	-7.39256130894588	7.50143895410895e-07	NA	0.000154403207038586	7.50143895410895e-07	0.000137912980894978	540	70	"abundance"
"UNCLASSIFIED"	"dysbiosis_state"	"dysbiosis_UC"	0.957853475771064	8.00526815901192e-07	NA	0.000154806638065464	8.00526815901192e-07	0.000137912980894978	540	537	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis.t__SGB1836"	"reads_filtered"	"reads_filtered"	0.169621150056926	1.02466284496396e-06	NA	0.000180919817973854	1.02466284496396e-06	0.000158873974111662	540	431	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.s__Parabacteroides_distasonis.t__SGB1934"	"dysbiosis_state"	"dysbiosis_UC"	-5.44540272512887	1.53560994972785e-06	NA	0.000259838000243534	3.07121754135779e-06	0.00038095382383002	540	424	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_shahii.t__SGB2295"	"dysbiosis_state"	"dysbiosis_CD"	-4.32211835953533	1.87798326210851e-06	NA	0.00026784340949907	3.75596299739589e-06	0.000405816233829128	540	252	"abundance"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella.s__Parasutterella_excrementihominis.t__SGB9262"	"dysbiosis_state"	"dysbiosis_UC"	3.76792113486733	1.18433882441199e-05	NA	0.000976711797492895	2.36866362223947e-05	0.00149163510105686	540	286	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_caccae.t__SGB1877"	"Antibiotics"	"Yes"	-2.35210449965394	1.97394362183669e-05	NA	0.001406348254084	3.94784827913917e-05	0.00214776798484396	540	321	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_xylanisolvens.t__SGB1867"	"dysbiosis_state"	"dysbiosis_CD"	-3.08729119206297	2.4762029676966e-05	NA	0.00157122816434623	4.83179646875936e-05	0.00241667755639077	540	379	"abundance"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_fragilis.t__SGB1855"	"dysbiosis_state"	"dysbiosis_CD"	3.44009073241149	2.53409858899448e-05	NA	0.00158322682613947	5.06813296143236e-05	0.00249464766879393	540	296	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__GGB9614.s__GGB9614_SGB15049.t__SGB15049"	"reads_filtered"	"reads_filtered"	0.621950265741516	2.58872108446046e-05	NA	0.00159284792787787	2.94245038430057e-05	0.00168972937809557	540	143	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii.t__SGB15326"	"diagnosis"	"CD"	5.77635690579694	6.3750920025071e-05	NA	0.0033783701493117	6.3750920025071e-05	0.00295062094026486	540	200	"abundance"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__Clostridium.s__Clostridium_fessum.t__SGB4705"	"dysbiosis_state"	"dysbiosis_CD"	-3.61080065396322	7.9392243140509e-05	NA	0.00403014874242009	7.9392243140509e-05	0.0035680484924452	540	384	"abundance"
