#OTU ID	10246.BI.M.I1	10246.PP.N.I3	10246.KS.B1	10246.BI.N.B2	10246.PP.N.I4	10246.HV.I1	10246.ER.N.I3	10246.BI.T.B1	10246.PP.N.B3	10246.KS.I1	10246.BO1.I10	10246.BI.M.B1	10246.HV.B1	10246.ER.N.B3	10246.L.B1	10246.KR2.B5	10246.ER.I9	10246.PP.B7	10246.KR1.I1	10246.ER.B7	10246.K.I1	10246.KR2.B2	10246.PP.I9	10246.PP.I7	10246.FB.B4	10246.PP.B15	10246.ER.B9	10246.KR2.I5	10246.PP.I14	10246.PP.B9	10246.K.B1	10246.PP.I13	10246.KR2.I2	10246.PP.B12	10246.FB.B3	10246.KR1.B1	10246.ER.I7	10246.PP.N.B5	10246.ER.N.B2	10246.ER.T.I1	10246.PP.T.I1	10246.PP.N.B2	10246.BO1.B10	10246.BI.N.I3	10246.ER.N.I2	10246.ER.T.B1	10246.PP.N.I5	10246.BI.N.B3	10246.PP.T.B1	10246.PP.N.I2	10246.PP.I1	10246.FB.B2	10246.BI.D.I1	10246.ER.I6	10246.PP.B13	10246.PP.I12	10246.KR2.I3	10246.PP.B8	10246.VD.B1	10246.ER.B8	10246.KR2.I4	10246.PP.I15	10246.PP.B14	10246.ER.I1	10246.FB.B5	10246.HI.B1	10246.BO2.B1	10246.PP.I6	10246.PP.I8	10246.KR2.B3	10246.BI.D.B1	10246.ER.B6	10246.HI.I1	10246.BO2.I1	10246.PP.B6	10246.ER.B1	10246.KR2.B4	10246.ER.I8	10246.BO2.B5	10246.HI.B5	10246.PP.I2	10246.PP.B10	10246.BI.D.I2	10246.KR1.B3	10246.ER.I5	10246.K.B3	10246.PP.I11	10246.VD.B5	10246.BO1.I6	10246.VD.B2	10246.K.B4	10246.ER.I2	10246.KR1.B4	10246.BI.D.I5	10246.PP.I5	10246.BO1.B8	10246.HI.B2	10246.BO2.B2	10246.VD.I5	10246.BO1.B6	10246.ER.B10	10246.FB.I1	10246.KR1.I3	10246.BI.D.B2	10246.ER.B5	10246.BO2.I5	10246.HI.I5	10246.PP.B2	10246.PP.B5	10246.BO1.I8	10246.HI.I2	10246.BO2.I2	10246.ER.B2	10246.BI.D.B5	10246.KR1.I4	10246.K.I4	10246.VD.I2	10246.KS.I4	10246.PP.T.I5	10246.L.B3	10246.HV.B3	10246.BI.M.B4	10246.ER.N.B1	10246.ER.T.I2	10246.BI.M.B3	10246.HV.B4	10246.L.B4	10246.PP.T.I2	10246.PP.N.B1	10246.KS.I3	10246.BI.T.B3	10246.BI.M.I4	10246.HV.I3	10246.ER.N.I1	10246.ER.T.B2	10246.L.I3	10246.KS.B4	10246.PP.T.B5	10246.BI.T.I3	10246.PP.T.B2	10246.PP.N.I1	10246.KS.B3	10246.L.I4	10246.HV.I4	10246.BI.M.I3	10246.K.I5	10246.BI.D.B4	10246.KR1.I5	10246.BO1.I9	10246.HI.I3	10246.BO2.I3	10246.PP.B4	10246.PP.B3	10246.BO2.I4	10246.HI.I4	10246.KR1.I2	10246.BI.D.B3	10246.ER.B4	10246.KR2.B1	10246.ER.I10	10246.K.I2	10246.VD.I4	10246.BO1.B7	10246.BO1.B9	10246.HI.B3	10246.BO2.B3	10246.PP.I4	10246.ER.I3	10246.KR1.B5	10246.BI.D.I4	10246.K.B5	10246.VD.B3	10246.VD.B4	10246.BO1.I7	10246.PP.I10	10246.KR2.I1	10246.K.B2	10246.BI.D.I3	10246.KR1.B2	10246.ER.I4	10246.PP.B11	10246.PP.I3	10246.BO2.B4	10246.HI.B4	10246.HV.I5	10246.BI.M.I2	10246.L.I5	10246.PP.T.B3	10246.KS.B2	10246.BI.N.B1	10246.BI.T.I2	10246.KS.B5	10246.PP.T.B4	10246.L.I2	10246.HV.I2	10246.ER.T.B3	10246.BI.N.I1	10246.BI.T.B2	10246.PP.T.I3	10246.KS.I2	10246.L.B5	10246.BI.M.B2	10246.HV.B5	10246.HV.B2	10246.BI.M.B5	10246.L.B2	10246.KS.I5	10246.PP.T.I4
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia;D_3__uncultured methanogenic archaeon;D_4__uncultured methanogenic archaeon;D_5__uncultured methanogenic archaeon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	13	0	0	0	0	4	0	0	0	19	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia;__;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	9	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
D_0__Archaea;D_1__Diapherotrites;D_2__Iainarchaeia;D_3__Iainarchaeales;D_4__Diapherotrites archaeon SCGC AAA011-N19;D_5__Diapherotrites archaeon SCGC AAA011-N19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Archaea;D_1__Diapherotrites;D_2__Micrarchaeia;D_3__mine drainage metagenome;D_4__mine drainage metagenome;D_5__mine drainage metagenome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria;D_3__Methanobacteriales;D_4__Methanobacteriaceae;D_5__Methanobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia;D_3__Methanomicrobiales;D_4__Methanoregulaceae;D_5__Methanoregula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia;D_3__Methanomicrobiales;D_4__Methanoregulaceae;D_5__Methanosphaerula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia;D_3__Methanomicrobiales;D_4__Rice Cluster II;D_5__uncultured archaeon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia;D_3__Methanosarcinales;D_4__Methanosaetaceae;D_5__Methanosaeta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia;D_3__Methanosarcinales;D_4__Methanosarcinaceae;D_5__Methanosarcina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
