#OTU ID	parkinsonfecalbacteria.C1	parkinsonfecalbacteria.C5	parkinsonfecalbacteria.C14	parkinsonfecalbacteria.C15	parkinsonfecalbacteria.C18	parkinsonfecalbacteria.C19	parkinsonfecalbacteria.C21	parkinsonfecalbacteria.C24	parkinsonfecalbacteria.C26	parkinsonfecalbacteria.C32	parkinsonfecalbacteria.C34	parkinsonfecalbacteria.C35	parkinsonfecalbacteria.C44	parkinsonfecalbacteria.C46	parkinsonfecalbacteria.C49	parkinsonfecalbacteria.C51	parkinsonfecalbacteria.C52	parkinsonfecalbacteria.C58	parkinsonfecalbacteria.C63	parkinsonfecalbacteria.C68	parkinsonfecalbacteria.C70	parkinsonfecalbacteria.C72	parkinsonfecalbacteria.C73	parkinsonfecalbacteria.C74	parkinsonfecalbacteria.C76	parkinsonfecalbacteria.C79	parkinsonfecalbacteria.C80	parkinsonfecalbacteria.C82	parkinsonfecalbacteria.C85	parkinsonfecalbacteria.C86	parkinsonfecalbacteria.C87	parkinsonfecalbacteria.C88	parkinsonfecalbacteria.C89	parkinsonfecalbacteria.C90	parkinsonfecalbacteria.C95	parkinsonfecalbacteria.C98	parkinsonfecalbacteria.C102	parkinsonfecalbacteria.C103	parkinsonfecalbacteria.C104	parkinsonfecalbacteria.C105	parkinsonfecalbacteria.C107	parkinsonfecalbacteria.C111	parkinsonfecalbacteria.C114	parkinsonfecalbacteria.C116	parkinsonfecalbacteria.C118	parkinsonfecalbacteria.C119	parkinsonfecalbacteria.C123	parkinsonfecalbacteria.C124	parkinsonfecalbacteria.C134	parkinsonfecalbacteria.C135	parkinsonfecalbacteria.C136	parkinsonfecalbacteria.C137	parkinsonfecalbacteria.C142	parkinsonfecalbacteria.C143	parkinsonfecalbacteria.C146	parkinsonfecalbacteria.P8	parkinsonfecalbacteria.P9	parkinsonfecalbacteria.P11	parkinsonfecalbacteria.P12	parkinsonfecalbacteria.P16	parkinsonfecalbacteria.P17	parkinsonfecalbacteria.P24	parkinsonfecalbacteria.P26	parkinsonfecalbacteria.P28	parkinsonfecalbacteria.P31	parkinsonfecalbacteria.P34	parkinsonfecalbacteria.P37	parkinsonfecalbacteria.P41	parkinsonfecalbacteria.P42	parkinsonfecalbacteria.P43	parkinsonfecalbacteria.P45	parkinsonfecalbacteria.P50	parkinsonfecalbacteria.P51	parkinsonfecalbacteria.P53	parkinsonfecalbacteria.P56	parkinsonfecalbacteria.P57	parkinsonfecalbacteria.P59	parkinsonfecalbacteria.P61	parkinsonfecalbacteria.P63	parkinsonfecalbacteria.P65	parkinsonfecalbacteria.P66	parkinsonfecalbacteria.P68	parkinsonfecalbacteria.P69	parkinsonfecalbacteria.P71	parkinsonfecalbacteria.P73	parkinsonfecalbacteria.P74	parkinsonfecalbacteria.P77	parkinsonfecalbacteria.P79	parkinsonfecalbacteria.P83	parkinsonfecalbacteria.P85	parkinsonfecalbacteria.P87	parkinsonfecalbacteria.P88	parkinsonfecalbacteria.P93	parkinsonfecalbacteria.P94	parkinsonfecalbacteria.P95	parkinsonfecalbacteria.P99	parkinsonfecalbacteria.P100	parkinsonfecalbacteria.P103	parkinsonfecalbacteria.P105	parkinsonfecalbacteria.P107	parkinsonfecalbacteria.P112	parkinsonfecalbacteria.P113	parkinsonfecalbacteria.P114	parkinsonfecalbacteria.P115	parkinsonfecalbacteria.P116	parkinsonfecalbacteria.P117	parkinsonfecalbacteria.P119	parkinsonfecalbacteria.P120
k__Bacteria._.p__._.c__._.o__._.f__._.g__	66	51	37	37	140	52	119	27	48	0	168	309	55	38	1	16	26	588	3	86	35	36	65	705	107	416	260	72	141	201	194	4	878	173	441	0	112	92	236	350	13	192	4	2	29	22	243	106	146	411	270	151	15	700	121	69	4	658	1	5	41	203	4	233	47	683	143	77	168	23	1117	166	81	368	81	242	0	78	44	379	138	308	393	55	73	171	121	185	40	75	538	381	293	38	2	44	214	282	11	181	514	124	1109	132	112	142	189	178
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__._.f__._.g__	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Adlercreutzia	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Eggerthella	0	0	0	0	0	0	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	0	0	0	0	2	0	4	1	0	0	0	0	0	0	0	0	2	38	1	0	0	0	0	0	1	1	1	0	0	0	0	0	5	0	0	0	2	11	0	0	0	0	0	0	0	3	9	1	0	0	0	0	0	0	3	5	6	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	4
k__Bacteria._.p__Bacteroidetes._.c__._.o__._.f__._.g__	2	0	0	2	0	44	0	0	0	0	1	13	1	0	7	0	0	0	0	0	0	3	0	5	0	0	0	318	2	0	4	2	1	0	23	0	0	0	89	1	0	41	1	0	2	3	194	78	0	20	18	0	0	168	0	0	0	0	0	0	3	8	0	0	1	0	338	0	0	3	82	6	6	9	1	0	0	0	10	7	6	178	0	2	0	0	0	4	111	0	2	0	4	0	0	8	2	1	35	0	7	1	0	0	6	0	0	1
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__._.g__	0	0	0	511	2	1	0	0	0	0	1	0	1	0	3	0	0	0	6	50	0	0	7	161	0	0	3	0	46	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	24	0	134	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	54	0	7	0	0	260	0	0	0	0	0	3	0	2	0	0	0	0	0	0	246	0	64	0	0	0	0	12	0	0	28	0	0	48	30	1	0	137	2	0	0	36
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Bacteroidaceae._.g__Bacteroides	713	791	477	150	528	474	226	88	430	298	601	688	142	1156	1051	1364	763	156	1163	84	775	1276	153	263	811	333	45	149	346	810	442	1168	145	524	632	1390	1241	803	460	110	410	339	460	179	238	1314	266	103	179	718	348	782	882	323	500	647	952	399	1279	447	809	239	1016	711	279	341	313	305	417	792	118	479	431	512	915	214	1355	571	394	71	504	465	594	568	1079	388	136	873	317	644	67	443	350	662	1245	467	415	155	422	234	653	115	189	787	560	1205	240	253
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__	0	0	0	0	2	0	0	10	4	1	14	13	0	0	0	0	4	0	0	0	119	0	0	1	0	2	3	3	169	0	4	0	0	7	1	3	10	25	1	0	0	150	0	0	0	0	38	0	1	0	8	0	11	7	13	0	8	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	15	0	0	1	40	10	16	3	10	0	2	0	18	8	3	0	3	4	0	0	1	0	7	0	11	6	6	1	0	8	5	138	0	0	6	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Barnesiella	0	0	41	19	16	4	0	39	33	0	8	4	0	13	46	0	21	5	40	7	38	0	9	6	16	20	19	7	7	29	0	0	41	10	17	13	0	0	0	37	10	2	44	0	26	0	56	0	1	0	35	0	33	3	0	0	0	66	16	0	11	0	9	74	31	41	24	0	30	185	32	11	49	51	8	2	9	48	0	10	56	25	10	26	57	0	16	11	5	76	31	0	32	0	0	44	36	6	7	71	39	15	25	10	0	0	5	3
