read_count	sample_alias	run_accession
122629	M5NP_CC	SRR10217991
46935	M5NP_LSI-C	SRR10217992
215875	M5NP_SC	SRR10217994
154884	M4P_LSI-C	SRR10217999
145448	M4P_USI-C	SRR10218000
284245	M3NP_USI-S	SRR10218005
41557	GF_SI_Stool_1000X	SRR10218012
187899	M2NP_CC	SRR10218014
127976	M2NP_SC	SRR10218017
33181	M1NP_USI-C	SRR10218024
36441	M1NP_SC	SRR10218025
149586	M6P_D10_Stool	SRR10218026
125584	M6NP_D10_Stool	SRR10218027
150770	M5NP_D10_Stool	SRR10218029
87419	M4P_D10_Stool	SRR10218030
129760	M3NP_D10_Stool	SRR10218033
93381	M4P_D7_Stool	SRR10218043
59878	M3P_D7_Stool	SRR10218046
231501	M3NP_D7_Stool	SRR10218047
82160	M2NP_D7_Stool	SRR10218049
87163	M1NP_D7_Stool	SRR10218051
156254	M5NP_D4_Stool	SRR10218054
83286	M4P_D4_Stool	SRR10218055
180518	M3P_D4_Stool	SRR10218058
100999	M1NP_D4_Stool	SRR10218063
115617	M5P_D0_Stool	SRR10218065
117271	M5NP_D0_Stool	SRR10218066
36824	Buffer_Cntrl	SRR10218067
104478	M4P_D0_Stool	SRR10218068
113040	M4NP_D0_Stool	SRR10218069
38768	M5NP_USI-C	SRR10217993
132959	M3NP_D0_Stool	SRR10218071
127733	M2P_D0_Stool	SRR10218072
117176	M4P_LSI-S	SRR10217996
366322	M4P_USI-S	SRR10217997
38859	CC_SW_Chow_1000X_3	SRR10218079
35632	CC_SW_Chow_10X	SRR10218083
60235	M3P_LSI-S	SRR10218089
260809	M4P_CC	SRR10217998
248253	M3P_LI-S	SRR10218091
126137	M4P_SC	SRR10218002
123172	M6NP_USI-S	SRR10218096
236025	M3NP_LI-S	SRR10218003
119245	M6NP_CC	SRR10218097
116284	M3NP_CC	SRR10218006
237439	M6NP_LSI-C	SRR10218098
88972	M3NP_LSI-C	SRR10218007
102100	M3NP_SC	SRR10218009
103977	M2NP_LI-S	SRR10218010
170926	M2NP_LSI-S	SRR10218011
193156	M2NP_USI-S	SRR10218013
51664	M2NP_LSI-C	SRR10218015
45475	M1NP_LI-S	SRR10218018
40380	M1NP_USI-S	SRR10218020
41543	M1NP_CC	SRR10218021
36659	M1NP_LSI-C	SRR10218022
174045	M5P_D10_Stool	SRR10218028
189334	M4NP_D10_Stool	SRR10218031
110586	M2P_D10_Stool	SRR10218035
467557	M2NP_D10_Stool	SRR10218036
45748	M1NP_D10_Stool	SRR10218038
217115	M6P_D7_Stool	SRR10218039
100059	M5P_D7_Stool	SRR10218041
121070	M5NP_D7_Stool	SRR10218042
185633	M4NP_D7_Stool	SRR10218044
58647	GF_SI-S_1000X	SRR10218045
102434	M1P_D7_Stool	SRR10218050
135202	M5P_D4_Stool	SRR10218053
39799	GF_SI-S_10X	SRR10218056
221668	M3NP_D4_Stool	SRR10218059
148666	M6NP_D0_Stool	SRR10218064
119214	M1P_D0_Stool	SRR10218074
42292	CC_SW_Chow_1000X_2	SRR10218080
45469	CC_SW_Chow_100X	SRR10218082
46018	CC_SW_Chow_4	SRR10218084
45143	CC_SW_Chow_3	SRR10218085
51473	CC_SW_Chow_2	SRR10218086
180174	M4NP_LSI-S	SRR10218088
103939	M2P_LSI-S	SRR10218090
119426	M6NP_USI-C	SRR10218099
240732	M5NP_LSI-S	SRR10218102
30436	M5NP_USI-S	SRR10218103
53653	Buffer_1000X	SRR10218105
41363	Buffer_10X	SRR10218106
240303	M4P_LI-S	SRR10217995
36059	GF_SI_Stool_100000X	SRR10218001
277062	M3NP_LSI-S	SRR10218004
444033	M3NP_USI-C	SRR10218008
142145	M2NP_USI-C	SRR10218016
37397	M1NP_LSI-S	SRR10218019
53829	GF_SI-S_Cntrl	SRR10218023
101029	M3P_D10_Stool	SRR10218032
36619	GF_SI-S_100000X	SRR10218034
185655	M1P_D10_Stool	SRR10218037
152548	M6NP_D7_Stool	SRR10218040
108072	M2P_D7_Stool	SRR10218048
180462	M6NP_D4_Stool	SRR10218052
211927	M4NP_D4_Stool	SRR10218057
112220	M2P_D4_Stool	SRR10218060
87940	M2NP_D4_Stool	SRR10218061
99815	M1P_D4_Stool	SRR10218062
144022	M3P_D0_Stool	SRR10218070
83149	M2NP_D0_Stool	SRR10218073
120097	M1NP_D0_Stool	SRR10218075
36301	CC_SW_Chow_10000X	SRR10218076
39204	CC_SW_Chow_1000X_4	SRR10218077
40710	Buffer_100000X	SRR10218078
33634	CC_SW_Chow_1000X_1	SRR10218081
287443	M5P_LSI-S	SRR10218087
134605	M1P_LSI-S	SRR10218092
38333	CC_SW_Chow_1	SRR10218093
155111	M6NP_LI-S	SRR10218094
167105	M6NP_LSI-S	SRR10218095
98107	M6NP_SC	SRR10218100
236710	M5NP_LI-S	SRR10218101
30895	GF_SI_Stool_Cntrl	SRR10218104
