"feature"	"metadata"	"value"	"coef"	"pval"	"qval"	"association"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Christensenellaceae.D_5__uncultured"	"Diet"	"Keto"	-3.74338357937968	3.02545279816151e-14	6.71650521191856e-12	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Erysipelotrichia.D_3__Erysipelotrichales.D_4__Erysipelotrichaceae.D_5__Faecalibaculum"	"Day"	"Day"	3.33022748800893	6.32267443461254e-14	7.01816862241992e-12	"abundance"
"D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Prevotellaceae.D_5__Prevotellaceae.UCG.001"	"Day"	"Day"	-3.01404399292161	1.40989102032731e-13	1.04331935504221e-11	"abundance"
"D_0__Bacteria.D_1__Cyanobacteria.D_2__Melainabacteria.D_3__Gastranaerophilales.__.__"	"Day"	"Day"	-2.40825954594474	1.35559233860545e-11	7.52353747926025e-10	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Christensenellaceae.D_5__Christensenellaceae.R.7.group"	"Day"	"Day"	-1.50432578853371	1.86792370484285e-10	6.91131770791855e-09	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Erysipelotrichia.D_3__Erysipelotrichales.D_4__Erysipelotrichaceae.D_5__uncultured"	"Day"	"Day"	-1.81978785742859	1.82522304382872e-10	6.91131770791855e-09	"abundance"
"D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Muribaculaceae.D_5__uncultured.Bacteroidales.bacterium"	"Day"	"Day"	-1.22846087508694	5.16002367796495e-10	1.6364646521546e-08	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.D_5__ASF356"	"Day"	"Day"	-2.46654219697914	2.36596708057447e-09	6.56555864859415e-08	"abundance"
"D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Muribaculaceae.D_5__Gram.negative.bacterium.cTPY.13"	"Day"	"Day"	-2.22219920968556	3.01986648313933e-09	7.44900399174367e-08	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Ruminococcus.1"	"Day"	"Day"	-1.78199714884749	6.8057449577315e-09	1.51087538061639e-07	"abundance"
