"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"association"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Peptostreptococcaceae.D_5__Romboutsia"	"Day"	"Day"	-0.0594764386161319	0.361636281836961	NA	0.651879943854728	0	0	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Peptostreptococcaceae.D_5__Romboutsia"	"Diet"	"Keto"	3.07810398905067	0.0124648898428076	NA	0.0563887873841296	0	0	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Erysipelotrichia.D_3__Erysipelotrichales.D_4__Erysipelotrichaceae.D_5__uncultured"	"Day"	"Day"	-1.46691105855141	0.0582674473355002	NA	0.170010257022847	0	0	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Erysipelotrichia.D_3__Erysipelotrichales.D_4__Erysipelotrichaceae.D_5__uncultured"	"Diet"	"Keto"	-0.63605230867673	0.613568383126619	NA	0.915414304451877	2.84865407816901e-27	1.49554339103873e-25	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Erysipelotrichia.D_3__Erysipelotrichales.D_4__Erysipelotrichaceae.D_5__Faecalibaculum"	"Day"	"Day"	3.33022748800893	3.08889541488727e-16	NA	2.9344506441429e-14	3.08889541488727e-16	1.29733607425265e-14	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.D_5__Marvinbryantia"	"Diet"	"Keto"	-0.962293428396785	0.286528537196405	NA	0.55847061038504	1.53008648514102e-15	5.35530269799357e-14	"abundance"
"D_0__Bacteria.D_1__Actinobacteria.D_2__Coriobacteriia.D_3__Coriobacteriales.D_4__Eggerthellaceae.D_5__Enterorhabdus"	"Diet"	"Keto"	1.70126563057011	1.18112573389659e-09	NA	7.48046298134505e-08	1.18112573389659e-09	3.54337720168976e-08	"abundance"
"D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Prevotellaceae.D_5__Prevotellaceae.UCG.001"	"Day"	"Day"	-2.80867229376787	3.59716737161311e-09	NA	1.70865450151623e-07	7.19433473028659e-09	1.88851286670023e-07	"abundance"
"D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Bacteroidaceae.D_5__Bacteroides"	"Day"	"Day"	0.343328145669092	2.39430726952886e-07	NA	7.58197302017472e-06	2.39430726952886e-07	5.56986547854612e-06	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Christensenellaceae.D_5__uncultured"	"Diet"	"Keto"	-2.56305354573281	1.32615853520771e-07	NA	5.03940243378929e-06	2.65231689454577e-07	5.56986547854612e-06	"abundance"
"D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Marinifilaceae.D_5__Butyricimonas"	"Day"	"Day"	0.358632727876629	1.92864218851463e-06	NA	5.234885940254e-05	1.92864218851463e-06	3.68195326898248e-05	"abundance"
"D_0__Bacteria.D_1__Verrucomicrobia.D_2__Verrucomicrobiae.D_3__Verrucomicrobiales.D_4__Akkermansiaceae.D_5__Akkermansia"	"Day"	"Day"	1.79524410757059	3.8627635742264e-06	NA	8.15472310114462e-05	3.8627635742264e-06	6.7598362548962e-05	"abundance"
"D_0__Bacteria.D_1__Actinobacteria.D_2__Coriobacteriia.D_3__Coriobacteriales.D_4__Eggerthellaceae.D_5__Enterorhabdus"	"Day"	"Day"	0.0547217934575189	6.43613258891026e-06	NA	0.000122286519189295	6.43613258891026e-06	0.000103968295667012	"abundance"
