"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"association"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Peptostreptococcaceae.D_5__Romboutsia"	"Day"	"Day"	0.0528640826272957	0.926686264910048	NA	0.946615001789834	0	0	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Peptostreptococcaceae.D_5__Romboutsia"	"Diet"	"Keto"	1.57649223959889	0.236584829416958	NA	0.297689520458424	0	0	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Erysipelotrichia.D_3__Erysipelotrichales.D_4__Erysipelotrichaceae.D_5__uncultured"	"Day"	"Day"	-1.82312681714048	0.00113404592209332	NA	0.00448893177495272	0	0	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Erysipelotrichia.D_3__Erysipelotrichales.D_4__Erysipelotrichaceae.D_5__uncultured"	"Diet"	"Keto"	-1.60737597190143	0.0769765145989512	NA	0.121671566833808	2.84865407816901e-27	1.49554339103873e-25	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.D_5__Marvinbryantia"	"Diet"	"Keto"	-2.43156368517599	0.00647850104600341	NA	0.0180813018822412	1.53008648514102e-15	6.42636323759229e-14	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Erysipelotrichia.D_3__Erysipelotrichales.D_4__Erysipelotrichaceae.D_5__Faecalibaculum"	"Day"	"Day"	3.04203452580846	3.1465686724286e-12	NA	2.0471374981856e-10	3.1465686724286e-12	1.10129903535001e-10	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Christensenellaceae.D_5__uncultured"	"Diet"	"Keto"	-4.03158367401181	3.23232236555622e-12	NA	2.0471374981856e-10	6.46464473110197e-12	1.93939341933059e-10	"abundance"
"D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Prevotellaceae.D_5__Prevotellaceae.UCG.001"	"Day"	"Day"	-3.15540905699244	2.66227651807613e-11	NA	1.26458134608616e-09	5.32455303608137e-11	1.24239570841899e-09	"abundance"
"D_0__Bacteria.D_1__Tenericutes.D_2__Mollicutes.D_3__Mollicutes.RF39.__.__"	"Day"	"Day"	-1.62210627039539	5.1297987903539e-11	NA	1.94932354033448e-09	5.1297987903539e-11	1.24239570841899e-09	"abundance"
"D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Marinifilaceae.D_5__Butyricimonas"	"Diet"	"Keto"	-2.60329637112034	1.29127988798218e-10	NA	4.08905297861025e-09	1.29127988798218e-10	2.71168776476259e-09	"abundance"
"D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Muribaculaceae.D_5__uncultured.Bacteroidales.bacterium"	"Day"	"Day"	-1.52567620030832	3.06800348473352e-10	NA	7.2865082762421e-09	3.06800348473352e-10	5.85709756176398e-09	"abundance"
"D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Tannerellaceae.D_5__Parabacteroides"	"Diet"	"Keto"	-3.69515922027315	3.00709727499666e-10	NA	7.2865082762421e-09	6.01419454908906e-10	1.05248404609059e-08	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Ruminococcaceae.UCG.014"	"Diet"	"Keto"	-3.1038510243223	1.39683079032073e-09	NA	2.9488650017882e-08	1.39683079032073e-09	2.25641896897963e-08	"abundance"
"D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Rikenellaceae.D_5__Alistipes"	"Diet"	"Keto"	-2.14171932512298	3.59925419612346e-09	NA	6.83858297263457e-08	3.59925419612346e-09	5.39888129418519e-08	"abundance"
"D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Muribaculaceae.D_5__uncultured.bacterium"	"Diet"	"Keto"	-1.82789062666989	1.25416419121895e-08	NA	2.16628360301455e-07	1.25416419121895e-08	1.75582986770653e-07	"abundance"
"D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Muribaculaceae.D_5__uncultured.bacterium"	"Day"	"Day"	-0.874469198119151	4.17621113522674e-08	NA	6.10369319763908e-07	4.17621113522674e-08	5.48127711498509e-07	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Ruminiclostridium.5"	"Diet"	"Keto"	-2.83272635507754	3.94438188051312e-08	NA	6.10369319763908e-07	7.88876360544472e-08	9.20355753968551e-07	"abundance"
