	Abiotrophia	Acetanaerobacterium	Acetatifactor	Acetitomaculum	Acidaminococcus	Acinetobacter	Actinomyces	Aeromonas	Aestuariispira	Akkermansia	Alistipes	Allisonella	Allobaculum	Alloprevotella	Alloscardovia	Anaerococcus	Anaerofilum	Anaerofustis	Anaeroglobus	Anaerophaga	Anaerosporobacter	Anaerostipes	Anaerotruncus	Anaerovorax	Aquabacterium	Arcanobacterium	Atopobium	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Brachyspira	Brevibacterium	Butyricicoccus	Butyricimonas	Butyrivibrio	Campylobacter	Carnobacterium	Catabacter	Catenibacterium	Cerasicoccus	Christensenella	Citrobacter	Cloacibacillus	Clostridium_III	Clostridium_IV	Clostridium_XI	Clostridium_XVIII	Clostridium_XlVa	Clostridium_XlVb	Clostridium_sensu_stricto	Collinsella	Coprobacillus	Coprobacter	Coprococcus	Corynebacterium	Desulfovibrio	Dialister	Dolosigranulum	Dorea	Dysgonomonas	Eggerthella	Eggerthia	Eisenbergiella	Elusimicrobium	Enterobacter	Enterococcus	Enterorhabdus	EscherichiaShigella	Eubacterium	Faecalibacterium	Faecalicoccus	Faecalitalea	Finegoldia	Flavonifractor	Fretibacterium	Fusicatenibacter	Fusobacterium	Gemella	Gemmiger	Gordonibacter	Haemophilus	Helicobacter	Herbaspirillum	Holdemanella	Holdemania	Howardella	Hungatella	Hydrogenoanaerobacterium	Intestinibacter	Intestinimonas	Kingella	Lachnoanaerobaculum	Lactobacillus	Lactococcus	Lactonifactor	Leptotrichia	Leuconostoc	Mannheimia	Massilia	Megamonas	Megasphaera	Methanobrevibacter	Methanomassiliicoccus	Methanosphaera	Mitsuokella	Mogibacterium	Morganella	Moryella	Neisseria	Odoribacter	Olsenella	Oribacterium	Oscillibacter	Oxalobacter	Parabacteroides	Paraeggerthella	Paraprevotella	Parasutterella	Parvimonas	Pediococcus	Peptococcus	Peptoniphilus	Peptostreptococcus	Phascolarctobacterium	Porphyromonas	Prevotella	Propionispira	Proteus	Providencia	Pseudobutyrivibrio	Pseudoflavonifractor	Pseudomonas	Pseudoramibacter	Pyramidobacter	Romboutsia	Roseburia	Rothia	Ruminococcus	Ruminococcus2	Salmonella	Scardovia	Senegalimassilia	Slackia	Solobacterium	Sphaerochaeta	Sporobacter	Staphylococcus	Stomatobaculum	Streptococcus	Streptophyta	Subdoligranulum	Succinatimonas	Succiniclasticum	Succinivibrio	Sutterella	Terrisporobacter	Treponema	Turicibacter	Ureaplasma	Veillonella	Victivallis	Weissella	Yersinia	unclassified_Acetobacteraceae	unclassified_Acidaminococcaceae	unclassified_Aerococcaceae	unclassified_Alteromonadales	unclassified_Anaerolineaceae	unclassified_Anaeroplasmataceae	unclassified_Anaplasmataceae	unclassified_Bacillaceae	unclassified_Bacillales	unclassified_Bacteroidaceae	unclassified_Bacteroidales	unclassified_Bdellovibrionaceae	unclassified_Beijerinckiaceae	unclassified_Beutenbergiaceae	unclassified_Bifidobacteriaceae	unclassified_Blastocatella	unclassified_Bradymonadaceae	unclassified_Bryobacter	unclassified_Burkholderiales	unclassified_Candidatus	unclassified_Carnobacteriaceae	unclassified_Catabacteriaceae	unclassified_Chitinivibrionaceae	unclassified_Chloroplast	unclassified_Christensenellaceae	unclassified_Chromatiaceae	unclassified_Clostridiaceae	unclassified_Clostridiales	unclassified_Comamonadaceae	unclassified_Coriobacteriaceae	unclassified_Corynebacteriaceae	unclassified_Cryomorphaceae	unclassified_Cyclobacteriaceae	unclassified_Cytophagaceae	unclassified_Defluviitaleaceae	unclassified_Dehalococcoidaceae	unclassified_Desulfobacteraceae	unclassified_Desulfobulbaceae	unclassified_Desulfohalobiaceae	unclassified_Desulfomicrobiaceae	unclassified_Desulfovibrionaceae	unclassified_Ectothiorhodospiraceae	unclassified_Elioraea	unclassified_Enterobacteriaceae	unclassified_Enterococcaceae	unclassified_Erysipelotrichaceae	unclassified_Eubacteriaceae	unclassified_Ferroplasmaceae	unclassified_Ferrovaceae	unclassified_Flammeovirgaceae	unclassified_Flavobacteriaceae	unclassified_Fusobacteriaceae	unclassified_Geminicoccus	unclassified_Gracilibacteraceae	unclassified_Halanaerobiaceae	unclassified_Halobacteriaceae	unclassified_Halobacteroidaceae	unclassified_Halomonadaceae	unclassified_Haloplasmataceae	unclassified_Halothiobacillaceae	unclassified_Heliobacteriaceae	unclassified_Hyphomonadaceae	unclassified_Ignavibacteriaceae	unclassified_Kiloniellaceae	unclassified_Kofleriaceae	unclassified_Lachnospiraceae	unclassified_Lactobacillaceae	unclassified_Leptospiraceae	unclassified_Leptotrichiaceae	unclassified_Marinilabiliaceae	unclassified_Marinimicrobia	unclassified_Mariprofundaceae	unclassified_Methanobacteriaceae	unclassified_Methanomassiliicoccaceae	unclassified_Methanoregulaceae	unclassified_Methanosarcinaceae	unclassified_Methylococcaceae	unclassified_Microbacteriaceae	unclassified_Nannocystaceae	unclassified_Natranaerobiaceae	unclassified_Natranaerovirga	unclassified_Neisseriaceae	unclassified_Oceanospirillaceae	unclassified_Oleiphilaceae	unclassified_Oligoflexaceae	unclassified_Oligosphaeraceae	unclassified_Opitutaceae	unclassified_Oxalobacteraceae	unclassified_Pacearchaeota	unclassified_Paenibacillaceae	unclassified_Pasteurellaceae	unclassified_Peptococcaceae	unclassified_Peptoniphilaceae	unclassified_Peptostreptococcaceae	unclassified_Petrotogaceae	unclassified_Planctomycetaceae	unclassified_Planococcaceae	unclassified_Porphyromonadaceae	unclassified_Prevotellaceae	unclassified_Prolixibacteraceae	unclassified_Proteinivoraceae	unclassified_Pseudobacteriovoracaceae	unclassified_Puniceicoccaceae	unclassified_Rhodobacteraceae	unclassified_Rhodobiaceae	unclassified_Rhodocyclaceae	unclassified_Rhodospirillaceae	unclassified_Rickettsiaceae	unclassified_Rikenellaceae	unclassified_Ruminococcaceae	unclassified_Saprospiraceae	unclassified_Simkaniaceae	unclassified_Sinobacteraceae	unclassified_Sphingobacteriaceae	unclassified_Spirochaetaceae	unclassified_Sporolactobacillaceae	unclassified_Staphylococcaceae	unclassified_Streptococcaceae	unclassified_Succinivibrionaceae	unclassified_Sulfolobaceae	unclassified_Sutterellaceae	unclassified_Synergistaceae	unclassified_Syntrophaceae	unclassified_Syntrophobacteraceae	unclassified_Syntrophomonadaceae	unclassified_Syntrophorhabdaceae	unclassified_Thermoactinomycetaceae	unclassified_Thermoanaerobacteraceae	unclassified_Thermodesulfobacteriaceae	unclassified_Thermoplasmatales	unclassified_Thermotogaceae	unclassified_Vallitalea	unclassified_Veillonellaceae	unclassified_Verrucomicrobiaceae	unclassified_Victivallaceae	unclassified_Vulgatibacteraceae	unclassified_Woesearchaeota	unclassified_Xanthomonadaceae
DC02	0	0	0	0	786750181.724705	0	0	0	0	0	971867871.542282	0	0	1758618053.26699	0	0	0	0	0	0	0	10551708319.6019	0	0	0	0	0	12356605795.3233	0	138838267.363183	0	3239559571.80761	0	0	92558844.9087888	0	0	0	0	0	46279422.4543944	0	0	0	0	0	0	0	92558844.9087888	92558844.9087888	0	46279422.4543944	138838267.363183	0	185117689.817578	740470759.27031	0	0	462794224.543944	0	601632491.907127	0	185117689.817578	0	0	0	0	0	0	0	0	4489103978.07626	0	0	0	462794224.543944	0	1156985561.35986	1342103251.17744	0	0	0	0	0	0	46279422.4543944	0	0	0	0	0	0	0	0	0	0	0	0	46279422.4543944	0	0	0	0	0	0	0	0	0	0	0	0	46279422.4543944	0	0	0	0	509073646.998338	0	0	4396545133.16747	0	0	0	0	0	647911914.361522	0	4072589175.98671	0	0	0	0	0	0	0	0	46279422.4543944	4026309753.53231	0	138838267.363183	92558844.9087888	0	0	0	0	0	0	0	0	0	92558844.9087888	0	0	0	46279422.4543944	0	46279422.4543944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46279422.4543944	0	46279422.4543944	0	0	0	0	0	0	0	0	0	46279422.4543944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92558844.9087888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5368413004.70975	46279422.4543944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92558844.9087888	0	0	0	0	0	0	323955957.180761	0	0	0	0	0	0	0	0	0	0	0	740470759.27031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46279422.4543944	0
DC03	0	0	0	0	1811979129.82582	0	0	0	0	2137206153.12789	139383009.986602	0	0	0	0	0	0	0	92922006.6577345	0	0	0	0	0	0	0	0	232305016.644336	0	139383009.986602	46461003.3288673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46461003.3288673	0	46461003.3288673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46461003.3288673	0	0	0	0	0	46461003.3288673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46461003.3288673	0	0	0	0	0	0	0	0	0	0	0	0	0	92922006.6577345	0	371688026.630938	46461003.3288673	0	0	0	0	0	511071036.61754	0	1207986086.55055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46461003.3288673	0	0	0	0	0	46461003.3288673	0	0	0	0	0	0	46461003.3288673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92922006.6577345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	603993043.275274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46461003.3288673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464610033.288673	0	0	0	0	0
DC04	0	0	0	0	46288550.6199675	0	0	0	0	138865651.859902	2129273328.5185	0	0	231442753.099837	0	0	0	0	0	0	0	1805253474.17873	0	0	0	0	0	9350287225.23343	1018348113.63928	0	0	1018348113.63928	0	0	138865651.859902	0	0	0	0	0	0	0	0	0	0	0	277731303.719805	0	0	46288550.6199675	0	0	0	0	277731303.719805	92577101.2399349	0	277731303.719805	46288550.6199675	0	277731303.719805	0	0	0	46288550.6199675	0	0	0	0	0	0	7174725346.09496	0	0	0	0	0	46288550.6199675	0	0	0	0	0	0	0	0	0	0	46288550.6199675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92577101.2399349	0	138865651.859902	0	46288550.6199675	0	0	0	0	0	0	0	0	601751158.059577	0	0	0	0	0	0	0	0	0	2823601587.81802	0	0	92577101.2399349	0	0	0	46288550.6199675	0	0	0	0	0	92577101.2399349	0	0	0	0	0	0	0	46288550.6199675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46288550.6199675	0	0	0	0	0	0	0	0	277731303.719805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46288550.6199675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1573810721.07889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277731303.719805	92577101.2399349	0	0	0	0	0	0	0	46288550.6199675	0	0	1620099271.69886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46288550.6199675	0	0	0	0	0
DC05	0	0	0	0	2131302285.91962	0	0	0	0	46332658.389557	138997975.168671	0	0	0	0	0	0	0	0	0	0	1158316459.73892	0	0	0	0	0	9683525603.4174	0	0	0	741322534.232911	0	0	92665316.7791139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231663291.947785	0	0	0	0	0	0	0	0	0	0	46332658.389557	0	46332658.389557	0	0	0	0	0	0	0	0	138997975.168671	0	0	0	46332658.389557	0	185330633.558228	0	0	0	0	0	0	0	0	0	0	0	0	46332658.389557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185330633.558228	0	0	46332658.389557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	509659242.285127	0	46332658.389557	92665316.7791139	0	0	0	0	0	0	0	0	0	138997975.168671	0	0	0	0	0	741322534.232911	0	46332658.389557	0	0	833987851.012025	0	0	0	46332658.389557	0	0	0	0	0	0	0	0	0	0	46332658.389557	0	0	0	0	0	0	0	0	0	0	0	0	46332658.389557	0	0	0	0	46332658.389557	0	0	0	0	0	0	0	0	0	0	0	0	0	138997975.168671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	787655192.622468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46332658.389557	0	46332658.389557	0	0	0	0	0	0	92665316.7791139	0	0	46332658.389557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46332658.389557	0	0	0	0	0
DC06	0	0	0	0	46400043.6065132	0	92800087.2130264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2134402005.89961	0	0	0	278400261.639079	0	0	278400261.639079	0	0	46400043.6065132	0	0	0	0	0	0	0	0	0	0	0	92800087.2130264	46400043.6065132	92800087.2130264	46400043.6065132	0	0	0	46400043.6065132	0	0	0	139200130.81954	0	0	0	0	0	0	0	0	46400043.6065132	0	92800087.2130264	0	0	0	0	0	0	928000872.130264	0	0	0	232000218.032566	0	0	0	0	0	0	0	0	0	0	46400043.6065132	139200130.81954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46400043.6065132	0	0	0	0	0	0	0	0	0	0	1020800959.34329	0	0	0	0	0	0	0	0	556800523.278159	0	0	0	0	0	0	0	0	0	0	0	0	0	510400479.671645	0	0	0	0	0	464000436.065132	0	0	0	0	603200566.884672	0	0	0	0	0	0	46400043.6065132	0	46400043.6065132	0	0	0	0	0	92800087.2130264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139200130.81954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2737602572.78428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	742400697.704211	0	0	46400043.6065132	0	0	0	0	0	0	0	0	0	0	0	0	92800087.2130264	0	0	92800087.2130264	0	0	0	0	46400043.6065132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DC07	0	0	0	0	0	0	185575511.30039	0	0	0	2226906135.60468	0	0	185575511.30039	0	0	0	0	0	0	0	278363266.950586	0	0	0	0	0	2134118379.95449	371151022.600781	92787755.6501952	92787755.6501952	1948542868.6541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46393877.8250976	0	0	324757144.775683	0	0	0	0	0	324757144.775683	0	0	0	0	185575511.30039	0	0	0	46393877.8250976	92787755.6501952	0	0	0	0	0	463938778.250976	0	0	0	0	0	278363266.950586	0	0	139181633.475293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46393877.8250976	0	0	0	0	0	0	0	0	0	0	0	0	185575511.30039	0	0	46393877.8250976	0	0	0	0	0	0	0	139181633.475293	0	0	0	0	0	46393877.8250976	0	0	0	649514289.551366	0	556726533.901171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46393877.8250976	0	0	139181633.475293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46393877.8250976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231969389.125488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1159846945.62744	0	0	0	46393877.8250976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92787755.6501952	0	0	1809361235.17881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DC08	0	0	0	0	0	0	0	0	0	92533781.2813387	3331216126.12819	0	0	46266890.6406693	0	0	0	46266890.6406693	0	0	0	10271249722.2286	0	0	0	0	0	22208107507.5213	46266890.6406693	1434273609.86075	694003359.61004	11196587535.042	0	0	277601343.844016	0	0	0	0	0	46266890.6406693	0	0	0	46266890.6406693	0	370135125.125355	0	0	323868234.484685	462668906.406693	0	138800671.922008	0	0	1850675625.62677	0	0	1619341172.42343	0	5875895111.36501	0	0	0	138800671.922008	0	0	0	0	92533781.2813387	0	11520455769.5267	0	0	0	46266890.6406693	0	0	0	46266890.6406693	0	0	46266890.6406693	0	0	0	0	0	0	0	0	46266890.6406693	0	0	0	0	0	0	0	0	0	46266890.6406693	46266890.6406693	0	0	0	0	46266890.6406693	0	0	0	231334453.203347	0	0	138800671.922008	0	185067562.562677	0	2405878313.31481	416402015.766024	0	92533781.2813387	0	0	0	0	0	92533781.2813387	0	0	0	0	46266890.6406693	0	0	185067562.562677	0	46266890.6406693	0	0	3793885032.53489	0	0	0	0	0	0	0	0	0	46266890.6406693	0	0	0	0	0	0	0	46266890.6406693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46266890.6406693	0	0	0	0	0	0	46266890.6406693	277601343.844016	0	0	0	0	0	0	0	0	0	0	46266890.6406693	0	0	138800671.922008	0	1619341172.42343	92533781.2813387	0	46266890.6406693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1804408734.9861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46266890.6406693	0	46266890.6406693	0	0	0	0	0	1943209406.90811	0	0	0	0	46266890.6406693	0	0	0	0	0	0	7171368049.30375	0	0	0	0	46266890.6406693	0	0	0	0	0	601469578.328701	46266890.6406693	0	0	0	0	0	0	0	46266890.6406693	0	0	0	0	0	0	0	0
DC09	0	0	0	0	46309186.8718834	0	46309186.8718834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92618373.7437668	0	0	0	0	0	4955082995.29152	46309186.8718834	0	0	463091868.718834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92618373.7437668	0	0	0	0	0	0	185236747.487534	0	324164308.103184	0	46309186.8718834	0	0	0	0	0	46309186.8718834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46309186.8718834	0	0	0	0	0	0	0	0	0	0	0	0	0	463091868.718834	0	0	0	0	0	0	0	0	0	46309186.8718834	46309186.8718834	0	0	0	0	0	0	0	0	0	0	46309186.8718834	0	0	0	0	0	0	46309186.8718834	0	0	0	0	0	0	0	0	0	0	0	0	1481893979.90027	0	0	0	0	0	0	46309186.8718834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46309186.8718834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46309186.8718834	0	0	0	0	0	0	0	0	0	0	0	0	46309186.8718834	0	0	1435584793.02838	0	0	0	0	0	0	0	0	0	0	0	46309186.8718834	0	0	0	0	0	0	0	0	0	1018802111.18143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46309186.8718834	0	0	0	0	0	0	0	0	46309186.8718834	0	0	138927560.61565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DC10	0	0	0	0	0	0	46504091.4683189	0	0	46504091.4683189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1209106378.17629	0	0	93008182.9366379	279024548.809914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46504091.4683189	0	0	0	0	0	0	46504091.4683189	0	0	0	0	325528640.278233	0	0	0	0	0	0	0	0	232520457.341595	0	46504091.4683189	0	0	0	0	0	0	3534310951.59224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139512274.404957	0	0	0	0	0	0	0	0	0	46504091.4683189	0	0	0	0	0	0	139512274.404957	0	0	0	0	0	46504091.4683189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46504091.4683189	0	0	0	0	0	0	0	0	46504091.4683189	0	0	0	0	0	0	0	0	0	0	0	0	0	418536823.21487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418536823.21487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DC100	0	0	0	0	46265104.2354653	0	46265104.2354653	0	0	17997125547.596	12260252622.3983	0	0	0	0	0	0	0	0	0	0	3238557296.48257	92530208.4709305	0	46265104.2354653	0	0	13833266166.4041	740241667.767444	2313255211.77326	555181250.825583	12815433873.2239	0	0	46265104.2354653	323855729.648257	46265104.2354653	0	0	0	0	0	0	0	0	0	416385938.119187	0	46265104.2354653	601446355.061048	92530208.4709305	46265104.2354653	2868436462.59885	0	138795312.706396	1943134377.88954	0	0	0	0	601446355.061048	0	46265104.2354653	0	0	0	0	46265104.2354653	0	185060416.941861	0	1202892710.1221	0	0	0	185060416.941861	0	323855729.648257	0	0	185060416.941861	46265104.2354653	0	0	0	0	0	0	92530208.4709305	0	138795312.706396	370120833.883722	0	0	0	0	0	0	0	0	0	0	46265104.2354653	0	0	0	0	0	0	0	0	92530208.4709305	0	0	1758073960.94768	0	601446355.061048	0	46265104.2354653	2081929690.59594	0	0	0	46265104.2354653	0	46265104.2354653	0	92530208.4709305	0	0	0	0	46265104.2354653	0	0	0	46265104.2354653	8790369804.7384	0	1896869273.65408	12769168768.9884	0	0	0	0	0	0	0	0	0	92530208.4709305	0	0	0	0	0	92530208.4709305	46265104.2354653	0	46265104.2354653	0	508916146.590118	0	0	0	0	46265104.2354653	0	0	0	0	0	0	46265104.2354653	46265104.2354653	0	92530208.4709305	46265104.2354653	0	0	0	0	0	0	46265104.2354653	46265104.2354653	0	46265104.2354653	0	46265104.2354653	0	46265104.2354653	92530208.4709305	0	92530208.4709305	0	0	0	0	185060416.941861	0	46265104.2354653	0	0	0	0	0	0	555181250.825583	0	1804339065.18315	46265104.2354653	0	0	0	0	46265104.2354653	0	0	0	0	0	0	0	0	0	0	0	0	0	6939765635.31979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231325521.177326	46265104.2354653	0	0	0	0	0	0	0	231325521.177326	0	0	9715671889.44771	0	0	0	0	0	0	0	46265104.2354653	0	0	46265104.2354653	0	0	0	0	0	46265104.2354653	0	0	0	0	0	46265104.2354653	0	0	0	46265104.2354653	0
