"feature"	"metadata"	"effect_size"	"pval"	"qval"	"error"	"associations"
"Abiotrophia"	"age"	NA	1	1	"sensitivity failed"	"abundance"
"Abiotrophia"	"bmi"	NA	1	1	"sensitivity failed"	"abundance"
"Abiotrophia"	"diagnosisCD"	NA	1	1	NA	"abundance"
"Abiotrophia"	"diagnosisPSC-CD"	NA	1	1	NA	"abundance"
"Abiotrophia"	"diagnosisPSC-UC"	NA	1	1	"sensitivity failed"	"abundance"
"Abiotrophia"	"genderM"	NA	1	1	NA	"abundance"
"Abiotrophia"	"read_count"	NA	1	1	"sensitivity failed"	"abundance"
"Acetanaerobacterium"	"age"	NA	1	1	NA	"abundance"
"Acetanaerobacterium"	"bmi"	NA	1	1	NA	"abundance"
"Acetanaerobacterium"	"diagnosisCD"	NA	1	1	NA	"abundance"
"Acetanaerobacterium"	"diagnosisPSC-CD"	NA	1	1	NA	"abundance"
"Acetanaerobacterium"	"diagnosisPSC-UC"	NA	1	1	"sensitivity failed"	"abundance"
"Acetanaerobacterium"	"genderM"	NA	1	1	NA	"abundance"
"Acetanaerobacterium"	"read_count"	NA	1	1	"sensitivity failed"	"abundance"
"Acetatifactor"	"age"	NA	1	1	"sensitivity failed"	"abundance"
"Acetatifactor"	"bmi"	NA	1	1	NA	"abundance"
"Acetatifactor"	"diagnosisCD"	NA	1	1	NA	"abundance"
"Acetatifactor"	"diagnosisPSC-CD"	NA	1	1	NA	"abundance"
"Acetatifactor"	"diagnosisPSC-UC"	NA	1	1	"sensitivity failed"	"abundance"
"Acetatifactor"	"genderM"	NA	1	1	NA	"abundance"
"Acetatifactor"	"read_count"	NA	1	1	"sensitivity failed"	"abundance"
"Acetitomaculum"	"age"	NA	1	1	NA	"abundance"
"Acetitomaculum"	"bmi"	NA	1	1	NA	"abundance"
"Acetitomaculum"	"diagnosisCD"	NA	1	1	NA	"abundance"
"Acetitomaculum"	"diagnosisPSC-CD"	NA	1	1	NA	"abundance"
"Acetitomaculum"	"diagnosisPSC-UC"	NA	1	1	"sensitivity failed"	"abundance"
"Acetitomaculum"	"genderM"	NA	1	1	"sensitivity failed"	"abundance"
"Acetitomaculum"	"read_count"	NA	1	1	"sensitivity failed"	"abundance"
"Acidaminococcus"	"age"	-0.288680051874064	0.00778101787890498	0.392941402884701	NA	"abundance"
"Acidaminococcus"	"bmi"	0.0778027243900971	1	1	NA	"abundance"
"Acidaminococcus"	"diagnosisCD"	-0.256050129979312	0.743887031285231	1	"sensitivity failed"	"abundance"
"Acidaminococcus"	"diagnosisPSC-CD"	-0.216283660287173	0.775024779382816	1	NA	"abundance"
"Acidaminococcus"	"diagnosisPSC-UC"	-0.174158267118542	0.811598121618434	1	"sensitivity failed"	"abundance"
"Acidaminococcus"	"genderM"	0.234845620973723	0.564017982414757	1	NA	"abundance"
"Acidaminococcus"	"read_count"	-0.616780780884145	0.0219345781723488	0.717335006515961	"sensitivity failed"	"abundance"
"Acinetobacter"	"age"	NA	1	1	NA	"abundance"
"Acinetobacter"	"bmi"	NA	1	1	NA	"abundance"
"Acinetobacter"	"diagnosisCD"	NA	1	1	NA	"abundance"
"Acinetobacter"	"diagnosisPSC-CD"	NA	1	1	NA	"abundance"
"Acinetobacter"	"diagnosisPSC-UC"	NA	1	1	NA	"abundance"
"Acinetobacter"	"genderM"	NA	1	1	NA	"abundance"
"Acinetobacter"	"read_count"	NA	1	1	"sensitivity failed"	"abundance"
"Actinomyces"	"age"	-0.0667321968600008	0.323841989917674	1	NA	"abundance"
"Actinomyces"	"bmi"	-0.0703945338921133	1	1	NA	"abundance"
"Actinomyces"	"diagnosisCD"	0.564822006699782	0.387747372046623	1	NA	"abundance"
"Actinomyces"	"diagnosisPSC-CD"	0.26707729417097	0.689334876830207	1	NA	"abundance"
"Actinomyces"	"diagnosisPSC-UC"	0.0881056991630903	0.890741106747798	1	NA	"abundance"
"Actinomyces"	"genderM"	-0.147968490620454	0.490503363786436	1	NA	"abundance"
"Actinomyces"	"read_count"	-0.145771758867234	0.504652263291102	1	NA	"abundance"
"Aeromonas"	"age"	NA	1	1	NA	"abundance"
"Aeromonas"	"bmi"	NA	1	1	NA	"abundance"
"Aeromonas"	"diagnosisCD"	NA	1	1	NA	"abundance"
