"feature"	"metadata"	"value"	"coef"	"pval"	"qval"	"association"
"Veillonella"	"diagnosis"	"PSC-CD"	3.50762660253299	0.000000353179101348654	0.000749092873960494	"abundance"
"Ruminococcus"	"read_count"	"read_count"	1.120971987187	0.000000905659154518293	0.00096045153336665	"abundance"
"Bacteroides"	"diagnosis"	"CD"	1.78476067160837	0.00000324374293004626	0.00186967487156789	"abundance"
"Fusobacterium"	"diagnosis"	"CD"	3.03041652049286	0.00000352602521747833	0.00186967487156789	"abundance"
"Odoribacter"	"read_count"	"read_count"	0.888030057241221	0.00000557861146335625	0.00197203915229643	"abundance"
"unclassified_Ruminococcaceae"	"diagnosis"	"CD"	-1.93214680243835	0.00000489509528997284	0.00197203915229643	"abundance"
"Gemmiger"	"diagnosis"	"CD"	-2.89435663828425	0.0000106548985251887	0.00322843425313216	"abundance"
"Clostridium_XlVa"	"diagnosis"	"CD"	2.653358741506	0.0000201933446411523	0.00535376049798551	"abundance"
"Coprococcus"	"diagnosis"	"CD"	-2.36752478189812	0.0000227421697135333	0.00535957132915601	"abundance"
"Bacteroides"	"diagnosis"	"PSC-UC"	1.68760150005902	0.0000286895050757789	0.00608504402657271	"abundance"
"unclassified_Coriobacteriaceae"	"diagnosis"	"PSC-CD"	-2.16256772006482	0.0000554245210197167	0.0106868553711654	"abundance"
"Clostridium_IV"	"diagnosis"	"CD"	-2.08880687411246	0.00006224378219054	0.011001588502178	"abundance"
"Faecalibacterium"	"diagnosis"	"CD"	-2.17988092356264	0.0000760739752763315	0.0124117616585461	"abundance"
"Gemmiger"	"diagnosis"	"PSC-UC"	-2.61469151921862	0.00015159905247102	0.0211849697903994	"abundance"
"Oscillibacter"	"diagnosis"	"CD"	-1.7147106032143	0.000143049719701964	0.0211849697903994	"abundance"
"Oscillibacter"	"read_count"	"read_count"	0.660707778644609	0.000169799380686841	0.0211849697903994	"abundance"
"Veillonella"	"diagnosis"	"PSC-UC"	2.4711648219028	0.0001653293489033	0.0211849697903994	"abundance"
"Anaerococcus"	"diagnosis"	"PSC-CD"	0.938981676660689	0.000247272333610953	0.0265029961769761	"abundance"
"Pediococcus"	"bmi"	"bmi"	0.1984497558974	0.000249910383564131	0.0265029961769761	"abundance"
"unclassified_Prolixibacteraceae"	"diagnosis"	"PSC-UC"	1.52215055389873	0.000226097532616758	0.0265029961769761	"abundance"
"unclassified_Eubacteriaceae"	"read_count"	"read_count"	0.554741779287657	0.000294055685486419	0.0283496413143953	"abundance"
"unclassified_Natranaerovirga"	"read_count"	"read_count"	0.218900384838473	0.000283090913388901	0.0283496413143953	"abundance"
"unclassified_Synergistaceae"	"read_count"	"read_count"	0.398457286188931	0.00034421003152697	0.0317421511682045	"abundance"
"Acidaminococcus"	"diagnosis"	"CD"	3.20753703611619	0.000394086153837946	0.0346231281395449	"abundance"
"unclassified_Rikenellaceae"	"read_count"	"read_count"	0.777330652039594	0.000408099105840935	0.0346231281395449	"abundance"
"EscherichiaShigella"	"diagnosis"	"PSC-CD"	2.47968952022313	0.000430222580301874	0.0350962343392414	"abundance"
"Clostridium_sensu_stricto"	"age"	"age"	0.603127898952976	0.000452919714996552	0.0355793598336181	"abundance"
"unclassified_Coriobacteriaceae"	"diagnosis"	"CD"	-1.70756710621563	0.000486154512821997	0.0368262043462662	"abundance"
"Coprococcus"	"diagnosis"	"PSC-CD"	-2.06911848650747	0.000549679281106017	0.0388623251741954	"abundance"
"unclassified_Enterobacteriaceae"	"diagnosis"	"CD"	2.79085623087675	0.000541390220870227	0.0388623251741954	"abundance"
"Aquabacterium"	"diagnosis"	"PSC-UC"	0.548859142255382	0.000670058078125413	0.0430664601122425	"abundance"
"Bacteroides"	"gender"	"M"	-0.99133702992198	0.000629738689113568	0.0430664601122425	"abundance"
"Ruminococcus"	"diagnosis"	"CD"	-1.93904461193715	0.000656942510482709	0.0430664601122425	"abundance"
"Oscillibacter"	"diagnosis"	"PSC-CD"	-1.63814653455677	0.000754710415157253	0.0470806114867215	"abundance"
"unclassified_Peptococcaceae"	"read_count"	"read_count"	0.393412759587906	0.00106598597069349	0.0645987498240253	"abundance"
"Fusicatenibacter"	"diagnosis"	"CD"	-1.83503880223688	0.00114441589450977	0.0674251697848675	"abundance"
"unclassified_Ruminococcaceae"	"diagnosis"	"PSC-CD"	-1.43052213194228	0.00141963427865752	0.081379575811692	"abundance"
"Peptostreptococcus"	"gender"	"M"	-0.384476768917793	0.00149251979205131	0.0833061704984426	"abundance"
"Clostridium_XlVa"	"diagnosis"	"PSC-CD"	2.09891449477294	0.00156533003918527	0.085129872131076	"abundance"
"Eggerthella"	"diagnosis"	"CD"	1.00038933392429	0.00166021836003796	0.0852832921963127	"abundance"
"Olsenella"	"diagnosis"	"PSC-UC"	1.63225705637117	0.0017289870648003	0.0852832921963127	"abundance"
"unclassified_Alteromonadales"	"read_count"	"read_count"	0.331254996390862	0.00168018649444882	0.0852832921963127	"abundance"
"unclassified_Desulfovibrionaceae"	"diagnosis"	"PSC-CD"	-1.80000447201288	0.00169335390156515	0.0852832921963127	"abundance"
"Gemmiger"	"diagnosis"	"PSC-CD"	-2.17774286571331	0.00182344909500082	0.0878985347840168	"abundance"
"Clostridium_IV"	"diagnosis"	"PSC-CD"	-1.73126957089747	0.00193400710618588	0.0911562016048944	"abundance"
"unclassified_Clostridiaceae"	"diagnosis"	"CD"	-1.53083632663703	0.00200515439979072	0.0924550539555679	"abundance"
"Carnobacterium"	"diagnosis"	"PSC-UC"	0.0803343369165744	0.00207261303504326	0.0935321754750375	"abundance"
"unclassified_Ruminococcaceae"	"diagnosis"	"PSC-UC"	-1.34523941101333	0.00211810861211234	0.0935939242977142	"abundance"
"unclassified_Enterobacteriaceae"	"diagnosis"	"PSC-CD"	2.66664922214633	0.00220208452008028	0.0953188013691892	"abundance"
"Ruminococcus2"	"diagnosis"	"CD"	-1.51604393382183	0.00238721216964451	0.10126554023632	"abundance"
"unclassified_Sutterellaceae"	"bmi"	"bmi"	0.639748979193	0.00262093620153698	0.109000111440391	"abundance"
"Coprococcus"	"diagnosis"	"PSC-UC"	-1.73972622412428	0.00278431005426672	0.11356772355961	"abundance"
"Eggerthella"	"gender"	"M"	-0.725361628941658	0.00311431206799867	0.124631243325003	"abundance"
"Morganella"	"diagnosis"	"PSC-CD"	0.963598195991243	0.00339193819077871	0.133227794493364	"abundance"
"Flavonifractor"	"diagnosis"	"PSC-CD"	1.6689844229577	0.00362980590458916	0.138930192228527	"abundance"
"unclassified_Flavobacteriaceae"	"diagnosis"	"PSC-UC"	0.518148179380951	0.00366812388722185	0.138930192228527	"abundance"
"Proteus"	"diagnosis"	"PSC-CD"	0.0774217480538353	0.00413185084468491	0.146445626972843	"abundance"
"Salmonella"	"diagnosis"	"PSC-CD"	0.0774217480538353	0.00413185084468491	0.146445626972843	"abundance"
"unclassified_Clostridiales"	"diagnosis"	"PSC-CD"	-1.48112978451436	0.00401445595421289	0.146445626972843	"abundance"
"unclassified_Veillonellaceae"	"diagnosis"	"PSC-UC"	-2.02478829382977	0.00414273343628975	0.146445626972843	"abundance"
"EscherichiaShigella"	"diagnosis"	"CD"	1.83481341079915	0.0042950570444561	0.146932515988571	"abundance"
"unclassified_Bdellovibrionaceae"	"diagnosis"	"PSC-UC"	-2.13047349030879	0.00428713105442332	0.146932515988571	"abundance"
"Megasphaera"	"bmi"	"bmi"	0.665059464629506	0.00446611848713391	0.150359322400175	"abundance"
"unclassified_Ruminococcaceae"	"read_count"	"read_count"	0.454123917784291	0.0045992520965185	0.152422089011183	"abundance"
"unclassified_Enterobacteriaceae"	"diagnosis"	"PSC-UC"	2.39641420680376	0.00477016091927158	0.155654020150385	"abundance"
"Slackia"	"age"	"age"	0.419760186488154	0.00494337223389696	0.158309325305507	"abundance"
"unclassified_Bacillales"	"diagnosis"	"CD"	-0.896825701638681	0.00500081319918387	0.158309325305507	"abundance"
"unclassified_Natranaerovirga"	"diagnosis"	"PSC-UC"	0.451179719619096	0.00541685229511279	0.168957995851974	"abundance"
"unclassified_Thermoactinomycetaceae"	"read_count"	"read_count"	0.212155945229038	0.00594642223022049	0.182787848555039	"abundance"
"Streptophyta"	"diagnosis"	"PSC-CD"	0.729851598310647	0.00605475585567212	0.183459102426865	"abundance"
"Allisonella"	"diagnosis"	"PSC-CD"	0.784835742986541	0.00676617199047392	0.199320149886044	"abundance"
"Olsenella"	"age"	"age"	0.445329014182544	0.00672161765160395	0.199320149886044	"abundance"
"Enterococcus"	"diagnosis"	"PSC-UC"	1.30427528562797	0.00715803039168679	0.205164627848212	"abundance"
"unclassified_Candidatus"	"read_count"	"read_count"	0.225996355466708	0.00710311738475515	0.205164627848212	"abundance"
"unclassified_Clostridiales"	"diagnosis"	"CD"	-1.26473842755943	0.00748780587497264	0.208968898168644	"abundance"
"unclassified_Clostridiales"	"read_count"	"read_count"	0.493707171856119	0.00742962280085471	0.208968898168644	"abundance"
"unclassified_Fusobacteriaceae"	"diagnosis"	"PSC-CD"	0.440473604444277	0.00760730653653607	0.209546716415494	"abundance"
"unclassified_Puniceicoccaceae"	"read_count"	"read_count"	0.316853032054788	0.00791460127892845	0.215216273238554	"abundance"
