"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"association"
"unclassified_Ruminococcaceae"	"read_count"	"read_count"	0.346654015499752	0.000000001117898218439	NA	0.00000296690187173709	0.00000000223579643562829	0.00000377178858690493	"abundance"
"unclassified_Lachnospiraceae"	"read_count"	"read_count"	-0.0260299250418629	0.00000000830583890554237	NA	0.0000110218482276547	0.0000000166116777420978	0.0000140119501754595	"abundance"
"Ruminococcus"	"read_count"	"read_count"	0.522589679797353	0.0000000558603090450305	NA	0.000049417753401837	0.000000111720614969687	0.0000628242258179538	"abundance"
"Alistipes"	"read_count"	"read_count"	0.289665880707832	0.000000293192849998292	NA	0.000155626764779093	0.000000586385614034536	0.000164872088479377	"abundance"
"Bacteroides"	"diagnosis"	"CD"	1.78476067160837	0.000000484002238509973	NA	0.00018350599157221	0.000000484002238509973	0.000163302355273265	"abundance"
"Parabacteroides"	"read_count"	"read_count"	0.0879467908556439	0.000000424200051973855	NA	0.00018350599157221	0.000000848399924002026	0.000204464381684488	"abundance"
"Blautia"	"read_count"	"read_count"	-0.0908615539410198	0.00000133483750408558	NA	0.000393628748427016	0.00000266967322638001	0.000450373873290307	"abundance"
"Bacteroides"	"diagnosis"	"PSC-UC"	1.68760150005902	0.00000152231269634484	NA	0.000404021789609921	0.00000152231269634484	0.000285349057637083	"abundance"
"Anaerostipes"	"read_count"	"read_count"	0.132761923079594	0.00000434675170313259	NA	0.00103302356080682	0.00000869348451201481	0.00122215903098075	"abundance"
"Bacteroides"	"read_count"	"read_count"	0.049159064642427	0.00000506002497757674	NA	0.00103302356080682	0.00000506002497757674	0.000776023830651996	"abundance"
"Faecalibacterium"	"read_count"	"read_count"	0.234368583426431	0.00000485729516441769	NA	0.00103302356080682	0.00000971456673551906	0.00126065185252467	"abundance"
"Roseburia"	"read_count"	"read_count"	0.264422882766953	0.00000675619882661849	NA	0.00128078226327468	0.0000135123520070144	0.00162823841684523	"abundance"
"Oscillibacter"	"read_count"	"read_count"	-0.0124750153415066	0.0000266157851489535	NA	0.00336372827549155	0.0000532308618978879	0.00427621257246366	"abundance"
"Ruminococcus2"	"read_count"	"read_count"	0.00561769570957217	0.00003854646890733	NA	0.00426259702000225	0.0000770914519843949	0.00541888664573642	"abundance"
"Coprococcus"	"read_count"	"read_count"	0.0240471739593164	0.0000415276752133709	NA	0.00440857800065145	0.0000830536258789331	0.00560445867431041	"abundance"
"unclassified_Ruminococcaceae"	"diagnosis"	"CD"	-1.74107948898418	0.000176127807520077	NA	0.0128108882611784	0.000176127807520077	0.00928523785269905	"abundance"
"Streptococcus"	"diagnosis"	"PSC-CD"	1.72924940913099	0.00034475633886899	NA	0.0217100035192262	0.00034475633886899	0.0161556651019996	"abundance"
"Faecalibacterium"	"diagnosis"	"CD"	-2.00321729669665	0.00042107944863945	NA	0.0253987467429341	0.00042107944863945	0.0182143853808911	"abundance"
"Fusicatenibacter"	"read_count"	"read_count"	-0.0758011112257235	0.00043177282596818	NA	0.0254650017804344	0.000863359224163115	0.0338717909572831	"abundance"
"Collinsella"	"read_count"	"read_count"	-0.0241177505333234	0.00048673633211993	NA	0.0280825701183977	0.000973235751982855	0.0364855269687795	"abundance"
"unclassified_Bacteroidaceae"	"diagnosis"	"PSC-CD"	3.03126494879857	0.000678345678664316	NA	0.0353005770818646	0.00135623120446887	0.044862000822333	"abundance"
"Flavonifractor"	"age"	"age"	-0.424495043818906	0.000870380094697643	NA	0.0433320937750878	0.00174000262788604	0.0540621622427847	"abundance"
"Blautia"	"age"	"age"	-0.225341598291456	0.000930112323498156	NA	0.0442328424726827	0.00185935953806199	0.0560132060841174	"abundance"
"Clostridium_XVIII"	"diagnosis"	"CD"	1.37692674660924	0.000933322976062634	NA	0.0442328424726827	0.000933322976062634	0.0357844513776742	"abundance"
"Bacteroides"	"gender"	"M"	-0.99133702992198	0.00106515469791368	NA	0.0495950976888231	0.00106515469791368	0.0374357494870914	"abundance"
"Clostridium_IV"	"read_count"	"read_count"	-0.0570929844657391	0.00115572336872216	NA	0.0522254924718399	0.00231011104093931	0.0663544794008528	"abundance"
"unclassified_Coriobacteriaceae"	"read_count"	"read_count"	-0.150675690322954	0.00141698239880383	NA	0.0591559019912708	0.00283195695848915	0.0751505849879419	"abundance"
"Parabacteroides"	"diagnosis"	"CD"	0.907820823025806	0.00146683794070745	NA	0.0598921214559629	0.00293152426787061	0.0760843298445803	"abundance"
"unclassified_Clostridiales"	"read_count"	"read_count"	-0.0702453127479169	0.00152574667174399	NA	0.0613535101031598	0.000491949372820341	0.0202419168767784	"abundance"
"Bacteroides"	"diagnosis"	"PSC-CD"	0.990576491565826	0.00157046723604592	NA	0.0622092543950132	0.00157046723604592	0.0509495812924899	"abundance"
"Lactobacillus"	"diagnosis"	"PSC-CD"	2.01621132653857	0.0016558241397997	NA	0.0644614223368969	0.00330890652601746	0.0824281574818197	"abundance"
"Fusobacterium"	"read_count"	"read_count"	-3.10334499705143	0.00204754665640161	NA	0.0715024845538142	0.00409090086549308	0.090807233685353	"abundance"
"Butyricicoccus"	"read_count"	"read_count"	-0.257229240726538	0.00208589642748935	NA	0.0718957028383993	0.0041674418910725	0.091304863249861	"abundance"
"Clostridium_IV"	"diagnosis"	"CD"	-1.78502509385912	0.00218225660824312	NA	0.0733127726364206	0.00218225660824312	0.0645871385632656	"abundance"
"Dorea"	"read_count"	"read_count"	-0.208815368912594	0.00282251636316744	NA	0.0905838430754058	0.00563706612771453	0.114995094348762	"abundance"
"Streptococcus"	"diagnosis"	"CD"	1.40020667817742	0.00283287828758805	NA	0.0905838430754058	0.00565773137578381	0.114995094348762	"abundance"
"Olsenella"	"diagnosis"	"CD"	2.1231545626423	0.00289859500323286	NA	0.0915817992688097	0.00578878815347296	0.116258162082249	"abundance"
"Gemmiger"	"diagnosis"	"PSC-UC"	-2.00566095920288	0.00327912119213458	NA	0.101195205161921	0.00327912119213458	0.0824281574818197	"abundance"
"Flavonifractor"	"gender"	"M"	-0.93068133207172	0.00337139470435421	NA	0.101197601886585	0.00337139470435421	0.0824281574818197	"abundance"
"unclassified_Ruminococcaceae"	"diagnosis"	"PSC-CD"	-1.55232143370573	0.0039890185126249	NA	0.11262611843092	0.00796212475655573	0.147605543563841	"abundance"
"unclassified_Erysipelotrichaceae"	"read_count"	"read_count"	-0.15310156312771	0.00418814184795269	NA	0.117003457520699	0.0083587431637668	0.153222119854373	"abundance"
"Parabacteroides"	"diagnosis"	"PSC-CD"	0.830892857207815	0.00459836052441709	NA	0.121260417738695	0.00917557612932167	0.1585095013659	"abundance"
"Bacteroides"	"age"	"age"	-0.265643009676911	0.00513686513409173	NA	0.128615472319617	0.00513686513409173	0.106986314582873	"abundance"
"Lactococcus"	"age"	"age"	-0.88327292559593	0.00731010648621533	NA	0.165820706106115	0.0145667753155908	0.217470353605325	"abundance"
"Pseudoflavonifractor"	"diagnosis"	"PSC-UC"	1.22103199887019	0.00744728278857743	NA	0.16746778364484	0.0148391035562218	0.219477974827285	"abundance"
"Bilophila"	"gender"	"M"	-0.908751313266553	0.00958768327479675	NA	0.194242071842066	0.0190834428790157	0.255506096324599	"abundance"
"Methanosphaera"	"read_count"	"read_count"	-1.2965345200088	0.00970211934707765	NA	0.195071399599576	0.0193101075743304	0.256505129747207	"abundance"
"Alistipes"	"gender"	"M"	-0.89800265537464	0.0101694143917763	NA	0.198453130851282	0.020235411794481	0.258614694676435	"abundance"
"Coprobacter"	"age"	"age"	-0.256958921519066	0.0102609883181874	NA	0.198778562018025	0.0204166887551089	0.258969578420066	"abundance"
"Clostridium_XVIII"	"age"	"age"	-0.27772144223927	0.0104247569904323	NA	0.199017334544735	0.0207408384225551	0.2590189657847	"abundance"
"Coprobacter"	"gender"	"M"	-0.835591212421307	0.010573264570764	NA	0.199017334544735	0.0210347352178447	0.2590189657847	"abundance"
"Parasutterella"	"diagnosis"	"PSC-UC"	1.37495478092742	0.0104622955270171	NA	0.199017334544735	0.0208151314263395	0.2590189657847	"abundance"
