"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"association"
"unclassified_Lachnospiraceae"	"read_count"	"read_count"	1.1003283055532	2.20886319230182e-18	NA	5.86232291236904e-15	4.41772638460365e-18	7.45270441082635e-15	"abundance"
"Blautia"	"read_count"	"read_count"	1.02950133749516	1.05267860552901e-14	NA	9.31269673024661e-12	2.105357211058e-14	1.18391253835162e-11	"abundance"
"unclassified_Ruminococcaceae"	"read_count"	"read_count"	1.4503143983912	9.00805937667938e-15	NA	9.31269673024661e-12	1.80161187533586e-14	1.18391253835162e-11	"abundance"
"Parabacteroides"	"read_count"	"read_count"	1.15351098375565	1.49789481224251e-13	NA	9.93853207922904e-11	2.99578962448478e-13	1.26347427412646e-10	"abundance"
"Bacteroides"	"read_count"	"read_count"	1.1816039850007	1.70921714132007e-12	NA	9.07252458612694e-10	1.70921714132007e-12	5.76689863481392e-10	"abundance"
"Alistipes"	"read_count"	"read_count"	1.37121822655207	1.04403457441282e-11	NA	4.61811293415272e-09	2.08806914881474e-11	5.87095442341745e-09	"abundance"
"Anaerostipes"	"read_count"	"read_count"	1.22631236164186	1.36433159404019e-11	NA	5.17276578654667e-09	2.72866318806177e-11	6.57607828322886e-09	"abundance"
"Ruminococcus"	"read_count"	"read_count"	1.51366515892015	2.52978670074356e-11	NA	8.39256737971677e-09	5.05957340142313e-11	1.0669375410251e-08	"abundance"
"Ruminococcus2"	"read_count"	"read_count"	1.06079475085097	3.03580705367616e-10	NA	8.95225768939615e-08	6.0716141064307e-10	1.13809033306095e-07	"abundance"
"Faecalibacterium"	"read_count"	"read_count"	1.34503055178113	1.04413983869549e-09	NA	2.77114713189783e-07	2.08827967630075e-09	3.52292781391936e-07	"abundance"
"Butyricicoccus"	"read_count"	"read_count"	0.796442575947557	1.76507377181879e-09	NA	3.60346599262083e-07	3.53014754052209e-09	4.58104530835444e-07	"abundance"
"Coprococcus"	"read_count"	"read_count"	1.05854523958557	1.67436804206195e-09	NA	3.60346599262083e-07	3.34873608132038e-09	4.58104530835444e-07	"abundance"
"Roseburia"	"read_count"	"read_count"	1.34548478738623	1.5678015264433e-09	NA	3.60346599262083e-07	3.13560305042859e-09	4.58104530835444e-07	"abundance"
"Oscillibacter"	"read_count"	"read_count"	0.913258736099402	8.55506350402673e-09	NA	1.62179560997764e-06	1.71101269348643e-08	2.06177029565115e-06	"abundance"
"Fusicatenibacter"	"read_count"	"read_count"	0.971088510369654	1.20819625854865e-08	NA	2.13770191345874e-06	2.41639250249991e-08	2.7176361011449e-06	"abundance"
"Collinsella"	"read_count"	"read_count"	1.0462788297493	3.36826932948185e-08	NA	5.58711675027802e-06	6.7365385455113e-08	7.10283782892348e-06	"abundance"
"Dorea"	"read_count"	"read_count"	0.900024138464019	4.53785385252924e-08	NA	7.08439066153683e-06	9.07570749913728e-08	9.00630503002623e-06	"abundance"
"unclassified_Coriobacteriaceae"	"read_count"	"read_count"	0.877456254973096	1.40133163110508e-07	NA	1.95743902576468e-05	2.80266306583713e-07	2.48846978529855e-05	"abundance"
"Clostridium_IV"	"read_count"	"read_count"	0.975861569899331	7.49156307199493e-07	NA	9.46790875860692e-05	1.49831205316381e-06	0.00012036440160416	"abundance"
"unclassified_Erysipelotrichaceae"	"read_count"	"read_count"	0.900921140982535	7.96546344030212e-07	NA	9.60924544116446e-05	1.59309205357434e-06	0.000122161195199087	"abundance"
"unclassified_Clostridiales"	"read_count"	"read_count"	0.860522582541531	5.03930487519826e-06	NA	0.000581491962555487	1.00785843558029e-05	0.000739242252532152	"abundance"
"Bacteroides"	"diagnosis"	"PSC-UC"	1.81506083602442	1.8851464832518e-05	NA	0.0018530291727964	1.8851464832518e-05	0.00132510088218574	"abundance"
"unclassified_Ruminococcaceae"	"diagnosis"	"CD"	-1.83074392478709	2.58674810057594e-05	NA	0.00221459014804146	2.58674810057594e-05	0.00165550889442436	"abundance"
"Bacteroides"	"diagnosis"	"CD"	1.63745276876331	3.93475260881014e-05	NA	0.00307142159523003	3.93475260881014e-05	0.00228894056933197	"abundance"
"Faecalibacterium"	"diagnosis"	"CD"	-2.16141223217465	6.21699728285715e-05	NA	0.00446405866225461	6.21699728285715e-05	0.00299659269033715	"abundance"
"unclassified_Ruminococcaceae"	"diagnosis"	"PSC-CD"	-1.67969180044086	0.000281011875751855	NA	0.0149161103649085	0.000561944783829396	0.0193469561289835	"abundance"
"Clostridium_IV"	"diagnosis"	"CD"	-1.81452877944374	0.000333445088973477	NA	0.0170185243487617	0.000333445088973477	0.0125004858910724	"abundance"
"unclassified_Porphyromonadaceae"	"read_count"	"read_count"	0.748312520224489	0.000473088606695992	NA	0.0232514289290956	0.000465329586746716	0.016354396100869	"abundance"
"Flavonifractor"	"age"	"age"	-0.496758594305201	0.000832134646692047	NA	0.0368215031559166	0.00166357684531387	0.0484047666660194	"abundance"
"Gemmiger"	"diagnosis"	"PSC-UC"	-1.80237009428508	0.00110210891023931	NA	0.0471773717383085	0.00110210891023931	0.0347089699155443	"abundance"
"Streptococcus"	"diagnosis"	"PSC-CD"	1.82174803628902	0.00119960975478855	NA	0.048980989064751	0.00119960975478855	0.0367953028423324	"abundance"
"Olsenella"	"read_count"	"read_count"	0.762888143099485	0.00208294080076122	NA	0.0727384853318456	0.00416154295914296	0.0948719320550564	"abundance"
"Bacteroides"	"gender"	"M"	-0.923245259819354	0.00230015521049379	NA	0.075995016655865	0.00230015521049379	0.0642140123234059	"abundance"
"Parasutterella"	"read_count"	"read_count"	0.749081608518985	0.00234474330353358	NA	0.075995016655865	0.0046839887859077	0.100162665685692	"abundance"
"unclassified_Rhodospirillaceae"	"diagnosis"	"CD"	-2.19152320350589	0.00234505100897054	NA	0.075995016655865	0.00468460275370641	0.100162665685692	"abundance"
"Barnesiella"	"read_count"	"read_count"	0.641727908138604	0.00248979294163331	NA	0.079613379121624	0.000189073184737366	0.00759443958695088	"abundance"
"unclassified_Natranaerovirga"	"read_count"	"read_count"	-0.000189611645515325	0.00329015381873524	NA	0.10273021452851	0.000703365462874827	0.0237315507173967	"abundance"
"Blautia"	"age"	"age"	-0.297941631626861	0.00368243804255634	NA	0.10748504756907	0.00735131573517541	0.147638924348106	"abundance"
"Flavonifractor"	"gender"	"M"	-0.860989813817378	0.00376394435800026	NA	0.10748504756907	0.00376394435800026	0.0881913073881449	"abundance"
"Bilophila"	"gender"	"M"	-0.941029853637801	0.00413204222467887	NA	0.116664256003167	0.00824701067641122	0.158007109046789	"abundance"
"Gemmiger"	"read_count"	"read_count"	0.560273311662874	0.00417666318987755	NA	0.116682780062474	0.00833588186435342	0.158007109046789	"abundance"
"Bilophila"	"read_count"	"read_count"	0.478406524374916	0.00456918860953192	NA	0.121260417738695	0.000135151233645882	0.0060000034515948	"abundance"
"Lactococcus"	"age"	"age"	-0.982126307095853	0.00500034675420054	NA	0.125859543895291	0.00997569004073883	0.172630359253396	"abundance"
"unclassified_Eubacteriaceae"	"read_count"	"read_count"	0.528772004256065	0.00515681727911317	NA	0.127908346343611	2.7477326048537e-05	0.00165550889442436	"abundance"
