study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	read_count	base_count	fastq_ftp	submitted_bytes	submitted_ftp	sra_ftp	bam_ftp
PRJEB36435	SAMEA6510669	ERX3864559	ERR3852481	1235509	synthetic metagenome	24510	7088115	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/001/ERR3852481/ERR3852481.fastq.gz	3463011	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852481/Ca-10-1-R1-low_S70_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/001/ERR3852481	
PRJEB36435	SAMEA6510673	ERX3864563	ERR3852485	1235509	synthetic metagenome	18541	5279985	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/005/ERR3852485/ERR3852485.fastq.gz	2460671	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852485/Ca-10-2-R1-low_S69_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/005/ERR3852485	
PRJEB36435	SAMEA6510674	ERX3864564	ERR3852486	1235509	synthetic metagenome	22758	6424101	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/006/ERR3852486/ERR3852486.fastq.gz	2991894	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852486/Ca-10-2-R2-low_S72_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/006/ERR3852486	
PRJEB36435	SAMEA6510678	ERX3864568	ERR3852490	1235509	synthetic metagenome	26536	7388470	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/000/ERR3852490/ERR3852490.fastq.gz	3249244	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852490/Ca-10-3-R2-low_S71_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/000/ERR3852490	
PRJEB36435	SAMEA6510682	ERX3864572	ERR3852494	1235509	synthetic metagenome	19713	5366240	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/004/ERR3852494/ERR3852494.fastq.gz	2165155	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852494/Ca-10-4-low_S67_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/004/ERR3852494	
PRJEB36435	SAMEA6510683	ERX3864573	ERR3852495	1235509	synthetic metagenome	32060	8932906	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/005/ERR3852495/ERR3852495.fastq.gz	3761871	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852495/Ca-10-5-high_S59_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/005/ERR3852495	
PRJEB36435	SAMEA6510672	ERX3864562	ERR3852484	1235509	synthetic metagenome	22651	6774985	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/004/ERR3852484/ERR3852484.fastq.gz	3225428	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852484/Ca-10-1-high_S63_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/004/ERR3852484	
PRJEB36435	SAMEA6510675	ERX3864565	ERR3852487	1235509	synthetic metagenome	26118	7420478	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/007/ERR3852487/ERR3852487.fastq.gz	3347159	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852487/Ca-10-2-R3-low_S75_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/007/ERR3852487	
PRJEB36435	SAMEA6510684	ERX3864574	ERR3852496	1235509	synthetic metagenome	23246	6261947	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/006/ERR3852496/ERR3852496.fastq.gz	2499493	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852496/Ca-10-5-low_S66_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/006/ERR3852496	
PRJEB36435	SAMEA6510685	ERX3864575	ERR3852497	1235509	synthetic metagenome	36420	9877015	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/007/ERR3852497/ERR3852497.fastq.gz	3868304	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852497/Ca-10-6-high_S58_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/007/ERR3852497	
