"feature"	"metadata"	"effect_size"	"pval"	"qval"	"associations"
"bac16SV4_L100_Nextseq_00000"	"day"	2.40960272028166	5.30401057810466e-20	2.23475645690809e-17	"abundance"
"bac16SV4_L100_Nextseq_00000"	"read_depth"	-0.207579217823885	0.476771019128782	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00002"	"day"	3.05237525198304	6.4413226616771e-31	4.07091592217993e-28	"abundance"
"bac16SV4_L100_Nextseq_00002"	"read_depth"	0.560038657699338	0.0586021420032652	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00003"	"day"	-0.642600935996083	7.51264469229379e-05	0.00287757057304829	"abundance"
"bac16SV4_L100_Nextseq_00003"	"read_depth"	1.11508773001943	2.73638290502294e-09	2.0345811717347e-07	"abundance"
"bac16SV4_L100_Nextseq_00004"	"day"	0.81694304357059	0.000845027278873098	0.0242753291021726	"abundance"
"bac16SV4_L100_Nextseq_00004"	"read_depth"	0.0435931285645229	0.786942212985963	0.787565286788803	"abundance"
"bac16SV4_L100_Nextseq_00005"	"day"	1.95377520034203	5.69378464311579e-16	1.43938875777967e-13	"abundance"
"bac16SV4_L100_Nextseq_00005"	"read_depth"	0.129365773018331	0.613714041103196	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00006"	"day"	1.57398211652707	1.57190362206972e-13	2.83840882613732e-11	"abundance"
"bac16SV4_L100_Nextseq_00006"	"read_depth"	-0.0983090327250187	0.651505130192681	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00007"	"day"	0.748662251435399	0.00164463700967291	0.0461960262272569	"abundance"
"bac16SV4_L100_Nextseq_00007"	"read_depth"	0.228406551546838	0.392941006181075	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00008"	"day"	1.36162112520998	8.975985849329e-09	5.97139269134308e-07	"abundance"
"bac16SV4_L100_Nextseq_00008"	"read_depth"	0.189348961429174	0.471924822029366	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00009"	"day"	2.00686115543212	1.27739937828595e-17	4.0365820353836e-15	"abundance"
"bac16SV4_L100_Nextseq_00009"	"read_depth"	-0.174191712459295	0.491533238382514	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00010"	"day"	-1.19748511628183	1.09490551342475e-07	6.01721986508213e-06	"abundance"
"bac16SV4_L100_Nextseq_00010"	"read_depth"	0.882788607440735	0.000576322076669029	0.0173445501168965	"abundance"
"bac16SV4_L100_Nextseq_00011"	"day"	1.8067912464179	1.37119996018748e-15	2.88866124946163e-13	"abundance"
"bac16SV4_L100_Nextseq_00011"	"read_depth"	0.228420882228082	0.382983000519915	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00012"	"day"	1.6149748998951	3.38782990251551e-11	3.29401307444585e-09	"abundance"
"bac16SV4_L100_Nextseq_00012"	"read_depth"	0.497265433544739	0.0606720430863361	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00013"	"day"	1.55535619942097	6.80625119059579e-11	6.14507250350934e-09	"abundance"
"bac16SV4_L100_Nextseq_00013"	"read_depth"	0.0391079441905795	0.754566913189778	0.774393071930312	"abundance"
