"feature"	"metadata"	"effect_size"	"pval"	"qval"	"error"	"associations"
"bac16SV4_L100_Nextseq_00000"	"day"	0.592172723502763	0.0000998167292038265	0.00350467626982324	NA	"abundance"
"bac16SV4_L100_Nextseq_00000"	"read_depth"	0.222604258022851	0.200530146898291	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00002"	"day"	0.722900957390993	0.00000025821015311522	0.0000203986020961024	NA	"abundance"
"bac16SV4_L100_Nextseq_00002"	"read_depth"	0.153182460775522	0.362210977880787	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00003"	"day"	-0.471308060160929	0.0000604096964658462	0.00224581930390675	NA	"abundance"
"bac16SV4_L100_Nextseq_00003"	"read_depth"	0.474424194502962	0.00106395711591342	0.025862342202203	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00004"	"day"	0.600051787501691	0.000623674318339141	0.016423423716264	NA	"abundance"
"bac16SV4_L100_Nextseq_00004"	"read_depth"	0.321598271102948	0.125551797197616	0.867199298676429	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00005"	"day"	0.623560251438966	0.00289182024796919	0.0588992764041489	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00005"	"read_depth"	0.312758467008897	0.203032853128354	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00006"	"day"	0.3253825449606	0.0420654328949847	0.446524270552851	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00006"	"read_depth"	0.0131885415717238	0.941538231746268	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00007"	"day"	0.609614488212892	0.015830930961262	0.222336630389279	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00007"	"read_depth"	0.012202262424976	0.970219607000074	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00008"	"day"	0.703216158236123	0.000470316611678791	0.0126485148332339	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00008"	"read_depth"	-0.129490602148072	0.582096937755931	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00009"	"day"	0.699986913802749	0.000135975064190013	0.0041920117350287	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00009"	"read_depth"	-0.00623107770434219	0.977177812942531	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00010"	"day"	-1.13674775646347	9.63195715926321e-12	0.00000000243495876986174	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00010"	"read_depth"	0.00784993767640909	0.965424605908514	1	NA	"abundance"
"bac16SV4_L100_Nextseq_00011"	"day"	0.54998197904316	0.00676341957285616	0.112486346580134	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00011"	"read_depth"	0.42617293177618	0.056907767894924	0.553318604762954	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00012"	"day"	0.403474865256387	0.0861806469328599	0.728748753048756	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00012"	"read_depth"	0.308680339926696	0.192369063992104	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00013"	"day"	0.441411643578367	0.0324035244128271	0.375283282175279	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00013"	"read_depth"	-0.188771120668728	0.452455323990608	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00014"	"day"	0.24505354367652	0.313539964230861	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00014"	"read_depth"	-0.450005122723235	0.101952312184483	0.79547976914313	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00015"	"day"	1.03856350403421	0.0201636481083868	0.24778106395909	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00015"	"read_depth"	0.125534391919832	0.74626421036003	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00016"	"day"	-0.124212033106305	0.7652712518836	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00016"	"read_depth"	-0.022032686745179	0.967183043147208	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00017"	"day"	0.0963347614474774	0.506438805659544	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00017"	"read_depth"	-0.0592046237296111	0.75701933979225	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00018"	"day"	0.358395342034306	0.0846634780662699	0.723071866728143	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00018"	"read_depth"	-0.0540871329981674	0.795183995635545	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00019"	"day"	1.40935693554862	0.000201789555728939	0.00607290472479475	NA	"abundance"
"bac16SV4_L100_Nextseq_00019"	"read_depth"	0.733729125769566	0.0455892867060145	0.472334904888544	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00020"	"day"	0.352371674416173	0.434645648964342	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00020"	"read_depth"	0.166470627901588	0.771273010449041	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00021"	"day"	-0.851239885290632	0.000761492553292185	0.0196433997420678	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00021"	"read_depth"	0.246127746983222	0.300650416730282	1	"sensitivity failed"	"abundance"
