"feature"	"metadata"	"value"	"coef"	"pval"	"qval"	"association"
"bac16SV4_L100_Nextseq_00117"	"day"	"day"	-2.00493860309307	8.56064888187714e-41	1.08206601866927e-37	"abundance"
"bac16SV4_L100_Nextseq_00002"	"day"	"day"	2.81892333055916	5.13257950514562e-35	3.24379024725203e-32	"abundance"
"bac16SV4_L100_Nextseq_00304"	"day"	"day"	-1.33050691061079	1.0542660476572e-31	4.44197428079568e-29	"abundance"
"bac16SV4_L100_Nextseq_00367"	"day"	"day"	-1.27070459112737	5.59129942705074e-31	1.76685061894803e-28	"abundance"
"bac16SV4_L100_Nextseq_00719"	"day"	"day"	-1.30513790873048	2.63765788257482e-30	6.66799912714915e-28	"abundance"
"bac16SV4_L100_Nextseq_00335"	"day"	"day"	-1.20839236067082	3.37883944438286e-29	7.1180884294999e-27	"abundance"
"bac16SV4_L100_Nextseq_00009"	"day"	"day"	1.65373973292376	1.47903650668565e-28	2.67071734921523e-26	"abundance"
"bac16SV4_L100_Nextseq_00336"	"day"	"day"	-1.25666523374556	3.54641619021111e-28	5.60333758053356e-26	"abundance"
"bac16SV4_L100_Nextseq_00803"	"day"	"day"	-0.979926602041131	8.04726331744159e-27	1.13019342591624e-24	"abundance"
"bac16SV4_L100_Nextseq_00590"	"day"	"day"	-0.981468965743097	7.51533917235439e-25	9.49938871385595e-23	"abundance"
"bac16SV4_L100_Nextseq_00819"	"day"	"day"	-0.921180558537474	3.37216933524904e-24	3.87492912704981e-22	"abundance"
"bac16SV4_L100_Nextseq_00476"	"day"	"day"	-1.01516037755468	3.82251028383223e-24	4.02637749896995e-22	"abundance"
"bac16SV4_L100_Nextseq_00626"	"day"	"day"	-0.914765261959472	4.93243668385513e-24	4.79584612953299e-22	"abundance"
"bac16SV4_L100_Nextseq_01271"	"day"	"day"	-0.847776905225089	1.84886564479207e-23	1.6692615535837e-21	"abundance"
"bac16SV4_L100_Nextseq_00824"	"day"	"day"	-0.831723410869776	1.43984830926664e-21	1.21331217527536e-19	"abundance"
"bac16SV4_L100_Nextseq_00005"	"day"	"day"	1.56697508088434	1.56275113890389e-21	1.23457339973407e-19	"abundance"
"bac16SV4_L100_Nextseq_00000"	"day"	"day"	2.04186684473354	2.24952302031767e-21	1.67258652804796e-19	"abundance"
"bac16SV4_L100_Nextseq_00678"	"day"	"day"	-0.827399169327529	4.96103408320411e-21	3.48374837842778e-19	"abundance"
"bac16SV4_L100_Nextseq_00737"	"day"	"day"	-0.836770684491048	6.24748863131758e-21	4.1562240157818e-19	"abundance"
"bac16SV4_L100_Nextseq_01361"	"day"	"day"	-0.751900089645963	9.11626382650179e-21	5.76147873834913e-19	"abundance"
