"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"association"
"bac16SV4_L100_Nextseq_00002"	"day"	"day"	2.71063503979274	4.39920905402459e-27	NA	6.40084917360577e-24	8.79841810804917e-27	8.86880545291357e-24	"abundance"
"bac16SV4_L100_Nextseq_00006"	"day"	"day"	2.17104380015208	1.08572915900999e-24	NA	7.89867963179771e-22	2.17145831802e-24	1.09441499228208e-21	"abundance"
"bac16SV4_L100_Nextseq_00000"	"day"	"day"	2.52592652853065	2.41696144643999e-21	NA	1.17222630152339e-18	4.83392289287999e-21	1.62419809200768e-18	"abundance"
"bac16SV4_L100_Nextseq_00004"	"day"	"day"	2.60939001449929	4.51110166447226e-17	NA	9.37664703115305e-15	9.02220332894454e-17	2.22540921782708e-14	"abundance"
"bac16SV4_L100_Nextseq_00041"	"day"	"day"	1.83134085091457	5.64250424083862e-15	NA	5.47322911361346e-13	5.64250424083862e-15	8.12520610680762e-13	"abundance"
"bac16SV4_L100_Nextseq_02043"	"day"	"day"	2.36835910919982	1.59022515942356e-14	NA	1.3610456511537e-12	1.59022515942356e-14	1.78105217855439e-12	"abundance"
"bac16SV4_L100_Nextseq_00003"	"day"	"day"	1.20999152865123	4.03202512853563e-13	NA	2.66663480091788e-11	8.06405025706961e-13	8.12856265912617e-11	"abundance"
"bac16SV4_L100_Nextseq_00008"	"day"	"day"	2.24286452227564	0.00000000208142727820893	NA	0.0000000757119172448498	2.00713595434636e-10	0.0000000134879536132075	"abundance"
"bac16SV4_L100_Nextseq_00005"	"day"	"day"	2.36476012727707	0.0000000035492408938734	NA	0.000000125954768306971	6.68161298342653e-15	8.41883235911743e-13	"abundance"
"bac16SV4_L100_Nextseq_01980"	"day"	"day"	2.66372586151157	0.00000000381267862455061	NA	0.000000132082080921932	0.00000000381267862455061	0.000000213510002974834	"abundance"
"bac16SV4_L100_Nextseq_03164"	"day"	"day"	2.32436989939485	0.0000000247969051213052	NA	0.000000751656186489565	0.0000000247969051213052	0.00000113614910737617	"abundance"
"bac16SV4_L100_Nextseq_00007"	"day"	"day"	2.70900898247926	0.0000000473031929153045	NA	0.00000137652291383536	0.000000094606383593017	0.00000381452938647044	"abundance"
